breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 156.58286448,  507.10050423, 1061.90291016])]","[array([ 0.56409903,  1.49881901, -2.42797391,  1.16363889,  0.33146244,
       -1.87886024])]"
999,moveabsj,"[array([  42.10986512,  509.66999427, 1056.54393372])]","[array([ 0.67307338,  1.4471964 , -2.48891366,  1.10167317,  0.35733031,
       -1.89287439])]"
1999,moveabsj,"[array([  33.25447154,  508.31143936, 1056.30992854])]","[array([ 0.68047387,  1.44230214, -2.49447374,  1.09862557,  0.35724987,
       -1.89555986])]"
2999,moveabsj,"[array([  24.26520459,  506.05031605, 1056.63191174])]","[array([ 0.68674413,  1.4364796 , -2.50097431,  1.09587694,  0.35506731,
       -1.89829996])]"
3999,moveabsj,"[array([  15.08976747,  502.90285421, 1057.38783148])]","[array([ 0.6919351 ,  1.42993206, -2.50871925,  1.09322908,  0.35085079,
       -1.90094051])]"
4999,moveabsj,"[array([   5.6773687 ,  498.93312946, 1058.49395075])]","[array([ 0.69615901,  1.42271199, -2.5177401 ,  1.09067423,  0.34462278,
       -1.90357803])]"
5999,moveabsj,"[array([  -4.02144589,  494.19074855, 1059.91545632])]","[array([ 0.69951821,  1.41474781, -2.52791913,  1.08825188,  0.33645349,
       -1.90633076])]"
6999,moveabsj,"[array([ -14.05171727,  488.63851057, 1061.65653267])]","[array([ 0.70201506,  1.40591407, -2.53916945,  1.08587521,  0.32656546,
       -1.90905609])]"
7999,moveabsj,"[array([ -24.46179093,  482.37462189, 1063.57968638])]","[array([ 0.70384834,  1.39635283, -2.55148639,  1.0835345 ,  0.3151118 ,
       -1.91183732])]"
8999,moveabsj,"[array([ -35.28694394,  475.50339413, 1065.59039924])]","[array([ 0.70524322,  1.38611984, -2.56470826,  1.08124495,  0.30231559,
       -1.91476024])]"
9999,moveabsj,"[array([ -46.51824517,  468.03812208, 1067.65975687])]","[array([ 0.70628919,  1.37517688, -2.5786006 ,  1.0789771 ,  0.28857545,
       -1.91768037])]"
10999,moveabsj,"[array([ -58.13344211,  460.24317015, 1069.59235917])]","[array([ 0.70743166,  1.36382977, -2.59293577,  1.07693976,  0.27412885,
       -1.92100288])]"
11999,moveabsj,"[array([ -70.05021544,  452.03286826, 1071.39374692])]","[array([ 0.70859608,  1.35209511, -2.607566  ,  1.07477238,  0.25964221,
       -1.9240076 ])]"
12999,moveabsj,"[array([ -82.1651897 ,  443.72796106, 1072.90916049])]","[array([ 0.7102568 ,  1.34028663, -2.6220932 ,  1.0727465 ,  0.24543053,
       -1.92716636])]"
13999,moveabsj,"[array([ -94.30537864,  435.43126498, 1074.0724927 ])]","[array([ 0.71249973,  1.32864343, -2.63627847,  1.07081231,  0.23206661,
       -1.9302604 ])]"
14999,moveabsj,"[array([-106.28856818,  427.31002511, 1074.83494407])]","[array([ 0.71546766,  1.31740967, -2.6498329 ,  1.06883751,  0.22008933,
       -1.93308575])]"
15999,moveabsj,"[array([-117.8874907 ,  419.57135801, 1075.18776833])]","[array([ 0.71927133,  1.30676651, -2.66230596,  1.06706496,  0.2099793 ,
       -1.9358452 ])]"
16999,moveabsj,"[array([-128.90365395,  412.45906053, 1075.05432512])]","[array([ 0.72407796,  1.29711072, -2.67355862,  1.06523551,  0.20224443,
       -1.93833518])]"
17999,moveabsj,"[array([-139.09062274,  406.10354301, 1074.51326351])]","[array([ 0.7297691 ,  1.28851147, -2.68315577,  1.0632978 ,  0.1974563 ,
       -1.94032194])]"
18999,moveabsj,"[array([-148.24764403,  400.79086549, 1073.51246829])]","[array([ 0.73648947,  1.28135634, -2.69092786,  1.06093321,  0.19614116,
       -1.94159126])]"
19999,moveabsj,"[array([-156.10112678,  396.96768426, 1071.9767417 ])]","[array([ 0.7444988 ,  1.27608239, -2.69641192,  1.0589891 ,  0.19870955,
       -1.94325305])]"
20999,moveabsj,"[array([-162.4578706 ,  394.82064294, 1070.0651109 ])]","[array([ 0.75371552,  1.27258207, -2.69892951,  1.0571341 ,  0.20586751,
       -1.94487385])]"
21999,moveabsj,"[array([-167.11423337,  394.60249672, 1067.55093928])]","[array([ 0.76410915,  1.27159657, -2.69873335,  1.05436996,  0.21847272,
       -1.94538354])]"
22999,moveabsj,"[array([-169.86553297,  396.79559897, 1064.33547068])]","[array([ 0.77597967,  1.27342444, -2.69506727,  1.05148682,  0.23715962,
       -1.94586221])]"
