,breakpoints,primitives,J1,J2,J3,J4,J5,J6
0,0,movej_fit,-0.95020661372976,-0.0806723404962982,-0.2956864681762714,-0.3634545395167824,-1.362278715386386,2.9229538994845283
1,499,movel_fit,-0.95020661372976,-0.0806723404962982,-0.2956864681762714,-0.3634545395167824,-1.362278715386386,2.9229538994845283
2,999,movel_fit,-0.9501935693171424,-0.0807051263244884,-0.2957302288883949,-0.3634556278607477,-1.3622639268714458,2.9229457122476696
3,1499,movel_fit,-0.9502093469728924,-0.0807358698958317,-0.2957823231963079,-0.363511667476985,-1.3622543532335698,2.922947254158645
4,1999,movel_fit,-0.9502270792234012,-0.0807540368337453,-0.2958221243369803,-0.3635693395611561,-1.3622616390306417,2.92294991425673
5,2499,movel_fit,-0.9502447743790636,-0.0807721903171767,-0.2958618988370598,-0.36362694862709,-1.36226893886568,2.9229524840150893
6,2999,movel_fit,-0.950262432487281,-0.0807903303650546,-0.2959016467279882,-0.3636844947574713,-1.3622762527170849,2.922954963564629
7,3499,movel_fit,-0.9502800536016504,-0.0808084569967362,-0.2959413680439182,-0.363741978048579,-1.362283580562876,2.9229573530240707
8,3999,movel_fit,-0.9502976377731374,-0.0808265702319016,-0.2959810628183983,-0.3637993985913966,-1.3622909223804884,2.922959652513877
9,4499,movel_fit,-0.9503151850487636,-0.0808446700867551,-0.2960207310799727,-0.3638567564670186,-1.3622982781520117,2.922961862168511
10,4999,movel_fit,-0.9503326954870914,-0.0808627565822264,-0.2960603728662745,-0.3639140517831193,-1.3623056478534834,2.922963982094327
11,5499,movel_fit,-0.9503501691304992,-0.0808808297346332,-0.2960999882043182,-0.363971284610896,-1.3623130314666678,2.922966012433073
12,5999,movel_fit,-0.9503676060367524,-0.0808988895646279,-0.2961395771311974,-0.3640284550564203,-1.3623204289679205,2.9229679532911006
13,6499,movel_fit,-0.9503850062532226,-0.0809169360904655,-0.2961791396777751,-0.3640855632025648,-1.3623278403364985,2.9229698047963244
14,6999,movel_fit,-0.9504023698290568,-0.0809349693299354,-0.2962186758750955,-0.3641426091356111,-1.3623352655524223,2.9229715670765826
15,7499,movel_fit,-0.9504196968170096,-0.0809529893016486,-0.2962581857563802,-0.3641995929502287,-1.3623427045946506,2.9229732402493043
16,7999,movel_fit,-0.9504369872684508,-0.0809709960242557,-0.2962976693544057,-0.3642565147381383,-1.3623501574420422,2.922974824434045
17,8499,movel_fit,-0.9504542412325012,-0.0809889895173386,-0.2963371267021135,-0.3643133745864388,-1.362357624072133,2.9229763197537064
18,8999,movel_fit,-0.9504714587580024,-0.0810069697967118,-0.2963765578284669,-0.3643701725805702,-1.3623651044675418,2.922977726335428
19,9499,movel_fit,-0.9504886398977952,-0.0810249368807181,-0.2964159627665141,-0.3644269088152755,-1.3623725986076274,2.9229790442971697
20,9999,movel_fit,-0.950505784701292,-0.0810428907909807,-0.2964553415514639,-0.3644835833791885,-1.3623801064671257,2.922980273756345
21,10499,movel_fit,-0.9505228932174336,-0.0810608315425588,-0.29649469421159,-0.3645401963577246,-1.362387628029704,2.922981414841016
22,10999,movel_fit,-0.9505399654992832,-0.0810787591550088,-0.2965340207813276,-0.3645967478468211,-1.3623951632730271,2.9229824676642213
23,11499,movel_fit,-0.9505570015912692,-0.0810966736466916,-0.2965733212907557,-0.364653237923264,-1.36240271217612,2.922983432357068
24,11999,movel_fit,-0.9505740015507396,-0.0811145750357606,-0.2966125957744552,-0.3647096666917661,-1.3624102747187226,2.9229843090272327
25,12499,movel_fit,-0.9505909654211786,-0.0811324633388402,-0.2966518442604009,-0.3647660342267624,-1.3624178508821434,2.9229850978076954
26,12999,movel_fit,-0.9506078932550652,-0.0811503385750891,-0.2966910667824776,-0.3648223406228321,-1.3624254406445877,2.922985798812908
27,13499,movel_fit,-0.9506247851039972,-0.0811682007629653,-0.2967302633735409,-0.3648785859724635,-1.3624330439851802,2.9229864121595264
28,13999,movel_fit,-0.9506416410137488,-0.0811860499191096,-0.2967694340624689,-0.3649347703551288,-1.3624406608852864,2.9229869379757343
29,14499,movel_fit,-0.9506584610362054,-0.0812038860633212,-0.2968085788836425,-0.3649908938644763,-1.3624482913222091,2.922987376374943
30,14999,movel_fit,-0.9506752452188484,-0.0812217092114803,-0.2968476978658101,-0.3650469565834506,-1.3624559352784116,2.9229877274831204
31,15499,movel_fit,-0.9506919936143632,-0.0812395193832465,-0.2968867910435346,-0.3651029586074574,-1.362463592731408,2.922987991411804
32,15999,movel_fit,-0.9507087062701772,-0.0812573165963856,-0.2969258584475256,-0.3651589000200416,-1.362471263661088,2.922988168283545
33,16499,movel_fit,-0.9507253832368292,-0.0812751008672775,-0.2969649001082126,-0.3652147809109508,-1.3624789480493562,2.9229882582179414
34,16999,movel_fit,-0.9507420245593988,-0.0812928722146111,-0.297003916056437,-0.3652706013589567,-1.3624866458747742,2.922988261340429
35,17499,movel_fit,-0.9507586302928512,-0.0813106306554318,-0.2970429063249622,-0.3653263614639784,-1.3624943571184212,2.922988177758397
36,17999,movel_fit,-0.9507752004829796,-0.081328376207958,-0.2970818709444376,-0.3653820613059717,-1.3625020817595823,2.9229880075984926
37,18499,movel_fit,-0.9507917351799406,-0.0813461088921734,-0.2971208099489431,-0.3654377009754097,-1.362509819775191,2.9229877509726947
38,18999,movel_fit,-0.9508082344307428,-0.0813638287219689,-0.2971597233651357,-0.3654932805538733,-1.362517571150379,2.9229874080080145
39,19499,movel_fit,-0.9508246982880156,-0.0813815357160279,-0.2971986112266878,-0.3655488001367344,-1.3625253358639513,2.922986978814028
40,19999,movel_fit,-0.9508411267951704,-0.0813992298916415,-0.2972374735624896,-0.3656042597987952,-1.362533113896329,2.92298646352042
41,20499,movel_fit,-0.9508575200067924,-0.0814169112698971,-0.2972763104094424,-0.3656596596405098,-1.3625409052231126,2.922985862229277
42,20999,movel_fit,-0.9508738779679584,-0.0814345798636105,-0.297315121792457,-0.3657149997392319,-1.3625487098307896,2.9229851750700577
43,21499,movel_fit,-0.9508902007284864,-0.0814522356909099,-0.2973539077436733,-0.3657702801840598,-1.3625565276988472,2.922984402158296
44,21999,movel_fit,-0.9509064883355958,-0.0814698787722046,-0.2973926682966565,-0.3658255010592895,-1.3625643588035712,2.922983543610388
45,22499,movel_fit,-0.9509227408401149,-0.0814875091228761,-0.2974314034811132,-0.3658806624555684,-1.3625722031281755,2.9229825995416867
46,22999,movel_fit,-0.9509389582897488,-0.0815051267604233,-0.2974701133278143,-0.3659357644575121,-1.3625800606528826,2.922981570069914
47,23499,movel_fit,-0.9509551407302173,-0.0815227317021456,-0.2975087978666151,-0.3659908071453605,-1.362587931358132,2.922980455316815
48,23999,movel_fit,-0.9509712882140118,-0.0815403239648504,-0.2975474571293521,-0.366045790613817,-1.3625958152252715,2.9229792553928213
49,24499,movel_fit,-0.9509874007866664,-0.081557903567145,-0.2975860911471955,-0.3661007149431642,-1.3626037122329646,2.9229779704180223
50,24999,movel_fit,-0.9510034784951964,-0.0815754705248713,-0.2976246999490191,-0.3661555802162263,-1.3626116223636329,2.9229766005116664
51,25499,movel_fit,-0.9510195213937144,-0.0815930248582487,-0.2976632835708228,-0.3662103865323977,-1.3626195455940493,2.9229751457758506
52,25999,movel_fit,-0.951035529521036,-0.0816105665787225,-0.2977018420339785,-0.3662651339552379,-1.3626274819123618,2.9229736063516474
53,26499,movel_fit,-0.9510515029319322,-0.0816280957079117,-0.297740375376204,-0.3663198225862152,-1.3626354312934332,2.9229719823363047
54,26999,movel_fit,-0.9510674416735352,-0.0816456122636586,-0.2977788836285455,-0.3663744525091274,-1.3626433937169815,2.9229702738455154
55,27499,movel_fit,-0.9510833457920532,-0.081663116258805,-0.297817366816566,-0.3664290238041051,-1.3626513691695044,2.922968481003969
56,27999,movel_fit,-0.9510992153343364,-0.0816806077127612,-0.2978558249728569,-0.3664835365547929,-1.3626593576286004,2.9229666039260715
57,28499,movel_fit,-0.9511150503511184,-0.0816980866437882,-0.2978942581302608,-0.3665379908530002,-1.362667359073546,2.922964642719736
58,28999,movel_fit,-0.9511308508875144,-0.0817155530660149,-0.2979326663153168,-0.3665923867769893,-1.362675373489049,2.9229625975091045
