breakpoints,primitives,points
1,movej_fit,"[array([ 0.62749607,  0.17961186,  0.51967803,  1.60535797, -0.89342934,
        0.91731954])]"
2518,movec_fit,"[array([2317.00210617,  976.82648838,  708.30158547]), array([2294.06011567,  863.53599338,  681.65540589])]"
3699,movec_fit,"[array([2279.6795314 ,  808.59051611,  675.74297923]), array([2263.39202203,  753.97652985,  674.41085042])]"
3849,movel_fit,"[array([2259.29319189,  739.87532333,  674.1081954 ])]"
5417,movec_fit,"[array([2235.09895504,  666.50168219,  678.17217922]), array([2209.78342688,  593.80160997,  685.87878708])]"
7059,movec_fit,"[array([2182.60870782,  516.7815904 ,  696.24369848]), array([2155.76965577,  440.11101178,  709.6327917 ])]"
7912,movec_fit,"[array([2141.65675148,  399.86490719,  716.3163805 ]), array([2128.76417499,  359.3821077 ,  723.37327679])]"
8672,movel_fit,"[array([2105.63635408,  286.67143227,  734.79764451])]"
9391,movel_fit,"[array([2086.57034911,  216.41373289,  744.56505025])]"
10600,movec_fit,"[array([2072.7129796 ,  156.17661351,  750.05626178]), array([2061.20391104,   95.37301223,  752.96116166])]"
12398,movec_fit,"[array([2050.24555817,    3.71119544,  750.08176995]), array([2048.10587422,  -87.62089448,  736.51210103])]"
13423,movec_fit,"[array([2051.98021756, -137.88911715,  722.65607652]), array([2059.13049656, -186.4305845 ,  704.88377149])]"
14596,movec_fit,"[array([2071.63424438, -238.23347859,  679.66359649]), array([2088.43387606, -286.11824174,  649.84841551])]"
15996,movec_fit,"[array([2113.02612536, -337.31057966,  610.31071115]), array([2142.09344288, -382.97397083,  567.19911352])]"
16590,movel_fit,"[array([2168.18205349, -419.02272851,  529.57583203])]"
17048,movec_fit,"[array([2178.08675845, -432.77965981,  514.94673686]), array([2188.71733854, -445.54690627,  499.93491077])]"
17580,movel_fit,"[array([2215.78141071, -474.49403798,  463.00130664])]"
