breakpoints,primitives,points
1,movej_fit,"[array([ 0.62583928,  0.17672219,  0.51892929,  1.61678503, -0.88258437,
        0.92770413])]"
7383,movec_fit,"[array([2316.59535334,  973.41107719,  706.8935246 ]), array([2292.38534151,  856.32460978,  680.39526354])]"
12571,movec_fit,"[array([2268.83525879,  771.0892188 ,  673.94457201]), array([2241.70853648,  686.72000588,  676.64021409])]"
17400,movec_fit,"[array([2214.32737765,  607.19904291,  683.63888163]), array([2186.20111078,  528.39943223,  694.40601001])]"
22050,movec_fit,"[array([2159.19592188,  451.58671219,  707.25990217]), array([2132.98230998,  374.61255808,  720.77000452])]"
27129,movec_fit,"[array([2106.54648755,  288.68604219,  734.73163924]), array([2082.79266678,  201.67055896,  746.33734923])]"
32739,movec_fit,"[array([2062.34831948,  102.64956078,  752.96632651]), array([2049.65243958,    2.14933975,  750.60142687])]"
36905,movec_fit,"[array([2047.79996234,  -72.13052462,  739.70642296]), array([2052.41814941, -144.69431684,  720.92347638])]"
40843,movec_fit,"[array([2063.70274133, -208.67024224,  695.0847739 ]), array([2081.16456042, -267.88703105,  662.27690814])]"
45540,movec_fit,"[array([2108.75908025, -329.97598031,  616.80604489]), array([2142.81685213, -384.24884826,  566.08191008])]"
47353,movel_fit,"[array([2170.78040307, -423.01553676,  525.76040769])]"
48690,movec_fit,"[array([2181.18844901, -436.95265759,  510.45533423]), array([2192.36992495, -449.91996289,  494.89781632])]"
49999,movel_fit,"[array([2215.8807286 , -474.85424265,  462.88952099])]"
