breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([407.53823903, -17.54275943, 815.1337048 ])]","[array([-1.26464297, -1.10375129, -1.07261769, -2.14924242, -2.18336275,
       -0.0217598 ])]"
4484,movel_fit,"[array([484.09128019, -64.90636501, 928.74750587])]","[array([-1.2152306 , -0.94505062, -0.8806428 , -2.07963136, -2.09411942,
        0.03723865])]"
9044,movel_fit,"[array([ 529.35255712,  -94.74421021, 1005.25580976])]","[array([-1.24201904, -0.8798397 , -0.73738662, -2.01325117, -2.01903292,
        0.08706452])]"
14888,movel_fit,"[array([ 583.92147984, -129.22266074, 1106.57608832])]","[array([-1.29233019, -0.81690636, -0.5301623 , -1.89764283, -1.90171632,
        0.16088985])]"
17620,movel_fit,"[array([ 610.63197476, -144.25126726, 1153.64005957])]","[array([-1.28542204, -0.77494616, -0.43624536, -1.85344297, -1.8500973 ,
        0.18932179])]"
20158,movel_fit,"[array([ 637.87973234, -160.12229529, 1195.27753938])]","[array([-1.25811763, -0.72651473, -0.36237923, -1.83153873, -1.80647368,
        0.20445489])]"
22343,movel_fit,"[array([ 664.15106912, -176.01026607, 1228.14324419])]","[array([-1.2130419 , -0.66880666, -0.31359648, -1.84197856, -1.78408869,
        0.2051361 ])]"
24531,movel_fit,"[array([ 693.34218228, -193.90652287, 1257.40572751])]","[array([-1.14879161, -0.59565833, -0.28236038, -1.89028845, -1.78122008,
        0.18913168])]"
26903,movel_fit,"[array([ 728.36643314, -213.81171996, 1284.92434407])]","[array([-1.04803546, -0.49235798, -0.26657584, -2.00014918, -1.81241769,
        0.14763206])]"
29222,movel_fit,"[array([ 765.7601353 , -230.08025617, 1309.79562004])]","[array([-0.9152979 , -0.36968909, -0.25103131, -2.15959701, -1.87735266,
        0.08479379])]"
31566,movel_fit,"[array([ 803.95035455, -241.28588557, 1337.34021929])]","[array([-0.78410327, -0.25083167, -0.2078208 , -2.31990319, -1.9427404 ,
        0.02309943])]"
33322,movel_fit,"[array([ 830.1775032 , -248.47582134, 1361.52468261])]","[array([-7.21404756e-01, -1.84371660e-01, -1.58428604e-01, -2.39868813e+00,
       -1.96298431e+00, -2.31743751e-03])]"
34766,movel_fit,"[array([ 848.9679812 , -256.70248396, 1383.44922593])]","[array([-0.69843109, -0.14475481, -0.11305827, -2.43062933, -1.95920533,
       -0.00955503])]"
36110,movel_fit,"[array([ 862.67383816, -266.95536083, 1405.60188688])]","[array([-7.06339963e-01, -1.22387718e-01, -6.80058987e-02, -2.42350335e+00,
       -1.93678691e+00,  8.34147681e-04])]"
37592,movel_fit,"[array([ 872.78673369, -280.69660406, 1431.31768025])]","[array([-0.74697175, -0.11530989, -0.01608606, -2.37224123, -1.89089074,
        0.0303073 ])]"
39327,movel_fit,"[array([ 879.20519382, -296.46624195, 1463.08103613])]","[array([-0.83100319, -0.13039144,  0.0564589 , -2.25038843, -1.80747285,
        0.09015547])]"
41062,movel_fit,"[array([ 882.80915411, -307.36353773, 1497.27808086])]","[array([-0.92660449, -0.15816788,  0.15643031, -2.08073806, -1.70379871,
        0.16903487])]"
42829,movel_fit,"[array([ 888.38944565, -312.60714965, 1533.19976518])]","[array([-0.98895897, -0.1671863 ,  0.28104135, -1.92045409, -1.61541804,
        0.24345317])]"
44186,movel_fit,"[array([ 896.95424383, -315.42969477, 1560.17428796])]","[array([-1.00343451, -0.14743419,  0.37505533, -1.84408786, -1.57562841,
        0.28003009])]"
45301,movel_fit,"[array([ 908.15131241, -320.93064233, 1580.2949602 ])]","[array([-1.00125901, -0.11803814,  0.43920214, -1.81848265, -1.55647836,
        0.29415547])]"
46356,movel_fit,"[array([ 921.72702126, -329.47160552, 1596.019981  ])]","[array([-0.98946307, -0.07952149,  0.4816883 , -1.83648164, -1.55359652,
        0.29144028])]"
47565,movel_fit,"[array([ 939.67159227, -341.77660367, 1609.08786919])]","[array([-0.96422426, -0.0294476 ,  0.50227761, -1.90537517, -1.56544069,
        0.26945044])]"
49034,movel_fit,"[array([ 963.99005247, -357.0109904 , 1619.77261497])]","[array([-0.90828408,  0.04249591,  0.49934681, -2.05202504, -1.60332131,
        0.21692038])]"
49999,movel_fit,"[array([1028.18134593, -383.87822616, 1642.48999802])]","[array([-0.68245366,  0.22768815,  0.50084105, -2.50863737, -1.71069873,
        0.02816986])]"
