breakpoints,primitives,points
0,movej_fit,"[array([ 0.62735068,  0.84189668, -0.24971871,  1.70936801, -0.90110557,
        0.79538912])]"
8272,movec_fit,"[array([2314.29540414,  959.22867249,  702.33372784]), array([2284.73159152,  827.38662938,  677.38591183])]"
15184,movec_fit,"[array([2250.64005249,  713.31207384,  674.61486529]), array([2211.94395508,  601.2698189 ,  685.3700994 ])]"
15419,movec_fit,"[array([2210.84615928,  597.36829665,  684.53024331]), array([2209.56103709,  593.75425293,  685.99243912])]"
21162,movec_fit,"[array([2175.41904836,  498.98782179,  698.97806571]), array([2142.66970122,  404.3901887 ,  715.90630346])]"
22109,movec_fit,"[array([2138.37098768,  388.24860158,  718.47607708]), array([2132.14113657,  372.86351188,  721.46210246])]"
23397,movec_fit,"[array([2126.21958123,  350.82698452,  724.6570483 ]), array([2118.22881038,  329.7128989 ,  728.89250466])]"
24265,movec_fit,"[array([2114.66983879,  314.5998573 ,  730.28264668]), array([2109.2533276 ,  300.44626218,  733.61681735])]"
25181,movec_fit,"[array([2105.70317962,  284.37388662,  735.14592687]), array([2100.11792795,  269.21605544,  738.29820966])]"
26078,movec_fit,"[array([2096.83625936,  253.42584607,  739.50029903]), array([2091.61085164,  238.45909574,  742.51285987])]"
26897,movec_fit,"[array([2088.922577  ,  223.90189478,  743.27756134]), array([2084.27984674,  210.10725524,  745.88699022])]"
27750,movec_fit,"[array([2081.64422308,  194.89493665,  746.46275986]), array([2077.12119071,  180.36893307,  748.93586899])]"
28553,movec_fit,"[array([2074.94728549,  165.95486646,  749.08939294]), array([2070.91100641,  152.14508888,  751.20136472])]"
29328,movec_fit,"[array([2069.10277373,  138.17300161,  751.01591208]), array([2065.44928713,  124.72312215,  752.82073264])]"
30095,movec_fit,"[array([2063.88502001,  110.85915471,  752.23264027]), array([2060.61842832,   97.404532  ,  753.74716928])]"
30820,movec_fit,"[array([2059.49071823,   84.26820731,  752.80667535]), array([2056.63098683,   71.45313428,  753.97168965])]"
31555,movec_fit,"[array([2055.75936956,   58.1392644 ,  752.6536315 ]), array([2053.20861323,   45.03755463,  753.4426982 ])]"
32249,movec_fit,"[array([2052.79673226,   32.45806625,  751.79951635]), array([2050.60210669,   20.03696002,  752.21609715])]"
32961,movec_fit,"[array([2050.43847481,    7.19467329,  750.11983755]), array([2048.60587273,   -5.61553711,  750.1167569 ])]"
39236,movec_fit,"[array([2049.6838945 , -116.25476883,  729.04400067]), array([2066.03184792, -220.46272496,  689.65291936])]"
45777,movec_fit,"[array([2099.52527657, -312.25227517,  630.65884922]), array([2146.29305007, -389.11873477,  560.48894291])]"
46887,movec_fit,"[array([2154.57953491, -401.18777805,  548.12859613]), array([2163.90817354, -412.28681186,  535.70853517])]"
48425,movec_fit,"[array([2174.92154362, -429.41436682,  518.72309595]), array([2187.61869031, -444.25759353,  500.89141254])]"
50000,movec_fit,"[array([2201.38133452, -460.00384798,  481.91788829]), array([2215.98133611, -474.41576046,  462.56681069])]"
