breakpoints,primitives,points,q_bp
17500,movej_fit,"[array([1743.04835429, -397.03794683,  902.65608233])]","[array([ 0.09607275,  0.50536949,  0.0773281 ,  2.20329461, -1.43042607,
       -3.14725548])]"
18000,movej_fit,"[array([1751.47466576, -401.47063035,  898.78579992])]","[array([ 0.09508908,  0.51590568,  0.07037808,  2.19489288, -1.43229796,
       -3.14886849])]"
18500,movej_fit,"[array([1759.92509291, -405.96532437,  895.043212  ])]","[array([ 0.09377298,  0.5259423 ,  0.06307615,  2.18759746, -1.43353262,
       -3.14994717])]"
19000,movej_fit,"[array([1768.40465688, -410.52638114,  891.44776825])]","[array([ 0.09210971,  0.53543845,  0.05538292,  2.18151392, -1.43407187,
       -3.15044678])]"
19500,movej_fit,"[array([1776.91234073, -415.15537403,  888.02073513])]","[array([ 0.09008363,  0.54434719,  0.04726535,  2.17675782, -1.43385642,
       -3.15031949])]"
20000,movej_fit,"[array([1785.44968414, -419.85598097,  884.78068742])]","[array([ 0.08767569,  0.55262592,  0.0386895 ,  2.17344913, -1.43282671,
       -3.1495145 ])]"
20500,movej_fit,"[array([1794.01957704, -424.63373626,  881.74351134])]","[array([ 0.08486191,  0.5602344 ,  0.02962141,  2.17171678, -1.43092143,
       -3.14797625])]"
21000,movej_fit,"[array([1802.62278702, -429.49447342,  878.92302444])]","[array([ 0.08161292,  0.56713137,  0.02003092,  2.17170257, -1.42807741,
       -3.1456434 ])]"
21500,movej_fit,"[array([1811.25102408, -434.44060778,  876.33208589])]","[array([ 0.07789589,  0.57327064,  0.00990094,  2.17355994, -1.42423343,
       -3.14245124])]"
22000,movej_fit,"[array([1819.89541217, -439.47602088,  873.97862108])]","[array([ 7.36710367e-02,  5.78610033e-01, -7.79710783e-04,  2.17745113e+00,
       -1.41932989e+00, -3.13833045e+00])]"
22500,movej_fit,"[array([1828.54635173, -444.60614257,  871.8651855 ])]","[array([ 0.06889046,  0.58311174, -0.01201478,  2.18354779, -1.41330945,
       -3.13320673])]"
23000,movej_fit,"[array([1837.19142396, -449.83671465,  869.98911073])]","[array([ 0.06349863,  0.58674233, -0.02379554,  2.19202817, -1.40612011,
       -3.12700243])]"
23500,movej_fit,"[array([1845.81793423, -455.17513802,  868.34170967])]","[array([ 0.05743098,  0.58947576, -0.03610119,  2.20307529, -1.39771608,
       -3.11963634])]"
