breakpoints,primitives,points
0,movej_fit,"[array([ 0.54744892,  0.22582479,  0.22356086, -0.55920445,  1.51884942,
        2.27324352])]"
3172,movel_fit,"[array([1434.2458203 ,  437.64010381,  930.17145102])]"
6357,movel_fit,"[array([1437.30712103,  372.89165175,  939.4188392 ])]"
9659,movel_fit,"[array([1442.82660321,  305.82831922,  948.30256068])]"
13656,movel_fit,"[array([1451.61191606,  224.63792372,  957.34039643])]"
16298,movel_fit,"[array([1457.22535183,  170.83830036,  962.20542632])]"
18502,movel_fit,"[array([1460.1398814 ,  125.87430719,  966.95627284])]"
20233,movel_fit,"[array([1460.51127024,   90.60918503,  971.64976841])]"
21789,movel_fit,"[array([1458.89452674,   59.12858732,  977.03400114])]"
23314,movel_fit,"[array([1455.18107088,   28.63177751,  983.32639078])]"
24913,movel_fit,"[array([1448.96980999,   -2.82469594,  990.57224539])]"
26606,movel_fit,"[array([1440.04556564,  -35.64340924,  997.98008054])]"
28290,movel_fit,"[array([1429.44365332,  -68.07485346, 1003.85802106])]"
29986,movel_fit,"[array([1418.19423049, -100.86902372, 1007.50217369])]"
31621,movel_fit,"[array([1408.1765937 , -132.9168579 , 1009.06833875])]"
32955,movel_fit,"[array([1401.871455  , -159.59579532, 1009.98404578])]"
34049,movel_fit,"[array([1398.66336778, -181.81011276, 1011.50766347])]"
35024,movel_fit,"[array([1397.78518759, -201.68830682, 1013.95624557])]"
35975,movel_fit,"[array([1398.97705128, -220.86771927, 1017.55197683])]"
36984,movel_fit,"[array([1402.45284549, -240.74123697, 1022.43050429])]"
38131,movel_fit,"[array([1408.81123195, -262.61628029, 1028.53883512])]"
39388,movel_fit,"[array([1418.02312196, -285.98186943, 1034.64460086])]"
40647,movel_fit,"[array([1428.56440782, -309.24462356, 1038.89407439])]"
41922,movel_fit,"[array([1439.29899435, -333.08038769, 1040.8589533 ])]"
43118,movel_fit,"[array([1448.165669  , -356.02090444, 1041.06389148])]"
44100,movel_fit,"[array([1453.51512459, -375.4941029 , 1041.16642495])]"
44918,movel_fit,"[array([1456.0123351 , -392.11075294, 1042.08806993])]"
45665,movel_fit,"[array([1456.28470342, -407.34634025, 1044.05704081])]"
46415,movel_fit,"[array([1454.46895872, -422.33856926, 1047.22191772])]"
47249,movel_fit,"[array([1450.19949409, -438.3353366 , 1051.72473887])]"
48239,movel_fit,"[array([1442.71704745, -456.40135676, 1057.40365322])]"
49313,movel_fit,"[array([1432.58454862, -475.33357914, 1062.57476073])]"
50000,movel_fit,"[array([1425.50583882, -487.39552364, 1064.62991142])]"
