breakpoints,primitives,points
0,movej_fit,"[array([ 0.11511927,  1.33818073, -0.73016073,  0.54257014, -0.80063509,
       -0.07226121])]"
8400,movec_fit,"[array([3.02958312e+03, 1.88380754e+00, 4.72722190e+02]), array([2963.73552663, -124.58668328,  435.94492151])]"
12893,movec_fit,"[array([2925.3632146 , -193.11576954,  427.56733825]), array([2885.75931114, -261.40870747,  426.61255263])]"
17949,movec_fit,"[array([2840.72234029, -338.0026711 ,  430.14671965]), array([2795.9447572 , -414.30465371,  438.38873149])]"
19668,movel_fit,"[array([2766.21266209, -466.62123995,  444.29472174])]"
25005,movec_fit,"[array([2720.22835015, -547.78457822,  454.60665167]), array([2676.37713714, -630.21072042,  463.81445614])]"
31349,movec_fit,"[array([2627.64438761, -730.39532323,  469.03915236]), array([2584.43332564, -833.02781754,  464.25938534])]"
36749,movec_fit,"[array([2554.81784188, -921.50479214,  446.95353106]), array([ 2533.08045165, -1008.5753874 ,   416.33260561])]"
44083,movec_fit,"[array([ 2519.55208771, -1118.49332823,   350.78616784]), array([ 2522.62309414, -1213.80851419,   264.47904965])]"
50000,movec_fit,"[array([ 2533.74201888, -1280.61406389,   185.57221797]), array([ 2551.36933803, -1338.20567536,   100.84863334])]"
