breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([453.30636219, 637.57908636, 896.77770049])]","[array([-0.09739542,  0.59867766, -0.99975959,  0.7029453 , -1.8338312 ,
        5.52607295])]"
1301,movec_fit,"[array([458.51498804, 632.5155288 , 899.05476359]), array([464.08248539, 625.76061947, 902.83819172])]","[array([-0.10079892,  0.60081951, -0.99948782,  0.70181689, -1.83159889,
        5.53040541]), array([-0.10588927,  0.60170393, -0.99764897,  0.69906853, -1.82797274,
        5.53506894])]"
3033,movec_fit,"[array([470.84108181, 615.71144315, 909.108218  ]), array([476.3815024 , 605.39937643, 916.0414232 ])]","[array([-0.11345643,  0.601846  , -0.99395618,  0.69478827, -1.82205916,
        5.54159464]), array([-0.1209336 ,  0.60139488, -0.98955826,  0.69070029, -1.8155909 ,
        5.54828648])]"
4998,movec_fit,"[array([481.1954127 , 593.66725738, 924.42922581]), array([484.49057327, 582.04065308, 933.22939435])]","[array([-0.1290496 ,  0.60041494, -0.98395561,  0.68646471, -1.80781059,
        5.55601307]), array([-0.13672453,  0.59899563, -0.9777723 ,  0.68260102, -1.79966196,
        5.56377987])]"
7770,movec_fit,"[array([486.74286054, 566.07593674, 946.0251002 ]), array([486.54091765, 551.36974409, 958.46083324])]","[array([-0.1466634 ,  0.59649046, -0.96827452,  0.67779849, -1.78777134,
        5.57469159]), array([-0.15508185,  0.5939265 , -0.95847164,  0.67403524, -1.77608078,
        5.5851766 ])]"
10467,movec_fit,"[array([484.42067244, 538.56168753, 969.82248633]), array([480.64064559, 527.06137794, 980.56113153])]","[array([-0.16173027,  0.59163441, -0.94890019,  0.67139096, -1.76521185,
        5.59475889]), array([-0.16717535,  0.58937303, -0.93913769,  0.66946049, -1.75473991,
        5.6036837 ])]"
12043,movel_fit,"[array([474.16376479, 514.70578724, 992.80589092])]","[array([-0.17261722,  0.58634834, -0.92698825,  0.66763051, -1.74255806,
        5.61347227])]"
14168,movec_fit,"[array([ 468.56236739,  506.84419709, 1001.00879121]), array([ 462.04157786,  499.3278574 , 1009.1427179 ])]","[array([-0.17593691,  0.58394264, -0.91818363,  0.66649146, -1.73425163,
        5.61975833]), array([-0.1790466 ,  0.58123151, -0.90888056,  0.66537303, -1.72589209,
        5.62580104])]"
15997,movec_fit,"[array([ 455.7064419 ,  493.06989257, 1016.11312037]), array([ 448.78405113,  487.01686794, 1022.99999701])]","[array([-0.1816142 ,  0.5786442 , -0.9004176 ,  0.66439149, -1.71862317,
        5.63085462]), array([-0.18410824,  0.5758425 , -0.89157394,  0.66336862, -1.71133786,
        5.63575835])]"
17747,movec_fit,"[array([ 441.61384634,  481.35791289, 1029.5362801 ]), array([ 433.9946604 ,  475.84113102, 1035.96518493])]","[array([-0.18647893,  0.57295306, -0.88269854,  0.6623183 , -1.70431969,
        5.64035235]), array([-0.18885672,  0.56988975, -0.87346438,  0.66118049, -1.69730837,
        5.64483617])]"
19448,movec_fit,"[array([ 426.1771319 ,  470.58000568, 1042.11461748]), array([ 418.06377026,  465.44547605, 1048.09933284])]","[array([-0.19121649,  0.56675257, -0.864108  ,  0.65996696, -1.69049028,
        5.64911355]), array([-0.19364201,  0.56350045, -0.85444701,  0.65863578, -1.68373815,
        5.65328304])]"
21072,movec_fit,"[array([ 410.04100116,  460.6154885 , 1053.68079455]), array([ 401.82467322,  455.8547249 , 1059.10234789])]","[array([-0.19607573,  0.56028005, -0.84488141,  0.65721983, -1.67732536,
        5.65718927]), array([-0.19866857,  0.55696045, -0.83501955,  0.65562878, -1.67097702,
        5.66100631])]"
