,x,y,z,direction_x,direction_y,direction_z
0,300.0,-4.791469209521325e-13,-461.99999999999903,-0.5051100000000001,0.74303,0.43906000000000006
1,301.5905015115115,1.7780164228825959,-463.1349279107695,-0.5051100000000001,0.74303,0.43906000000000006
2,303.18100302302304,3.5560328457657344,-464.2698558215399,-0.5051100000000001,0.74303,0.43906000000000006
3,304.77150453453453,5.334049268648809,-465.40478373231036,-0.5051100000000001,0.74303,0.43906000000000006
4,306.362006046046,7.1120656915318845,-466.5397116430808,-0.5051100000000001,0.74303,0.43906000000000006
5,307.95250755755757,8.890082114415023,-467.67463955385125,-0.5051100000000001,0.74303,0.43906000000000006
6,309.54300906906906,10.668098537298098,-468.8095674646217,-0.5051100000000001,0.74303,0.43906000000000006
7,311.1335105805806,12.446114960181237,-469.9444953753922,-0.5051100000000001,0.74303,0.43906000000000006
8,312.7240120920921,14.22413138306431,-471.0794232861626,-0.5051100000000001,0.74303,0.43906000000000006
9,314.3145136036036,16.002147805947388,-472.214351196933,-0.5051100000000001,0.74303,0.43906000000000006
10,315.90501511511513,17.780164228830525,-473.3492791077035,-0.5051100000000001,0.74303,0.43906000000000006
11,317.4955166266266,19.5581806517136,-474.4842070184739,-0.5051100000000001,0.74303,0.43906000000000006
12,319.0860181381381,21.336197074596676,-475.61913492924435,-0.5051100000000001,0.74303,0.43906000000000006
13,320.67651964964966,23.114213497479813,-476.75406284001485,-0.433,0.7194,0.54311
14,322.26702116116115,24.89222992036289,-477.88899075078524,-0.433,0.7194,0.54311
15,323.8575226726727,26.670246343246028,-479.02391866155574,-0.433,0.7194,0.54311
16,325.4480241841842,28.4482627661291,-480.1588465723262,-0.433,0.7194,0.54311
17,327.0385256956957,30.22627918901218,-481.29377448309657,-0.433,0.7194,0.54311
18,328.62902720720723,32.004295611895316,-482.42870239386707,-0.433,0.7194,0.54311
19,330.2195287187187,33.78231203477839,-483.5636303046375,-0.433,0.7194,0.54311
20,331.8100302302302,35.56032845766146,-484.6985582154079,-0.433,0.7194,0.54311
21,333.40053174174176,37.338344880544604,-485.8334861261784,-0.433,0.7194,0.54311
22,334.99103325325325,39.11636130342768,-486.96841403694884,-0.433,0.7194,0.54311
23,336.5815347647648,40.894377726310815,-488.1033419477193,-0.433,0.7194,0.54311
24,338.1720362762763,42.67239414919389,-489.23826985848973,-0.433,0.7194,0.54311
25,339.7625377877878,44.272982882724726,-490.2452464488069,-0.433,0.7194,0.54311
26,341.3530392992993,45.86332053936617,-491.2448305130258,-0.433,0.7194,0.54311
27,342.9435408108108,47.45365819600755,-492.2444145772448,-0.433,0.7194,0.54311
28,344.5340423223223,49.04399585264894,-493.24399864146375,-0.433,0.7194,0.54311
29,346.12454383383385,50.634333509290386,-494.24358270568274,-0.433,0.7194,0.54311
30,347.71504534534535,52.22467116593176,-495.2431667699017,-0.433,0.7194,0.54311
31,349.30554685685684,53.81500882257315,-496.24275083412067,-0.433,0.7194,0.54311
32,350.8960483683684,55.40534647921459,-497.2423348983396,-0.433,0.7194,0.54311
33,352.4865498798799,56.995684135855974,-498.2419189625586,-0.433,0.7194,0.54311
34,354.0770513913914,58.58602179249742,-499.2415030267776,-0.433,0.7194,0.54311
35,355.6675529029029,60.17635944913881,-500.24108709099653,-0.433,0.7194,0.54311
36,357.2580544144144,61.76669710578018,-501.24067115521547,-0.37323,0.7307600000000001,0.57157
37,358.84855592592595,63.35703476242163,-502.2402552194345,-0.37323,0.7307600000000001,0.57157
38,360.43905743743744,64.94737241906302,-503.2398392836534,-0.37323,0.7307600000000001,0.57157
39,362.029558948949,66.53771007570445,-504.23942334787245,-0.37323,0.7307600000000001,0.57157
40,363.6200604604605,68.12804773234585,-505.2390074120914,-0.37323,0.7307600000000001,0.57157
41,365.21056197197197,69.71838538898723,-506.2385914763103,-0.37323,0.7307600000000001,0.57157
42,366.8010634834835,71.30872304562867,-507.2381755405293,-0.37323,0.7307600000000001,0.57157
43,368.391564994995,72.89906070227005,-508.2377596047483,-0.37323,0.7307600000000001,0.57157
44,369.9820665065065,74.48939835891144,-509.2373436689672,-0.37323,0.7307600000000001,0.57157
45,371.57256801801805,76.07973601555287,-510.2369277331862,-0.37323,0.7307600000000001,0.57157
46,373.16306952952954,77.67007367219426,-511.2365117974051,-0.37323,0.7307600000000001,0.57157
