,breakpoints,primitives,J1,J2,J3,J4,J5,J6
0,0,movej_fit,-0.6486673500210758,0.1167811968274257,-0.0969959489458442,-0.3313204807615191,-1.783640588929147,2.1889861020252748
1,499,movel_fit,-0.6486673500210758,0.1167811968274257,-0.0969959489458442,-0.3313204807615191,-1.783640588929147,2.1889861020252748
2,999,movel_fit,-0.6486546404058471,0.116766757763456,-0.0970118664588204,-0.331325611436496,-1.7836351506352388,2.1889745781219343
3,1499,movel_fit,-0.6486404554929255,0.116755164252524,-0.0970250950132229,-0.3313278948634639,-1.7836338285140418,2.18897250377355
4,1999,movel_fit,-0.6486262718142317,0.1167435681690302,-0.0970383258421894,-0.331330180231679,-1.783632503725492,2.188970432340516
5,2499,movel_fit,-0.6486120893686458,0.1167319695149546,-0.097051558943743,-0.3313324675389491,-1.7836311762725527,2.1889683638296176
6,2999,movel_fit,-0.6485979081546125,0.1167203682931223,-0.0970647943151086,-0.3313347567822378,-1.7836298461594078,2.188966298250443
7,3499,movel_fit,-0.6485837281748719,0.1167087644980729,-0.09707803196134,-0.3313370479667969,-1.7836285133782597,2.1889642355850847
8,3999,movel_fit,-0.648569549426691,0.1166971581349024,-0.0970912718775163,-0.3313393410873181,-1.7836271779365762,2.1889621758506674
9,4499,movel_fit,-0.6485553719125985,0.1166855491985564,-0.097104514068308,-0.3313416361486475,-1.7836258398271465,2.1889601190306296
10,4999,movel_fit,-0.6485411956299627,0.1166739376939366,-0.0971177585289779,-0.3313439331456716,-1.783624499057157,2.18895806514145
11,5499,movel_fit,-0.6485270205821205,0.1166623236144306,-0.0971310052656688,-0.3313462320847948,-1.7836231556171438,2.188956014161397
12,5999,movel_fit,-0.6485128467641355,0.1166507069693851,-0.0971442542694434,-0.3313485329564558,-1.7836218095207232,2.1889539661217063
13,6499,movel_fit,-0.6484986741809395,0.1166390877491112,-0.0971575055493507,-0.3313508357701384,-1.783620460753981,2.1889519209904305
14,6999,movel_fit,-0.6484845028297066,0.1166274659588825,-0.097170759100303,-0.3313531405203552,-1.7836191093246432,2.188949878785289
15,7499,movel_fit,-0.6484703327100654,0.1166158415992431,-0.0971840149216805,-0.3313554472063523,-1.7836177552335952,2.188947839508298
16,7999,movel_fit,-0.6484561638236803,0.1166042146668031,-0.0971972730165804,-0.3313577558313114,-1.7836163984760327,2.188945803148421
17,8499,movel_fit,-0.6484419961698862,0.1165925851626728,-0.0972105333838482,-0.3313600663939108,-1.7836150390536605,2.188943769709554
18,8999,movel_fit,-0.6484278297484476,0.1165809530871305,-0.0972237960231161,-0.3313623788936627,-1.7836136769669788,2.188941739192835
19,9499,movel_fit,-0.6484136645593122,0.1165693184401022,-0.0972370609343487,-0.3313646933304306,-1.7836123122159795,2.188939711598232
20,9999,movel_fit,-0.6483995006018262,0.1165576812226714,-0.0972503281164169,-0.3313670097029212,-1.7836109448023283,2.188937686929552
21,10499,movel_fit,-0.6483853378765403,0.1165460414336016,-0.0972635975703832,-0.3313693280121612,-1.7836095747243357,2.188935665182904
22,10999,movel_fit,-0.6483711763841065,0.1165343990714609,-0.0972768692974952,-0.3313716482593722,-1.7836082019800303,2.1889336463537523
23,11499,movel_fit,-0.6483570161231729,0.1165227541386804,-0.097290143295351,-0.3313739704419137,-1.7836068265730245,2.1889316304503743
24,11999,movel_fit,-0.6483428570944954,0.116511106633628,-0.0973034195653876,-0.3313762945612079,-1.783605448501058,2.188929617467567
25,12499,movel_fit,-0.6483286992970232,0.1164994565581555,-0.0973166981057498,-0.3313786206151917,-1.7836040677669085,2.188927607411692
26,12999,movel_fit,-0.6483145427337895,0.116487803906234,-0.0973299789220287,-0.3313809486096875,-1.7836026843619532,2.188925600262952
27,13499,movel_fit,-0.6483003874001696,0.1164761486866119,-0.0973432620058534,-0.3313832785357334,-1.7836012982989449,2.1889235960505924
28,13999,movel_fit,-0.6482862332995989,0.1164644908924866,-0.0973565473635458,-0.331385610399926,-1.783599909568142,2.188921594752248
29,14499,movel_fit,-0.6482720804306314,0.1164528305264723,-0.0973698349925316,-0.3313879441994384,-1.783598518173426,2.1889195963768144
30,14999,movel_fit,-0.6482579287920256,0.1164411675907889,-0.0973831248906078,-0.3313902799318415,-1.7835971241181046,2.1889176009318665
31,15499,movel_fit,-0.648243778387612,0.1164295020778711,-0.0973964170648162,-0.3313926176044938,-1.783595727391336,2.18891560839251
32,15999,movel_fit,-0.6482296292132563,0.1164178339955205,-0.0974097115076824,-0.3313949572093801,-1.783594328004502,2.188913618784853
33,16499,movel_fit,-0.6482154812708103,0.1164061633399906,-0.0974230082226401,-0.3313972987500398,-1.783592925952282,2.188911632096672
34,16999,movel_fit,-0.6482013345597153,0.116394490112182,-0.0974363072087336,-0.3313996422253623,-1.7835915212360776,2.1889096483311694
35,17499,movel_fit,-0.6481871890799313,0.1163828143119975,-0.0974496084659497,-0.3314019876352347,-1.7835901138558476,2.188907667488236
36,17999,movel_fit,-0.6481730448326957,0.1163711359368778,-0.0974629119966006,-0.3314043349820081,-1.783588703807989,2.1889056895595904
37,18499,movel_fit,-0.6481589018158713,0.1163594549907654,-0.097476217796858,-0.3314066842615294,-1.783587291098302,2.188903714558531
38,18999,movel_fit,-0.6481447600310002,0.1163477714705167,-0.0974895258695858,-0.3314090354767338,-1.7835858757223384,2.188901742474836
39,19499,movel_fit,-0.6481306194770386,0.1163360853779654,-0.0975028362129475,-0.3314113886255774,-1.7835844576828497,2.1888997733148057
40,19999,movel_fit,-0.6481164801542354,0.1163243967124603,-0.0975161488274529,-0.3314137437085024,-1.7835830369789922,2.188897807076491
41,20499,movel_fit,-0.6481023420635328,0.1163127054720066,-0.0975294637148815,-0.3314161007272944,-1.783581613607981,2.1888958437534867
42,20999,movel_fit,-0.6480882052021091,0.1163010116618745,-0.0975427808701507,-0.3314184596764731,-1.7835801875775343,2.188893883363493
43,21499,movel_fit,-0.6480740695739735,0.1162893152741541,-0.0975561003006268,-0.3314208205637411,-1.7835787588763137,2.1888919258804744
44,21999,movel_fit,-0.6480599351754073,0.1162776163158458,-0.0975694219995928,-0.3314231833818869,-1.7835773275145408,2.1888899713278755
45,22499,movel_fit,-0.6480458020074567,0.1162659147847546,-0.097582745969017,-0.3314255481328964,-1.7835758934891404,2.1888880196986262
46,22999,movel_fit,-0.6480316700728483,0.1162542106754488,-0.0975960722139255,-0.3314279148219949,-1.7835744567923555,2.1888860709749096
47,23499,movel_fit,-0.6480175393676628,0.1162425039953115,-0.0976094007272401,-0.3314302834415868,-1.7835730174349624,2.188884125181445
48,23999,movel_fit,-0.6480034098920502,0.1162307947438807,-0.0976227315092916,-0.3314326539919266,-1.7835715754163906,2.1888821823169096
49,24499,movel_fit,-0.6479892816495276,0.1162190829141973,-0.0976360645665488,-0.3314350264797646,-1.783570130726678,2.188880242358424
50,24999,movel_fit,-0.6479751546365868,0.1162073685128556,-0.0976493998926792,-0.3314374008982962,-1.7835686833754565,2.188878305328084
51,25499,movel_fit,-0.6479610288545521,0.116195651537122,-0.0976627374901595,-0.3314397772500477,-1.7835672333588726,2.18887637121703
52,25999,movel_fit,-0.6479469043024846,0.1161839319886371,-0.0976760773573357,-0.3314421555331679,-1.783565780679398,2.1888744400309217
53,26499,movel_fit,-0.6479327809819324,0.1161722098642383,-0.09768941949709,-0.3314445357506124,-1.783564325332558,2.1888725117594747
54,26999,movel_fit,-0.6479186588927286,0.116160485164076,-0.0977027639091763,-0.3314469179020212,-1.783562867318668,2.188870586403401
55,27499,movel_fit,-0.6479045380322699,0.1161487578929945,-0.0977161105889141,-0.3314493019823402,-1.7835614066448326,2.188868663978992
56,27999,movel_fit,-0.6478904184029588,0.1161370280461859,-0.0977294595407403,-0.3314516879961695,-1.7835599433041982,2.188866744470504
57,28499,movel_fit,-0.6478763000035777,0.1161252956258236,-0.0977428107624975,-0.3314540759411262,-1.7835584773000064,2.1888648278853635
58,28999,movel_fit,-0.6478621828361479,0.1161135606278403,-0.0977561642579223,-0.3314564658210702,-1.7835570086264745,2.188862914210284
59,29499,movel_fit,-0.6478480668977493,0.1161018230576871,-0.0977695200217627,-0.3314588576303404,-1.7835555372915832,2.188861003463572
60,29999,movel_fit,-0.6478339521898189,0.1160900829124193,-0.0977828780566945,-0.3314612513716736,-1.783554063291174,2.188859095635664
61,30499,movel_fit,-0.64781983871171,0.1160783401931157,-0.0977962383615953,-0.3314636470437807,-1.783552586626905,2.1888571907303587
62,30999,movel_fit,-0.6478057264644725,0.1160665948975715,-0.0978096009384423,-0.3314660446486606,-1.7835511072956869,2.1888552887405464
63,31499,movel_fit,-0.6477916154475469,0.116054847026693,-0.0978229657862754,-0.3314684441851973,-1.7835496252989291,2.1888533896694504
64,31999,movel_fit,-0.6477775056596098,0.1160430965828599,-0.0978363329027431,-0.3314708456508013,-1.7835481406401714,2.1888514935251835
65,32499,movel_fit,-0.6477633971023913,0.1160313435625605,-0.0978497022910569,-0.3314732490487775,-1.783546653314435,2.188849600296301
66,32999,movel_fit,-0.6477492897754349,0.1160195879665006,-0.0978630739504464,-0.331475654378211,-1.7835451633228394,2.1888477099853603
67,33499,movel_fit,-0.6477351836780176,0.1160078297959029,-0.097876447879653,-0.3314780616376709,-1.7835436706672505,2.188845822596631
68,33999,movel_fit,-0.6477210788096759,0.1159960690514841,-0.0978898240778951,-0.3314804708262308,-1.783542175348804,2.188843938132708
69,34499,movel_fit,-0.6477069751731523,0.1159843057277839,-0.0979032025502248,-0.3314828819491447,-1.7835406773597045,2.1888420565756808
70,34999,movel_fit,-0.6476928727648135,0.1159725398316362,-0.0979165832900847,-0.3314852949993689,-1.78353917670993,2.1888401779484408
71,35499,movel_fit,-0.6476787715865981,0.115960771359127,-0.0979299663010668,-0.3314877099806093,-1.7835376733939212,2.1888383022382154
72,35999,movel_fit,-0.6476646716373686,0.115949000312275,-0.0979433515811598,-0.3314901268906392,-1.7835361674146966,2.188836429451915
73,36499,movel_fit,-0.6476505729197601,0.1159372266858255,-0.0979567391352227,-0.3314925457345057,-1.7835346587647565,2.1888345595723147
74,36999,movel_fit,-0.6476364754295423,0.115925450487765,-0.0979701289556087,-0.3314949665040127,-1.7835331474557463,2.188832692626131
75,37499,movel_fit,-0.6476223791698512,0.1159136717118693,-0.0979835210480926,-0.3314973892051771,-1.783531633478766,2.1888308285929226
76,37999,movel_fit,-0.6476082841398476,0.115901890359584,-0.0979969154112039,-0.3314998138363453,-1.783530116836006,2.1888289674776997
77,38499,movel_fit,-0.6475941903388698,0.1158901064320116,-0.0980103120437978,-0.3315022403962059,-1.7835285975291582,2.1888271092843343
78,38999,movel_fit,-0.6475800977673849,0.1158783199280815,-0.098023710946782,-0.3315046688856219,-1.7835270755567725,2.1888252540094872
79,39499,movel_fit,-0.6475660064247339,0.1158665308488841,-0.0980371121190215,-0.3315070993032955,-1.7835255509205254,2.1888234016569874
80,39999,movel_fit,-0.6475519163131649,0.1158547391899146,-0.0980505155646671,-0.3315095316535227,-1.783524023614003,2.188821552212103
81,40499,movel_fit,-0.6475378274280441,0.1158429449599337,-0.0980639212753422,-0.3315119659273345,-1.7835224936499698,2.188819705704118
82,40999,movel_fit,-0.6475237397747993,0.1158311481483044,-0.0980773292609866,-0.3315144021351611,-1.783520961013146,2.1888178620979444
