2327.13646	1084.36101	757.61337	0.97324	0.091	-0.21101
2325.32183	1049.14276	738.43686	0.97597	0.03391	-0.21526
2321.93487	1012.92989	721.78151	0.97615	-0.02226	-0.21596
2316.98815	975.76996	707.69119	0.9741	-0.0762	-0.2129
2310.36114	936.88005	695.93593	0.97024	-0.12764	-0.20578
2301.91638	895.81145	686.55073	0.96508	-0.17556	-0.19442
2291.44828	851.95118	679.62535	0.95919	-0.21907	-0.17879
2278.68429	804.55403	675.33729	0.95318	-0.25725	-0.15893
2263.20823	752.48156	673.94559	0.94778	-0.28916	-0.13455
2244.29786	693.69905	675.88642	0.94377	-0.3135	-0.10493
2220.37492	623.70083	682.07549	0.94189	-0.32898	-0.06797
2190.94935	540.66407	692.39262	0.94491	-0.3273	-0.00441
2144.32943	407.50123	714.56251	0.95243	-0.29501	0.0764
2114.60035	315.84228	730.39398	0.95812	-0.25895	0.12228
2093.25487	242.06078	741.28246	0.96152	-0.22228	0.16144
2077.17764	177.68691	748.43512	0.96248	-0.18611	0.19747
2065.13383	119.45306	752.33173	0.9609	-0.15125	0.23195
2056.47845	65.6661	753.20985	0.95667	-0.11856	0.26593
2050.82369	15.25423	751.18141	0.94962	-0.08892	0.30051
2047.9393	-32.52211	746.27069	0.93945	-0.06348	0.33677
2047.70447	-78.13239	738.45049	0.92578	-0.0438	0.37553
2050.06838	-121.81514	727.66799	0.90811	-0.03176	0.41752
2055.0103	-164.1691	713.85381	0.88715	-0.02919	0.46057
2061.84853	-201.2107	698.5014	0.8628	-0.03697	0.50418
2071.00267	-237.20273	680.39533	0.83345	-0.05669	0.54967
2082.66088	-272.33706	659.3469	0.79803	-0.09014	0.59584
2097.04565	-306.70563	635.20057	0.75526	-0.13883	0.64055
2114.3944	-340.35894	607.84802	0.70376	-0.20342	0.68069
2134.98765	-373.45942	577.15155	0.64226	-0.28309	0.7123
2159.06164	-406.388	542.91932	0.57157	-0.37323	0.73076
2183.54424	-440.09109	506.79951	0.54311	-0.433	0.7194
2216.047	-474.7445	462.8485	0.43906	-0.50511	0.74303
