timestamp,J11,J12,J13,J14,J15,J16,J21,J22,J23,J24,J25,J26
 72,  22.3755,  15.9031,   7.8460, -61.5866, -53.0731, -15.1778,  35.5902,  -6.3579,  -6.2864,  52.2281,  30.8464,  47.4233
 84,  22.3751,  15.9024,   7.8455, -61.5867, -53.0731, -15.1781,  35.5898,  -6.3581,  -6.2862,  52.2281,  30.8463,  47.4233
 96,  22.3746,  15.9016,   7.8448, -61.5868, -53.0731, -15.1785,  35.5893,  -6.3584,  -6.2859,  52.2280,  30.8462,  47.4233
 108,  22.3740,  15.9004,   7.8439, -61.5869, -53.0730, -15.1790,  35.5886,  -6.3587,  -6.2856,  52.2278,  30.8460,  47.4234
 120,  22.3731,  15.8990,   7.8427, -61.5871, -53.0730, -15.1797,  35.5877,  -6.3591,  -6.2851,  52.2277,  30.8458,  47.4234
 132,  22.3721,  15.8973,   7.8413, -61.5873, -53.0730, -15.1805,  35.5866,  -6.3596,  -6.2846,  52.2275,  30.8455,  47.4234
 144,  22.3709,  15.8952,   7.8396, -61.5876, -53.0729, -15.1814,  35.5854,  -6.3602,  -6.2840,  52.2272,  30.8452,  47.4235
 156,  22.3695,  15.8927,   7.8376, -61.5879, -53.0729, -15.1826,  35.5838,  -6.3609,  -6.2833,  52.2269,  30.8448,  47.4235
 168,  22.3679,  15.8899,   7.8354, -61.5883, -53.0728, -15.1839,  35.5821,  -6.3617,  -6.2824,  52.2266,  30.8444,  47.4236
 180,  22.3661,  15.8867,   7.8328, -61.5887, -53.0727, -15.1853,  35.5802,  -6.3626,  -6.2815,  52.2263,  30.8439,  47.4236
 192,  22.3641,  15.8833,   7.8301, -61.5892, -53.0726, -15.1869,  35.5781,  -6.3636,  -6.2805,  52.2259,  30.8434,  47.4237
 204,  22.3620,  15.8796,   7.8271, -61.5897, -53.0725, -15.1886,  35.5758,  -6.3647,  -6.2794,  52.2255,  30.8428,  47.4238
 216,  22.3598,  15.8757,   7.8239, -61.5902, -53.0725, -15.1904,  35.5735,  -6.3658,  -6.2782,  52.2250,  30.8422,  47.4238
 228,  22.3574,  15.8717,   7.8206, -61.5907, -53.0724, -15.1923,  35.5709,  -6.3670,  -6.2770,  52.2246,  30.8416,  47.4239
 240,  22.3550,  15.8674,   7.8172, -61.5913, -53.0723, -15.1942,  35.5683,  -6.3682,  -6.2758,  52.2241,  30.8410,  47.4240
 252,  22.3525,  15.8631,   7.8137, -61.5919, -53.0721, -15.1963,  35.5657,  -6.3694,  -6.2745,  52.2236,  30.8403,  47.4241
 264,  22.3499,  15.8586,   7.8101, -61.5924, -53.0720, -15.1983,  35.5629,  -6.3707,  -6.2732,  52.2231,  30.8396,  47.4241
 276,  22.3473,  15.8541,   7.8064, -61.5930, -53.0719, -15.2004,  35.5601,  -6.3720,  -6.2718,  52.2226,  30.8389,  47.4242
 288,  22.3447,  15.8495,   7.8027, -61.5936, -53.0718, -15.2025,  35.5574,  -6.3733,  -6.2705,  52.2221,  30.8382,  47.4243
 300,  22.3420,  15.8449,   7.7990, -61.5942, -53.0717, -15.2046,  35.5546,  -6.3746,  -6.2691,  52.2216,  30.8375,  47.4244
 312,  22.3394,  15.8404,   7.7953, -61.5949, -53.0716, -15.2067,  35.5518,  -6.3759,  -6.2678,  52.2211,  30.8368,  47.4245
 324,  22.3368,  15.8358,   7.7917, -61.5954, -53.0715, -15.2088,  35.5490,  -6.3772,  -6.2664,  52.2205,  30.8361,  47.4245
 336,  22.3342,  15.8313,   7.7880, -61.5961, -53.0714, -15.2109,  35.5462,  -6.3785,  -6.2651,  52.2200,  30.8354,  47.4246
 348,  22.3315,  15.8267,   7.7843, -61.5967, -53.0713, -15.2130,  35.5434,  -6.3799,  -6.2637,  52.2195,  30.8347,  47.4247
 360,  22.3289,  15.8221,   7.7806, -61.5972, -53.0711, -15.2151,  35.5406,  -6.3812,  -6.2624,  52.2190,  30.8340,  47.4248
 372,  22.3263,  15.8176,   7.7769, -61.5978, -53.0710, -15.2172,  35.5378,  -6.3825,  -6.2610,  52.2185,  30.8334,  47.4249
 384,  22.3237,  15.8130,   7.7732, -61.5985, -53.0709, -15.2193,  35.5350,  -6.3838,  -6.2596,  52.2180,  30.8327,  47.4250
 396,  22.3210,  15.8085,   7.7695, -61.5991, -53.0708, -15.2214,  35.5322,  -6.3851,  -6.2583,  52.2175,  30.8320,  47.4250
 408,  22.3184,  15.8039,   7.7659, -61.5997, -53.0707, -15.2236,  35.5294,  -6.3864,  -6.2569,  52.2169,  30.8313,  47.4251
