timestamp,J11,J12,J13,J14,J15,J16,J21,J22,J23,J24,J25,J26
 0, -16.4609, -48.1977, -37.8656, -69.8818, -55.1269, -46.8550,   -.7097, -21.8933,  10.9745,  45.7983,  22.8361,  43.8468
 12, -16.4609, -48.1977, -37.8656, -69.8818, -55.1269, -46.8550,   -.7097, -21.8933,  10.9745,  45.7983,  22.8361,  43.8468
 24, -16.4596, -48.1965, -37.8655, -69.8817, -55.1263, -46.8540,   -.7092, -21.8932,  10.9743,  45.7984,  22.8362,  43.8472
 36, -16.4481, -48.1856, -37.8642, -69.8807, -55.1206, -46.8450,   -.7049, -21.8926,  10.9723,  45.7994,  22.8365,  43.8511
 48, -16.4481, -48.1856, -37.8642, -69.8807, -55.1206, -46.8450,   -.7049, -21.8926,  10.9723,  45.7994,  22.8365,  43.8511
 60, -16.4354, -48.1735, -37.8629, -69.8795, -55.1143, -46.8350,   -.7001, -21.8920,  10.9701,  45.8005,  22.8369,  43.8554
 72, -16.4164, -48.1553, -37.8607, -69.8779, -55.1050, -46.8200,   -.6929, -21.8910,  10.9668,  45.8021,  22.8375,  43.8618
 84, -16.3899, -48.1297, -37.8577, -69.8755, -55.0920, -46.7990,   -.6829, -21.8897,  10.9621,  45.8044,  22.8384,  43.8708
 96, -16.3546, -48.0957, -37.8536, -69.8725, -55.0747, -46.7710,   -.6695, -21.8879,  10.9560,  45.8074,  22.8395,  43.8828
 108, -16.3094, -48.0519, -37.8482, -69.8685, -55.0526, -46.7349,   -.6523, -21.8855,  10.9481,  45.8113,  22.8409,  43.8982
 120, -16.2531, -47.9970, -37.8414, -69.8637, -55.0252, -46.6900,   -.6307, -21.8826,  10.9382,  45.8162,  22.8427,  43.9175
 132, -16.1846, -47.9299, -37.8329, -69.8578, -54.9918, -46.6350,   -.6044, -21.8791,  10.9262,  45.8221,  22.8449,  43.9411
 144, -16.1025, -47.8493, -37.8226, -69.8507, -54.9520, -46.5691,   -.5733, -21.8748,  10.9119,  45.8291,  22.8475,  43.9690
 156, -16.0084, -47.7563, -37.8105, -69.8427, -54.9065, -46.4932,   -.5374, -21.8699,  10.8955,  45.8371,  22.8504,  44.0011
