num_breakpoints,max_cartesian_error (mm),max_cartesian_error_index (mm),avg_cartesian_error (mm),max_orientation_error  (rad),max_z_error (mm),average_z_error (mm)
19,37.826751488562074,13160,5.765930085071058,2.0320237849395215,56.67553761397332,-0.017928848732069014
45,9.685434550693293,13160,1.2514629898655134,1.5794712079887205,13.537705640579809,-0.09266385469955196
76,2.0376494095473237,0,0.21036185359744414,0.49032304327488246,1.3088320871272359,-0.02510329367888886
88,1.8495210438039154,0,0.19115710502100447,0.17037078293908003,2.095251821557653,-0.015112693457027149
118,1.7350609795691732,6250,0.14333082501805366,0.09555916582892583,1.1995296871387353,-0.004505754234294557
153,1.7350616831915804,6250,0.1180664199340119,0.04185110080538149,1.2023655078953865,-0.0002615718242964249
