max_cartesian_error (mm),max_cartesian_error_index (mm),avg_cartesian_error (mm),max_orientation_error  (rad),max_z_error (mm),average_z_error (mm)
223.70280871707195,17578,62.01665047727,1.051361116545754,82.30778439203081,32.02297822105215
77.22951435167651,0,19.238679546171944,0.5897740360368482,44.73976369143838,9.523928602431278
35.2089957047583,17578,10.27152220949451,0.3080492477321955,26.195128558334194,6.129609653803411
25.911825348791766,11990,5.903360892128846,0.3080492477321955,18.237422839108316,5.393366238372899
12.87712843004526,0,3.673608763420284,0.14432353428798006,13.778302033633977,1.8244634896618885
10.530456903860639,14548,3.1855246561556205,0.14432353428798006,4.838643478438011,1.0790624208727069
10.156690729105751,3446,2.854277684434236,0.14432353428798006,5.376533907884473,1.02632783173953
10.162958245956627,3446,2.32281945406431,0.14432353428798006,4.768225847792207,0.8581520840809047
6.278587992046137,11990,1.2592624538224144,0.06682570455918614,3.820702955771558,0.8017408325664446
3.3105352749076036,1661,0.8669106337523915,0.06682570455918614,3.0808942356940276,0.7473859210051643
3.0482630406731106,3446,0.8058057211620111,0.06682570455918614,3.0751047528163777,0.6862519930514654
2.748133958353713,13260,0.7023536666613648,0.06682570455918614,3.0896328751335336,0.6239219267762126
2.773930751763359,13260,0.6480986428765821,0.04209767801461661,1.2710430706335174,0.2951956153844966
2.7568735320789495,14548,0.6104552404353267,0.04209767801461661,1.2703347123058846,0.2843373986500811
2.3476112771924424,15963,0.5549860259072664,0.04209767801461661,1.270286037010316,0.2793724572792602
2.3476083749158665,15963,0.4786667209781425,0.04209767801461661,1.1139442125548538,0.21415487493703642
1.946259553984167,17578,0.4185330593947955,0.04209767801461661,1.3246071442075402,0.2092038995079017
1.6995126221678887,10818,0.3547147113971635,0.03647456124135158,0.8390806898991775,0.17848336811619417
1.346225049057863,9474,0.3225424315139843,0.03647456124135158,0.7755998441263862,0.16848330887460403
1.2370767032537604,5387,0.28984066287290655,0.03647456124135158,0.8393775226256239,0.14635837175497315
0.8209931014854539,2523,0.22958975660826267,0.033536414185782265,0.7307738983691761,0.1277557087134731
