max_cartesian_error_joint (mm),max_cartesian_error_index_joint (mm),avg_cartesian_error_joint (mm),max_orientation_error_joint  (rad),max_z_error_joint (mm),average_z_error_joint (mm),max_cartesian_error_cartesian (mm),max_cartesian_error_index_cartesian (mm),avg_cartesian_error_cartesian (mm),max_orientation_error _cartesian (rad),max_z_error_cartesian (mm),average_z_error_cartesian (mm),,,,,A-G,C-I
0.013757108,0,0.004888954,0.023659295,0.001334483,6.96E-05,0.009919886,99,0.003768909,0.434411648,0.00351883,7.07E-05,,,,,0.003837222,0.001120045
0.013500765,99,0.004890113,0.023177761,0.001540696,7.49E-05,0.009776066,0,0.003667951,0.450078693,0.003406215,7.46E-05,,,,,0.0037247,0.001222162
1.438303512,99,0.903925546,0.049956882,-0.937604118,-2.469987174,0.013344189,53,0.009325146,0.465600818,0.003324871,6.51E-05,,,,,1.424959323,0.8946004
0.012792806,99,0.004355664,0.023913552,0.000920232,7.48E-05,0.009406715,0,0.003564851,0.480436829,0.003214467,7.46E-05,,,,,0.003386091,0.000790812
0.012590453,0,0.004312067,0.023516971,0.00106136,6.63E-05,0.009346973,99,0.003467069,0.494717791,0.003084113,6.74E-05,,,,,0.003243479,0.000844999
0.012236098,0,0.004272984,0.023057218,0.000896082,-0.000289325,0.008999779,0,0.00340862,0.508824058,0.002605614,-0.000289497,,,,,0.00323632,0.000864365
0.011963629,0,0.004257342,0.022641742,0.001060958,-0.000289326,0.008797798,0,0.003329309,0.522759313,0.002486114,-0.000289497,,,,,0.003165832,0.000928033
2.080843413,99,0.928488409,0.061845105,1.750534995,-2.496411735,0.036372315,99,0.020805266,0.536515125,0.002397134,-0.000303989,,,,,2.044471098,0.907683143
0.01138663,0,0.003815782,0.023553178,0.000743623,-0.000289378,0.008381528,0,0.003207046,0.549641805,0.002289678,-0.0002895,,,,,0.003005102,0.000608736
0.011142031,0,0.003759749,0.023253674,0.000911507,-0.000289378,0.008165585,0,0.003122724,0.562076833,0.002170879,-0.000289501,,,,,0.002976446,0.000637025
0.010881634,99,0.003704459,0.022925209,0.001591867,-3.12E-05,0.007946953,0,0.00304607,0.57433046,0.002315079,-3.02E-05,,,,,0.002934681,0.000658389
0.010645923,0,0.003673354,0.022671042,0.00163006,0.000103539,0.00772766,0,0.002953441,0.586393957,0.002330933,0.000103417,,,,,0.002918263,0.000719913
0.010395569,0,0.003647637,0.022389299,0.001788879,0.000103538,0.007509257,0,0.002867722,0.598269629,0.002216903,0.000103417,,,,,0.002886312,0.000779915
0.191075829,38,0.185505255,0.044928736,-2.199233264,-2.288512831,0.064673251,0,0.039595365,0.609949839,0.00223283,7.89E-05,,,,,0.126402578,0.14590989
0.010110435,0,0.003388437,0.023506936,0.001819981,0.000103499,0.007078762,0,0.002736532,0.62058498,0.0020282,0.000103415,,,,,0.003031673,0.000651905
0.009895552,0,0.003333363,0.023326882,0.001975026,0.000103499,0.006864647,0,0.002652519,0.630921278,0.001920819,0.000103415,,,,,0.003030905,0.000680844
