max_cartesian_error_joint (mm),max_cartesian_error_index_joint (mm),avg_cartesian_error_joint (mm),max_orientation_error_joint  (rad),max_z_error_joint (mm),average_z_error_joint (mm),max_cartesian_error_cartesian (mm),max_cartesian_error_index_cartesian (mm),avg_cartesian_error_cartesian (mm),max_orientation_error _cartesian (rad),max_z_error_cartesian (mm),average_z_error_cartesian (mm),,,,,A-G,C-I
33.65454492,0,29.13869147,0.086112751,13.01733923,11.39673305,0.062937912,0,0.0356336,1.06402099,0.000235552,-0.00012429,,,,,33.59160701,29.10305787
0.014908184,50,0.010566825,0.104589261,0.020848129,-8.14E-05,0.011156716,0,0.004576495,1.085140964,0.000203174,-8.22E-05,,,,,0.003751468,0.005990329
0.014788724,49,0.010560486,0.104662506,0.021314943,-7.97E-05,0.010630797,0,0.004491075,1.106432665,0.000356839,-2.62E-05,,,,,0.004157927,0.006069411
0.014800406,50,0.010572207,0.104815144,0.021629553,0.000229498,0.010508504,0,0.004317889,1.127890458,0.000686556,0.000228663,,,,,0.004291903,0.006254318
0.014762163,50,0.010578383,0.104897219,0.021870505,0.000229501,0.010172218,0,0.004189805,1.149470271,0.00076399,0.000228664,,,,,0.004589945,0.006388578
36.98684493,99,30.66349566,0.075464657,14.58631726,11.72788551,0.060994241,0,0.042600261,1.170814311,0.00093889,0.000151703,,,,,36.92585069,30.6208954
0.01498051,50,0.010961127,0.106592288,0.020850504,0.00022957,0.009518782,0,0.003893407,1.192110501,0.000862501,0.000228665,,,,,0.005461729,0.00706772
0.014968304,50,0.010967474,0.106727275,0.021009962,0.000229571,0.009200532,0,0.003769918,1.213515296,0.0009238,0.000228665,,,,,0.005767772,0.007197556
0.014987867,50,0.01093283,0.106983686,0.020778708,3.63E-05,0.00948781,0,0.003598049,1.234992449,0.000835285,8.45E-05,,,,,0.005500057,0.007334781
0.01496855,50,0.01098411,0.106970472,0.021159225,7.78E-05,0.008578013,0,0.003520756,1.256544981,0.000877433,7.69E-05,,,,,0.006390538,0.007463354
105.0341576,99,43.13603019,0.183808212,45.49718466,13.36753784,0.044662103,63,0.041062558,1.27554034,0.00116554,7.45E-05,,,,,104.9894955,43.09496763
0.011125439,49,0.007018736,0.051834001,0.002907737,7.72E-05,0.007997699,0,0.003084876,1.286441084,0.001598244,7.69E-05,,,,,0.00312774,0.003933861
0.011017916,49,0.006954794,0.052118193,0.002986356,7.72E-05,0.007768194,0,0.002997702,1.297409485,0.001597194,7.69E-05,,,,,0.003249723,0.003957092
0.010905941,49,0.006889298,0.052340381,0.003111242,-2.64E-05,0.007514058,99,0.002917237,1.308430563,0.001501656,-1.78E-05,,,,,0.003391883,0.003972061
0.010807132,49,0.006832817,0.052656113,0.002922072,-0.000153876,0.00731798,0,0.002823625,1.319504518,0.001358568,-0.000154188,,,,,0.003489151,0.004009192
0.010703378,49,0.006774809,0.052907111,0.003011491,-0.000153876,0.007091335,0,0.002738285,1.330617592,0.001352133,-0.000154189,,,,,0.003612043,0.004036524
85.44005577,99,36.2315539,0.118361276,34.9709845,12.76758831,0.22820633,99,0.15314256,1.347825387,0.001546207,-0.000159371,,,,,85.21184944,36.07841134
0.014653851,50,0.010146071,0.099241735,0.026372137,-0.000153412,0.006610845,0,0.002809102,1.369612116,0.000804823,-0.000154179,,,,,0.008043006,0.007336969
0.014776222,50,0.010153536,0.099053009,0.026409302,-0.000153411,0.006353107,0,0.002700244,1.391251268,0.00082361,-0.000154179,,,,,0.008423115,0.007453291
0.014895192,50,0.010160423,0.098850287,0.026566024,-8.92E-05,0.006083642,99,0.002599109,1.412727329,0.000935311,-6.11E-05,,,,,0.00881155,0.007561314
0.015030534,50,0.010184126,0.098701642,0.026641453,8.52E-05,0.005854024,0,0.002484664,1.434060853,0.001085594,8.44E-05,,,,,0.009176511,0.007699462
0.01516007,50,0.010207276,0.098546948,0.026607776,8.52E-05,0.005603725,0,0.002379128,1.455237901,0.001090322,8.44E-05,,,,,0.009556345,0.007828148
0.013341393,39,0.010154746,0.098390073,0.01645817,8.53E-05,0.008073092,59,0.005515377,1.471062412,0.000712789,8.47E-05,,,,,0.005268301,0.004639369
