breakpoints,primitives,points
0,movej_fit,"[array([-0.85713963, -0.24546158,  0.58959761,  0.39580996,  1.20230592,
       -2.89232657])]"
7517,movec_fit,"[array([1012.0847394 , -715.73059022,  933.8924296 ]), array([1018.86207577, -584.94189988,  920.04317515])]"
11906,movec_fit,"[array([1028.86200818, -508.55460955,  921.69638056]), array([1042.49487189, -433.19057999,  929.86664146])]"
16031,movec_fit,"[array([1057.11689462, -363.13935007,  941.13687205]), array([1073.15845015, -294.10065305,  955.94355893])]"
18732,movec_fit,"[array([1083.90657167, -249.09767138,  966.4537881 ]), array([1094.70469042, -204.38305046,  977.93974996])]"
22576,movel_fit,"[array([1124.04104827,  -76.99405971, 1011.58438888])]"
27807,movec_fit,"[array([1141.0387962 ,   10.47643242, 1033.83207953]), array([1154.37035087,   99.11956067, 1053.66108288])]"
32129,movec_fit,"[array([1160.61119286,  173.70267495, 1066.14334545]), array([1161.93871371,  249.07183362, 1074.17349023])]"
37963,movec_fit,"[array([1152.66989249,  350.92116562, 1074.22059706]), array([1129.98004337,  449.59464797, 1060.30565851])]"
44070,movec_fit,"[array([1091.77330899,  544.80784635, 1029.67366234]), array([1042.5104343 ,  629.18377437,  985.96994312])]"
49025,movec_fit,"[array([997.2141805 , 690.23948731, 943.79155922]), array([948.28561544, 744.50365524, 896.73979399])]"
50000,movel_fit,"[array([928.51010631, 764.90901768, 877.68432206])]"
