breakpoints,primitives,p_bp,q_bp
17999,movel_fit,"[array([ 897.96277555, -138.53841061,  172.49564519])]","[array([-0.41336183, -0.68302525, -0.74510032, -0.49460141, -1.38313521,
        2.19701261])]"
18499,movel_fit,"[array([ 897.30491065, -128.28493287,  172.24503472])]","[array([-0.40511766, -0.70034845, -0.75732664, -0.50053146, -1.37267917,
        2.1777274 ])]"
18999,movel_fit,"[array([ 896.77837122, -118.01480305,  172.0401504 ])]","[array([-0.39602229, -0.71618244, -0.7682899 , -0.50545664, -1.36262038,
        2.15505272])]"
19499,movel_fit,"[array([ 896.44465628, -107.7485019 ,  171.91973456])]","[array([-0.38601156, -0.73024493, -0.77778002, -0.50923589, -1.35297972,
        2.12893663])]"
19999,movel_fit,"[array([896.25775342, -97.47703258, 171.86215675])]","[array([-0.37502315, -0.74232611, -0.7856622 , -0.51168024, -1.34389229,
        2.09932961])]"
20499,movel_fit,"[array([896.30706374, -87.20209079, 171.90761735])]","[array([-0.36296526, -0.75206439, -0.79168107, -0.51263257, -1.33539685,
        2.06626758])]"
20999,movel_fit,"[array([896.56052651, -76.93085611, 172.01218535])]","[array([-0.34977732, -0.75916854, -0.79566632, -0.51186596, -1.32766567,
        2.02981667])]"
21499,movel_fit,"[array([897.0662661 , -66.66462729, 172.23991377])]","[array([-0.33545895, -0.76322918, -0.7973166 , -0.50929752, -1.32092556,
        1.99023144])]"
21999,movel_fit,"[array([897.81371804, -56.41955151, 172.59922135])]","[array([-0.3200083 , -0.76386392, -0.79636641, -0.50476894, -1.31547628,
        1.9477632 ])]"
22499,movel_fit,"[array([898.76424533, -46.19183381, 172.92769307])]","[array([-0.30347471, -0.76079451, -0.79277279, -0.49823939, -1.31156757,
        1.90283206])]"
22999,movel_fit,"[array([899.96657376, -35.99152187, 173.36163277])]","[array([-0.28593063, -0.75353393, -0.78611207, -0.4897191 , -1.30964596,
        1.85582689])]"
23499,movel_fit,"[array([901.32721867, -25.81196166, 173.82513374])]","[array([-0.26754197, -0.74186402, -0.77629819, -0.47934227, -1.31018635,
        1.80726377])]"
23999,movel_fit,"[array([903.03913034, -15.67869863, 174.34412645])]","[array([-0.24843134, -0.72520319, -0.76296927, -0.4673143 , -1.31349063,
        1.75768665])]"
24499,movel_fit,"[array([905.0731898 ,  -5.61902996, 174.88260328])]","[array([-0.22888233, -0.70338653, -0.74604943, -0.45398622, -1.3200194 ,
        1.70771632])]"
24999,movel_fit,"[array([907.29274236,   4.40816285, 175.3882322 ])]","[array([-0.20914086, -0.67648783, -0.72561347, -0.43976547, -1.33026391,
        1.65786581])]"
25499,movel_fit,"[array([909.66407215,  14.400053  , 175.83055521])]","[array([-0.18948588, -0.64455435, -0.70172894, -0.42514063, -1.34456358,
        1.60868225])]"
25999,movel_fit,"[array([912.2382768 ,  24.35147057, 176.19632875])]","[array([-0.17017672, -0.60767979, -0.67449741, -0.41063747, -1.36307174,
        1.56067574])]"
26499,movel_fit,"[array([914.9629501 ,  34.25300542, 176.44359857])]","[array([-0.15148409, -0.56628112, -0.64425866, -0.3967779 , -1.38583062,
        1.51432293])]"
26999,movel_fit,"[array([917.82974552,  44.12241962, 176.54781517])]","[array([-0.13360801, -0.52087374, -0.61142486, -0.38405125, -1.41267497,
        1.47001383])]"
27499,movel_fit,"[array([920.80646671,  53.96653731, 176.47883708])]","[array([-0.11671655, -0.47216349, -0.57655574, -0.37287277, -1.44325332,
        1.42810941])]"
27999,movel_fit,"[array([923.84892395,  63.78203439, 176.21377412])]","[array([-0.10094406, -0.4210792 , -0.54037481, -0.36357995, -1.47697383,
        1.38898393])]"
28499,movel_fit,"[array([926.94835491,  73.56713879, 175.77215783])]","[array([-0.08635463, -0.36859396, -0.50360261, -0.35639018, -1.51309477,
        1.35299868])]"
28999,movel_fit,"[array([930.02749553,  83.35255133, 175.11637295])]","[array([-0.07293514, -0.31576547, -0.46707444, -0.35142002, -1.55078178,
        1.32052006])]"
29499,movel_fit,"[array([933.11311296,  93.10939393, 174.21076285])]","[array([-0.06067327, -0.26358739, -0.43155504, -0.34867665, -1.58904274,
        1.2920823 ])]"
29999,movel_fit,"[array([936.09029863, 102.89020452, 173.17210188])]","[array([-0.04947075, -0.21301655, -0.39765162, -0.34812752, -1.62719311,
        1.26814778])]"
30499,movel_fit,"[array([938.97460076, 112.68502428, 171.96886852])]","[array([-0.03924869, -0.16477868, -0.36589859, -0.34966074, -1.66442609,
        1.24941166])]"
30999,movel_fit,"[array([941.74186926, 122.48446209, 170.56628137])]","[array([-0.02990363, -0.11939077, -0.33666697, -0.35310334, -1.70016832,
        1.23661704])]"
31499,movel_fit,"[array([944.29615731, 132.3353993 , 169.12615232])]","[array([-0.02131104, -0.07738553, -0.31017102, -0.35833128, -1.73409398,
        1.23051677])]"
31999,movel_fit,"[array([946.67469301, 142.22785769, 167.61566406])]","[array([-0.01335677, -0.03891797, -0.28647472, -0.36512451, -1.76589593,
        1.23196346])]"
32499,movel_fit,"[array([948.7340844 , 152.18925403, 166.17361586])]","[array([-0.00590359, -0.00420188, -0.26559069, -0.37327708, -1.79561053,
        1.24165862])]"
32999,movel_fit,"[array([950.44569701, 162.25219221, 164.87061698])]","[array([ 1.20744545e-03,  2.67364479e-02, -2.47413544e-01, -3.82524870e-01,
       -1.82323916e+00,  1.26017996e+00])]"
33499,movel_fit,"[array([951.84891295, 172.37498346, 163.71770587])]","[array([ 0.008129  ,  0.0538037 , -0.23185733, -0.39240993, -1.84858246,
        1.28793018])]"
33999,movel_fit,"[array([952.8152034 , 182.58332024, 162.85263034])]","[array([ 0.01507203,  0.0767512 , -0.21889462, -0.40244549, -1.8715651 ,
        1.32467766])]"
34499,movel_fit,"[array([953.34997856, 192.84483298, 162.29720336])]","[array([ 0.02221864,  0.09527727, -0.20852892, -0.41198665, -1.89172333,
        1.36961281])]"
34999,movel_fit,"[array([953.39759809, 203.13082774, 162.13645533])]","[array([ 0.02974451,  0.10884248, -0.20087243, -0.42034548, -1.90839686,
        1.42103122])]"
35499,movel_fit,"[array([952.92746401, 213.40371279, 162.39270706])]","[array([ 0.03776802,  0.11679826, -0.19615389, -0.42689483, -1.92065873,
        1.47668883])]"
