breakpoints,primitives,points
0,movej_fit,"[array([ 0.85205233,  0.08838766,  0.15188897,  0.82234002, -1.34390926,
       -1.0979222 ])]"
197,movel_fit,"[array([ 798.15904362,  206.0252981 , 1102.97402262])]"
469,movec_fit,"[array([ 781.71909228,  180.50436833, 1136.98170999]), array([ 763.10190444,  158.45879186, 1171.41009364])]"
678,movec_fit,"[array([ 747.6425488 ,  145.68327872, 1196.9342125 ]), array([ 730.89102765,  135.78393018, 1222.52945482])]"
924,movec_fit,"[array([ 710.82486864,  128.47025181, 1250.81704833]), array([ 689.76116587,  124.92131428, 1278.38324408])]"
1148,movec_fit,"[array([ 671.19725951,  125.22966988, 1301.00933638]), array([ 652.40555509,  128.36146388, 1322.5427518 ])]"
1377,movel_fit,"[array([ 616.84761981,  139.11130812, 1360.50151182])]"
1652,movel_fit,"[array([ 581.03684441,  153.28287552, 1393.95237869])]"
1965,movel_fit,"[array([ 551.58736716,  157.61479308, 1419.47674138])]"
2315,movel_fit,"[array([ 533.36208143,  148.4082839 , 1434.36877186])]"
2656,movel_fit,"[array([ 526.13760391,  127.40883613, 1439.99487697])]"
2956,movel_fit,"[array([ 524.98991075,  103.69113033, 1439.80573455])]"
3222,movel_fit,"[array([ 525.38070283,   77.93685274, 1437.25184619])]"
3475,movec_fit,"[array([ 525.43331374,   63.52724564, 1435.2943127 ]), array([ 525.29932949,   49.25637075, 1433.17804281])]"
3725,movec_fit,"[array([ 524.77225938,   33.31887772, 1430.69101447]), array([ 523.67098309,   17.67641306, 1428.16810944])]"
3971,movec_fit,"[array([5.21665350e+02, 9.87072912e-02, 1.42534928e+03]), array([ 518.81221411,  -17.08437539, 1422.65149729])]"
4195,movec_fit,"[array([ 514.80934864,  -34.98024591, 1419.9735447 ]), array([ 509.91914215,  -52.34076126, 1417.50216479])]"
4448,movec_fit,"[array([ 502.30013808,  -74.32286338, 1414.52644546]), array([ 493.28569098,  -95.60343648, 1411.81204367])]"
4702,movec_fit,"[array([ 481.61625151, -117.89216263, 1409.33131504]), array([ 468.12401323, -138.73426791, 1407.63363747])]"
4915,movec_fit,"[array([ 454.41572119, -155.94879255, 1406.86000811]), array([ 439.12048496, -171.49700148, 1407.25301095])]"
5000,movel_fit,"[array([ 422.28103385, -184.68649887, 1409.55584033])]"
