breakpoints,primitives,points
0,movej_fit,"[array([ 0.62694556,  0.83969678, -0.24518616,  1.70015919, -0.89982695,
        0.76958795])]"
8337,movec_fit,"[array([2362.91331562,  954.23306909,  691.80767485]), array([2331.93328574,  813.23763814,  668.79081251])]"
10065,movec_fit,"[array([2324.03026854,  783.9222619 ,  666.96912816]), array([2315.42751016,  754.82130857,  667.12049938])]"
15550,movec_fit,"[array([2286.31857872,  663.02371296,  671.85386951]), array([2254.98126705,  572.71202381,  684.16368552])]"
16681,movej_fit,"[array([ 0.52914557,  0.85106015,  0.01741206,  1.48065204, -1.41965615,
        0.65319157])]"
18827,movej_fit,"[array([ 0.50573367,  0.81376813,  0.09212174,  1.44074621, -1.43037661,
        0.67333701])]"
23380,movel_fit,"[array([2166.37243721,  316.7256057 ,  733.94960528])]"
24744,movej_fit,"[array([ 0.42191381,  0.66220967,  0.3113277 ,  1.3335068 , -1.34930726,
        0.76356012])]"
25172,movej_fit,"[array([ 0.41402401,  0.64967148,  0.32782718,  1.32111859, -1.33916266,
        0.77088663])]"
30939,movec_fit,"[array([2123.59666737,  160.15743063,  759.42935169]), array([2104.44637327,   60.93382309,  766.92780874])]"
32589,movel_fit,"[array([2097.20868344,    3.35215224,  766.17757069])]"
33574,movej_fit,"[array([ 0.17970573,  0.38154003,  0.61001995,  0.9615034 , -0.94308292,
        1.05338481])]"
42543,movec_fit,"[array([2101.68540333, -184.49718339,  730.27728943]), array([2137.71216336, -321.16550306,  661.783443  ])]"
43435,movec_fit,"[array([2142.2791537 , -333.87024495,  653.73659667]), array([2147.53467689, -345.69023381,  644.93418039])]"
49223,movec_fit,"[array([2183.98994573, -419.25150718,  584.8484967 ]), array([2226.06436824, -483.54674522,  518.27429802])]"
50000,movej_fit,"[array([-0.38149079,  0.75336607,  0.42446218, -0.55987302, -1.03173162,
        2.53795694])]"
