breakpoints,primitives,points
0,movej_fit,"[array([ 0.62731195,  0.83884864, -0.23748967,  1.68145472, -0.89946071,
        0.7928835 ])]"
750,movej_fit,"[array([ 0.62541376,  0.8485687 , -0.24179215,  1.68789968, -0.93126849,
        0.76370148])]"
1025,movej_fit,"[array([ 0.62471627,  0.85211602, -0.24318277,  1.68945442, -0.94331754,
        0.75343722])]"
1453,movej_fit,"[array([ 0.62420503,  0.85946184, -0.24884887,  1.69563888, -0.96574087,
        0.73474841])]"
2116,movej_fit,"[array([ 0.62272162,  0.86899886, -0.25424504,  1.70092963, -0.9972978 ,
        0.70859573])]"
2203,movej_fit,"[array([ 0.62252344,  0.87014788, -0.25432365,  1.70018461, -1.00143986,
        0.70683606])]"
2725,movej_fit,"[array([ 0.62153587,  0.878148  , -0.25842548,  1.70209975, -1.02783059,
        0.68880926])]"
2750,movej_fit,"[array([ 0.62147715,  0.8784332 , -0.25807168,  1.70099107, -1.02908379,
        0.68900483])]"
3243,movej_fit,"[array([ 0.62033529,  0.8852409 , -0.25999056,  1.69991006, -1.0529529 ,
        0.67550285])]"
3503,movej_fit,"[array([ 0.61957069,  0.88847422, -0.26067349,  1.69932315, -1.06507483,
        0.66769669])]"
4035,movej_fit,"[array([ 0.61834898,  0.89657433, -0.26504546,  1.70104942, -1.09256984,
        0.64980987])]"
4045,movej_fit,"[array([ 0.61822109,  0.8964471 , -0.2648161 ,  1.70106454, -1.09255578,
        0.649822  ])]"
4586,movej_fit,"[array([ 0.61663542,  0.90283095, -0.26390407,  1.69520623, -1.11789713,
        0.63885527])]"
4642,movej_fit,"[array([ 0.61637412,  0.90320557, -0.26341561,  1.69448164, -1.12003936,
        0.63832593])]"
5236,movej_fit,"[array([ 0.61462576,  0.91073285, -0.26372486,  1.68963399, -1.14904248,
        0.62589938])]"
5261,movej_fit,"[array([ 0.61451132,  0.9110092 , -0.26375889,  1.68956772, -1.15025467,
        0.62532825])]"
5817,movej_fit,"[array([ 0.61224069,  0.91559136, -0.26014354,  1.68273229, -1.17337389,
        0.61602861])]"
5842,movej_fit,"[array([ 0.61218474,  0.91605696, -0.26031788,  1.6825201 , -1.17496975,
        0.61589124])]"
6411,movej_fit,"[array([ 0.60993221,  0.92132672, -0.25727752,  1.67554064, -1.20005358,
        0.60714433])]"
6436,movej_fit,"[array([ 0.60978615,  0.92138136, -0.25672967,  1.67480712, -1.20097976,
        0.6072719 ])]"
7030,movej_fit,"[array([ 0.60713233,  0.92574477, -0.25162112,  1.66634633, -1.22557129,
        0.60058163])]"
7227,movej_fit,"[array([ 0.60601194,  0.92595568, -0.24732826,  1.66124911, -1.23198151,
        0.60080773])]"
7852,movej_fit,"[array([ 0.60268962,  0.92826311, -0.23828832,  1.65034066, -1.25463   ,
        0.59629846])]"
7939,movej_fit,"[array([ 0.60215275,  0.92834289, -0.23674496,  1.64889137, -1.25749534,
        0.59594186])]"
8564,movej_fit,"[array([ 0.59889752,  0.93155394, -0.22912117,  1.63897907, -1.28202541,
        0.59207994])]"
8605,movej_fit,"[array([ 0.59851242,  0.93092993, -0.22731018,  1.63767945, -1.28235574,
        0.59276593])]"
9223,movej_fit,"[array([ 0.59474712,  0.93143812, -0.21550354,  1.62559151, -1.30268142,
        0.5918423 ])]"
9295,movej_fit,"[array([ 0.59422564,  0.93121302, -0.21387437,  1.62437933, -1.30465143,
        0.59198501])]"
9894,movej_fit,"[array([ 0.59022217,  0.93014321, -0.20046544,  1.61237495, -1.32208879,
        0.59223894])]"
9916,movej_fit,"[array([ 0.59003087,  0.92999445, -0.20000338,  1.61227256, -1.32258117,
        0.59238595])]"
10534,movej_fit,"[array([ 0.58556845,  0.92730292, -0.18384672,  1.59890014, -1.33835775,
        0.59441129])]"
10637,movej_fit,"[array([ 0.58475355,  0.92661551, -0.18100388,  1.59691515, -1.34066477,
        0.5950434 ])]"
11279,movej_fit,"[array([ 0.57996944,  0.92355912, -0.16459712,  1.58434502, -1.35679348,
        0.59739121])]"
11335,movej_fit,"[array([ 0.57956027,  0.92353942, -0.16384127,  1.58403253, -1.35860187,
        0.59730746])]"
12117,movej_fit,"[array([ 0.57366613,  0.9203067 , -0.14578483,  1.57137483, -1.37902806,
        0.59955747])]"
12142,movej_fit,"[array([ 0.57343956,  0.92017468, -0.14545918,  1.5715218 , -1.37959584,
        0.5997416 ])]"
12808,movej_fit,"[array([ 0.567402  ,  0.91111323, -0.12043936,  1.55513551, -1.38757813,
        0.60644703])]"
12933,movej_fit,"[array([ 0.56612408,  0.90870864, -0.11492092,  1.55179933, -1.38798842,
        0.60841194])]"
13551,movej_fit,"[array([ 0.56030258,  0.8995915 , -0.09129749,  1.53682998, -1.3943483 ,
        0.61546439])]"
13686,movej_fit,"[array([ 0.55896259,  0.89741369, -0.08609697,  1.5336919 , -1.39544743,
        0.61726795])]"
14390,movej_fit,"[array([ 0.55264221,  0.88996491, -0.06476586,  1.52114296, -1.40703847,
        0.62365589])]"
14681,movej_fit,"[array([ 0.55015216,  0.88812654, -0.05836461,  1.51802072, -1.41360865,
        0.62561191])]"
15378,movej_fit,"[array([ 0.54333137,  0.87775724, -0.03453932,  1.50561036, -1.42013376,
        0.63227935])]"
16253,movej_fit,"[array([ 0.53437029,  0.86328942, -0.00380898,  1.49025934, -1.42581084,
        0.64149485])]"
16347,movej_fit,"[array([ 5.33192068e-01,  8.60629987e-01,  1.13843062e-03,  1.48730417e+00,
       -1.42473515e+00,  6.43545448e-01])]"
16965,movej_fit,"[array([ 0.52652876,  0.84912256,  0.02439392,  1.47524825, -1.42665654,
        0.65143774])]"
17013,movej_fit,"[array([ 0.52593914,  0.84798644,  0.02642328,  1.47415651, -1.42637391,
        0.65240809])]"
17660,movej_fit,"[array([ 0.51877199,  0.83563757,  0.0506935 ,  1.4615512 , -1.42771868,
        0.66133619])]"
17667,movej_fit,"[array([ 0.51865721,  0.83549497,  0.0509167 ,  1.46133952, -1.42771253,
        0.66140152])]"
18215,movej_fit,"[array([ 0.51241693,  0.82418398,  0.07120463,  1.45204912, -1.42697755,
        0.66808218])]"
18263,movej_fit,"[array([ 0.51183396,  0.82316917,  0.07289901,  1.45125918, -1.42684437,
        0.66847293])]"
18898,movej_fit,"[array([ 0.50446   ,  0.81003724,  0.09591661,  1.4407154 , -1.42570559,
        0.6761492 ])]"
18923,movej_fit,"[array([ 0.50413475,  0.80950098,  0.09667867,  1.44045022, -1.42553945,
        0.67657418])]"
