breakpoints,breakpoints_out,primitives,points
1,0,movej_fit,"[array([ 0.62584504,  0.83730352, -0.24031039,  1.69700639, -0.89108657,
        0.80085396])]"
9085,9085,movec_fit,"[array([2312.0118346 ,  946.19413745,  698.48722295]), array([2277.24674183,  800.92318286,  675.70105156])]"
15977,15978,movec_fit,"[array([2241.98981903,  687.08111736,  675.99474735]), array([2202.66192972,  575.2957589 ,  688.66373498])]"
16030,16032,movec_fit,"[array([2202.7878486 ,  574.31066066,  688.11850431]), array([2202.31204528,  573.65524699,  687.51250834])]"
23165,23168,movec_fit,"[array([2160.48851829,  455.72944957,  706.75711613]), array([2120.66329564,  337.42361319,  727.6078963 ])]"
29837,29841,movec_fit,"[array([2088.46560049,  223.03679749,  743.73800395]), array([2062.56212868,  106.34748218,  753.42455426])]"
29999,30004,movel_fit,"[array([2061.90645748,  100.45982884,  752.63899709])]"
