breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([402.6768625 , -14.81561438, 809.40881511])]","[array([-1.28106429, -1.118477  , -1.08001268, -2.15063131, -2.18747594,
       -0.01916078])]"
2218,movel_fit,"[array([459.81559223, -49.53670136, 892.08101687])]","[array([-1.22518758, -0.9915351 , -0.94377345, -2.10172135, -2.12427713,
        0.02083312])]"
4453,movel_fit,"[array([483.45919956, -64.5202699 , 928.51365208])]","[array([-1.21890377, -0.9475459 , -0.88059516, -2.0786255 , -2.09383434,
        0.03885949])]"
6716,movel_fit,"[array([506.43550703, -79.4832087 , 966.09530766])]","[array([-1.2263802 , -0.91130958, -0.81197732, -2.04913278, -2.05898336,
        0.06120285])]"
9044,movel_fit,"[array([ 529.18050341,  -94.45610863, 1005.45128934])]","[array([-1.24434362, -0.88095042, -0.73614603, -2.01149826, -2.01861014,
        0.08819417])]"
11591,movel_fit,"[array([ 553.19674157, -110.07021996, 1049.28024884])]","[array([-1.26854798, -0.85253893, -0.64782543, -1.96353472, -1.96994163,
        0.1203584 ])]"
14644,movel_fit,"[array([ 581.72922648, -127.66802746, 1102.32309791])]","[array([-1.28965983, -0.8183716 , -0.53849551, -1.90284345, -1.90790891,
        0.15863899])]"
16588,movel_fit,"[array([ 600.53494292, -138.56783841, 1135.86809387])]","[array([-1.28939761, -0.79123939, -0.47120943, -1.86928134, -1.86951949,
        0.17964043])]"
18151,movel_fit,"[array([ 616.33110947, -147.71449729, 1162.31734263])]","[array([-1.28074789, -0.76571691, -0.42083626, -1.84803734, -1.84006083,
        0.19308034])]"
19442,movel_fit,"[array([ 630.16864613, -155.77423102, 1183.49581995])]","[array([-1.26640035, -0.74042064, -0.38293244, -1.83696603, -1.81850893,
        0.20114671])]"
20604,movel_fit,"[array([ 643.30717518, -163.58764454, 1201.83188968])]","[array([-1.24842379, -0.71439254, -0.35255563, -1.83343168, -1.80189132,
        0.20536693])]"
21698,movel_fit,"[array([ 656.35536049, -171.5022471 , 1218.36831547])]","[array([-1.22667349, -0.68622498, -0.32780055, -1.83765419, -1.78997502,
        0.20599379])]"
22774,movel_fit,"[array([ 669.88978145, -179.81367803, 1233.79169674])]","[array([-1.20061015, -0.65477689, -0.30763644, -1.85042885, -1.78265732,
        0.20286182])]"
23868,movel_fit,"[array([ 684.43732605, -188.67860767, 1248.48821241])]","[array([-1.16872115, -0.61837448, -0.29162678, -1.87374933, -1.78091751,
        0.1952636 ])]"
25015,movel_fit,"[array([ 700.4376631 , -198.1654664 , 1262.98125615])]","[array([-1.12866389, -0.57491242, -0.27957995, -1.911209  , -1.78650152,
        0.18170428])]"
26216,movel_fit,"[array([ 718.02583958, -208.0562659 , 1277.18495686])]","[array([-1.0783066 , -0.52309158, -0.271185  , -1.96566103, -1.80158672,
        0.16096719])]"
27427,movel_fit,"[array([ 736.63985801, -217.38886368, 1290.84619956])]","[array([-1.01777248, -0.46421879, -0.26449615, -2.03598161, -1.82680974,
        0.1335569 ])]"
28624,movel_fit,"[array([ 755.6953703 , -225.59876458, 1304.09944892])]","[array([-0.95022591, -0.40142755, -0.25577343, -2.11683002, -1.85962963,
        0.10176839])]"
29828,movel_fit,"[array([ 775.21330552, -232.57454324, 1317.67716373])]","[array([-0.87962028, -0.33755397, -0.24111207, -2.20235369, -1.89561159,
        0.06828707])]"
31039,movel_fit,"[array([ 794.73476586, -238.42876144, 1332.06004806])]","[array([-0.81320879, -0.27727616, -0.21859251, -2.28372538, -1.92819672,
        0.03707048])]"
32122,movel_fit,"[array([ 811.64843886, -243.08626724, 1345.88330772])]","[array([-0.76366159, -0.22988205, -0.19223144, -2.34536625, -1.94934086,
        0.01456511])]"
33035,movel_fit,"[array([ 825.15357279, -247.17140079, 1358.36995521])]","[array([-7.31818239e-01, -1.95716283e-01, -1.66635433e-01, -2.38601891e+00,
       -1.95950281e+00,  7.69425574e-04])]"
33817,movel_fit,"[array([ 835.97663216, -251.11435784, 1369.6948507 ])]","[array([-0.71290215, -0.17089792, -0.14293699, -2.41100471, -1.96213408,
       -0.006476  ])]"
34528,movel_fit,"[array([ 845.05049947, -255.27671178, 1380.48883368])]","[array([-0.70310711, -0.15213558, -0.12046825, -2.42479581, -1.95937273,
       -0.00894301])]"
