breakpoints,primitives,points
0,movej_fit,"[array([ 0.48530735,  0.86594134,  0.11927283,  0.16651807, -1.24991054,
       -0.56063596])]"
8416,movec_fit,"[array([2362.67896304,  952.90066603,  691.42768842]), array([2331.19697706,  810.57969522,  668.64031866])]"
12016,movec_fit,"[array([2314.0254277 ,  749.66434851,  666.80987153]), array([2294.94939945,  689.44563837,  669.94207145])]"
17338,movec_fit,"[array([2265.13085717,  601.23039972,  679.37643088]), array([2234.20590351,  514.24017987,  694.31884116])]"
21550,movel_fit,"[array([2186.35090218,  376.66990011,  721.25165804])]"
22900,movel_fit,"[array([2171.8924214 ,  332.49830056,  730.95948921])]"
28702,movec_fit,"[array([2143.01996923,  236.244383  ,  748.64789854]), array([2118.47742848,  138.19638487,  762.10997768])]"
30570,movel_fit,"[array([2106.05314958,   73.81150956,  766.3461207 ])]"
35813,movec_fit,"[array([2095.89271367,  -17.74006925,  764.49275986]), array([2094.38590209, -108.97656704,  752.02158284])]"
43537,movec_fit,"[array([2111.76201539, -236.41576694,  709.46619226]), array([2148.95956607, -348.34669135,  642.96389487])]"
49468,movec_fit,"[array([2186.51770774, -423.39656032,  581.16217995]), array([2229.98834833, -488.62308897,  512.52517309])]"
50000,movel_fit,"[array([2237.90222361, -500.22957691,  500.12965756])]"
