breakpoints,primitives,points
0,movej_fit,"[array([ 0.85201649,  0.08772064,  0.15153824,  0.82052581, -1.34525176,
       -1.09821985])]"
22,movel_fit,"[array([ 813.58492823,  244.26066866, 1062.24691647])]"
107,movej_fit,"[array([ 0.83615237,  0.07952384,  0.14063699,  0.80779768, -1.36167184,
       -1.10378347])]"
214,movel_fit,"[array([ 796.09214421,  203.34233241, 1107.05282089])]"
324,movej_fit,"[array([ 0.80528587,  0.0626823 ,  0.11390123,  0.76998906, -1.39474445,
       -1.11373296])]"
467,movej_fit,"[array([ 0.7873151 ,  0.05250612,  0.09479271,  0.73879319, -1.41417471,
       -1.11848989])]"
602,movej_fit,"[array([ 0.77397639,  0.04320882,  0.07712244,  0.70518445, -1.43033016,
       -1.12101782])]"
746,movej_fit,"[array([ 0.76431057,  0.03365715,  0.0593165 ,  0.66741173, -1.44405342,
       -1.12115606])]"
893,movej_fit,"[array([ 0.75868255,  0.0242511 ,  0.04224379,  0.62626521, -1.45506787,
       -1.11881353])]"
1036,movej_fit,"[array([ 0.75773216,  0.0154284 ,  0.02736415,  0.58570412, -1.46243087,
       -1.11402242])]"
1192,movej_fit,"[array([ 0.7614844 ,  0.00620572,  0.01360324,  0.54282822, -1.46693065,
       -1.10638249])]"
1367,movej_fit,"[array([ 7.68488101e-01, -2.78663475e-03,  7.63345876e-04,  4.97245690e-01,
       -1.46916242e+00, -1.09626537e+00])]"
1541,movej_fit,"[array([ 0.77427482, -0.00944545, -0.00995552,  0.45577102, -1.47061431,
       -1.08653526])]"
1706,movej_fit,"[array([ 0.77592068, -0.01347061, -0.0188496 ,  0.42127858, -1.47289616,
       -1.07906122])]"
1868,movel_fit,"[array([ 560.14174126,  156.85061102, 1412.16527912])]"
2037,movel_fit,"[array([ 547.5673553 ,  156.03965916, 1422.69300463])]"
2219,movel_fit,"[array([ 537.8816297 ,  151.47106836, 1430.71111654])]"
2419,movel_fit,"[array([ 530.84564238,  142.31543625, 1436.39407278])]"
2651,movel_fit,"[array([ 526.39873063,  127.58273805, 1439.74307269])]"
2920,movel_fit,"[array([ 524.97233847,  106.76944882, 1440.01076193])]"
3208,movel_fit,"[array([ 525.35777541,   79.52192996, 1437.46301476])]"
3520,movej_fit,"[array([ 0.61664454,  0.00369736, -0.06723679,  0.36386494, -1.56293411,
       -1.11332121])]"
3808,movej_fit,"[array([ 0.58206043,  0.00501236, -0.07203341,  0.39024004, -1.58312484,
       -1.12915555])]"
4057,movej_fit,"[array([ 0.55255081,  0.00290203, -0.0770634 ,  0.41821309, -1.60238829,
       -1.14432337])]"
4285,movej_fit,"[array([ 5.22809816e-01, -7.17748910e-04, -8.36051893e-02,  4.45722238e-01,
       -1.62291404e+00, -1.15994899e+00])]"
4523,movej_fit,"[array([ 0.48573645, -0.00438467, -0.0924664 ,  0.4717916 , -1.64865748,
       -1.17846916])]"
4733,movej_fit,"[array([ 0.45280242, -0.00998806, -0.10211756,  0.49104836, -1.67276543,
       -1.19457711])]"
4892,movej_fit,"[array([ 0.42911221, -0.01639867, -0.11061396,  0.50092308, -1.69097715,
       -1.20557511])]"
4970,movel_fit,"[array([ 428.93567103, -179.73648745, 1408.55033399])]"
5000,movel_fit,"[array([ 421.25372018, -185.09301065, 1409.83561692])]"
