breakpoints,primitives,points
0,movej_fit,"[array([ 0.41252629,  0.66394213,  0.04453749, -0.61409068, -0.28134093,
       -1.44962673])]"
5819,movec_fit,"[array([2368.90757919,  996.03400539,  705.10008019]), array([2352.57434152,  898.65024117,  678.93618048])]"
8516,movec_fit,"[array([2342.29532305,  852.8819978 ,  671.93981567]), array([2330.52359902,  807.13472654,  668.11606711])]"
11541,movec_fit,"[array([2315.98053517,  755.97945079,  666.87263018]), array([2300.24000256,  705.23446232,  668.70361701])]"
14079,movec_fit,"[array([2286.40815689,  662.89981995,  671.98995818]), array([2272.12291558,  620.94456428,  676.86383159])]"
16510,movec_fit,"[array([2258.18041121,  580.92015264,  682.53437596]), array([2244.0881495 ,  541.13670051,  689.18126217])]"
17604,movel_fit,"[array([2231.50105591,  505.35781975,  695.6226957 ])]"
20876,movec_fit,"[array([2212.60718502,  452.00874145,  706.15091789]), array([2194.02757763,  398.71777424,  717.1383825 ])]"
24580,movec_fit,"[array([2173.73885487,  338.06967159,  729.63553706]), array([2154.58220956,  276.99767726,  741.4709732 ])]"
24883,movec_fit,"[array([2153.14644704,  271.92114222,  742.33071508]), array([2151.5871109 ,  266.9383727 ,  743.29900437])]"
26018,movel_fit,"[array([2140.72267614,  229.06467317,  749.697431  ])]"
28316,movec_fit,"[array([2130.62154619,  190.3279128 ,  755.42323771]), array([2121.33892063,  151.34286385,  760.28845043])]"
31653,movec_fit,"[array([2109.85641405,   93.99752529,  765.09172414]), array([2101.03258563,   36.04402185,  766.76963386])]"
33872,movec_fit,"[array([2097.06331143,   -2.7645424 ,  765.577048  ]), array([2094.61167022,  -41.56191609,  762.52864625])]"
38975,movec_fit,"[array([2095.8595389 , -129.80724314,  746.91148123]), array([2107.03212922, -214.28115872,  719.23939335])]"
42953,movec_fit,"[array([2122.23208571, -275.81645813,  689.68946529]), array([2142.18439539, -332.7416204 ,  654.44108727])]"
45994,movec_fit,"[array([2159.97671335, -373.29371867,  624.46740721]), array([2179.69181056, -411.09206208,  592.24468267])]"
49667,movec_fit,"[array([2205.39171864, -453.75612728,  551.12547799]), array([2232.89022344, -493.0819051 ,  507.94824505])]"
50000,movel_fit,"[array([2237.98295699, -500.04901655,  500.03080035])]"
