,breakpoints,primitives,J1,J2,J3,J4,J5,J6
0,0,movej_fit,-0.6480621697936648,0.11798640680565979,-0.09586288546728028,-0.33058392024148714,-1.7847834196117878,2.1876532527737678
1,2242,movel_fit,-0.619280232007088,0.08541841324740514,-0.13119327946488823,-0.3403773288585001,-1.775106120535613,2.190270881772937
2,4485,movel_fit,-0.5963478675562142,0.039137697150576425,-0.17780852944384296,-0.3588894296829413,-1.7520746917831587,2.207275024331787
3,6749,movel_fit,-0.5789174248568507,-0.021973050912880057,-0.23630078580949276,-0.3857790138101041,-1.7157380106185658,2.238393607408155
4,9078,movel_fit,-0.5666618348105938,-0.09929706727339571,-0.30790916558741066,-0.4218772807458267,-1.6664255077727186,2.282853222169241
5,11630,movel_fit,-0.5583445474660529,-0.1973309624470414,-0.3968070175404461,-0.47050559239791384,-1.6030865295523054,2.3387455501862893
6,14675,movel_fit,-0.5504368714069336,-0.32251336170189887,-0.5083684395174335,-0.5377979832412144,-1.5242382703233988,2.3929033270216427
7,16613,movel_fit,-0.5416795003233368,-0.3983479086991168,-0.5747131837967023,-0.5824862777907746,-1.4769260085487264,2.3937982265021343
8,18173,movel_fit,-0.5298258933923545,-0.4538307750429338,-0.6218714147698572,-0.6166106136650601,-1.4414545507132814,2.370152934307702
9,19464,movel_fit,-0.5143987316251284,-0.49349069899897946,-0.6541349473247866,-0.6409072612735964,-1.4132918872445088,2.3243548256630358
10,20621,movel_fit,-0.4945292959815575,-0.521992614935174,-0.6755986763455373,-0.6566186652198805,-1.3892713711341487,2.2632063723492775
11,21714,movel_fit,-0.46871717930833334,-0.5398820439421466,-0.6868068068444901,-0.6629308852556004,-1.3683174527762536,2.1854484065305493
12,22790,movel_fit,-0.435593540367309,-0.5453594133814099,-0.6864676830950529,-0.658029933845914,-1.3514830408204068,2.0916757627047144
13,23884,movel_fit,-0.3939621323158846,-0.5343175339017885,-0.6717027639740394,-0.6398075752502409,-1.3419308033032482,1.9809752104805902
14,25031,movel_fit,-0.3434436765461921,-0.5004187710570667,-0.6382969757532844,-0.6071627100770025,-1.3458627901731846,1.8535144379613373
15,26232,movel_fit,-0.286939995161136,-0.4375343585336264,-0.5829642053424233,-0.5633191512336347,-1.3719069636652863,1.7150598154128012
16,27443,movel_fit,-0.23163060328037943,-0.3474858307398386,-0.5091677589521386,-0.5185042362954069,-1.4242904283129356,1.580056200829638
17,28640,movel_fit,-0.1833886487659644,-0.24064055356553118,-0.42646562533177756,-0.48333065881869847,-1.497692689223614,1.4612387335743289
18,29844,movel_fit,-0.143647904689157,-0.1281902476398243,-0.3442057108729091,-0.4627597107132412,-1.5825314520881153,1.3659646486782593
19,31053,movel_fit,-0.11244799663115579,-0.022342821728057127,-0.27164425178510454,-0.4579588279564059,-1.6674961869943155,1.304671491384289
20,32132,movel_fit,-0.09083558149459758,0.05987843182924868,-0.21938148703432225,-0.4658478363436281,-1.7375212987726218,1.2890400911921531
21,33039,movel_fit,-0.07584361876636336,0.11901398302741006,-0.18447424367966536,-0.47942349781906,-1.791689466394489,1.3092980744699751
22,33821,movel_fit,-0.06400824679068862,0.16230367463694564,-0.1604039760304139,-0.49403891691066615,-1.8349430939620714,1.3524679743252561
23,34533,movel_fit,-0.053168665002105264,0.19451921100342523,-0.14313480271072065,-0.5074930665992451,-1.8706385607215286,1.4110961131258752
24,35211,movel_fit,-0.042131853581423684,0.21709996061035072,-0.13104260942208046,-0.5182631926008485,-1.8992909687482993,1.480097313395581
25,35884,movel_fit,-0.03020002913294917,0.2295337208375007,-0.12389205424414151,-0.5252906003385278,-1.9196393451508078,1.5556477903583439
