breakpoints,primitives,points,q_bp
0,movej_fit,"[array([1889.21719987, -859.55821654,  484.88328133])]","[array([-0.63973778,  0.8946041 , -0.31228948, -2.43406983, -1.29612117,
        2.99116389])]"
1666,movel_fit,"[array([1785.59990172, -806.79040478,  590.91093838])]","[array([-0.65034659,  0.82055851, -0.24889429, -2.44419204, -1.41847379,
        2.99630059])]"
3333,movel_fit,"[array([1772.22256497, -800.85144832,  607.32945462])]","[array([-0.65271351,  0.81042906, -0.24098301, -2.44286209, -1.43554959,
        2.99818205])]"
5000,movel_fit,"[array([1759.25073629, -795.75942253,  626.25576676])]","[array([-0.65607335,  0.79978799, -0.23341626, -2.43888199, -1.45364192,
        3.00125949])]"
6666,movel_fit,"[array([1746.92859272, -790.87213294,  647.60949494])]","[array([-0.66010265,  0.78848459, -0.22588652, -2.43214341, -1.47242347,
        3.00553903])]"
8333,movel_fit,"[array([1735.41931448, -786.25512179,  671.18777017])]","[array([-0.66470792,  0.77676959, -0.2187141 , -2.4228235 , -1.4918626 ,
        3.01098431])]"
10000,movel_fit,"[array([1724.72620466, -781.51925398,  696.38937515])]","[array([-0.66959094,  0.7646652 , -0.21157496, -2.41128209, -1.51146883,
        3.01734025])]"
11666,movel_fit,"[array([1714.69373422, -776.60188956,  722.42664966])]","[array([-0.6745272 ,  0.75237017, -0.2044076 , -2.39829109, -1.53088337,
        3.02426953])]"
13333,movel_fit,"[array([1704.95660202, -772.07114007,  748.5336062 ])]","[array([-0.67951453,  0.74034742, -0.1977258 , -2.38505733, -1.55016515,
        3.0314272 ])]"
15000,movel_fit,"[array([1694.61804866, -767.98561592,  773.43095076])]","[array([-0.68447662,  0.728569  , -0.19087328, -2.37299704, -1.56882291,
        3.03794805])]"
16666,movel_fit,"[array([1682.79140021, -764.34686342,  796.10603142])]","[array([-0.68932269,  0.71684954, -0.1832621 , -2.36360799, -1.58648394,
        3.04302412])]"
18333,movel_fit,"[array([1669.14231705, -763.33326541,  816.4533056 ])]","[array([-0.69461603,  0.70632056, -0.17734884, -2.35868056, -1.60432148,
        3.04656962])]"
20000,movel_fit,"[array([1652.69475202, -765.11279895,  833.44868038])]","[array([-0.70036048,  0.69673247, -0.17253031, -2.35982093, -1.62185066,
        3.04755207])]"
21666,movel_fit,"[array([1632.48308421, -768.70428475,  845.69156288])]","[array([-0.70606177,  0.68728369, -0.16704927, -2.36869796, -1.63783764,
        3.04473776])]"
23333,movel_fit,"[array([1607.89676276, -776.3467323 ,  852.03392523])]","[array([-0.71211331,  0.67937563, -0.16301884, -2.38792237, -1.65289506,
        3.03753333])]"
25000,movel_fit,"[array([1577.99751979, -788.13969551,  850.11744522])]","[array([-0.71802669,  0.67345179, -0.15969685, -2.42011144, -1.66596498,
        3.02475528])]"
26666,movel_fit,"[array([1542.40759668, -803.80089746,  837.40606081])]","[array([-0.72303128,  0.67018038, -0.15580452, -2.46700794, -1.67537765,
        3.00545817])]"
28333,movel_fit,"[array([1503.4562824 , -821.31217144,  814.17428155])]","[array([-0.72574885,  0.66966878, -0.15012125, -2.52610756, -1.67926538,
        2.98074862])]"
30000,movel_fit,"[array([1465.97609053, -837.66696458,  786.17631394])]","[array([-0.72575257,  0.67061977, -0.14224697, -2.58805041, -1.67766466,
        2.95447681])]"
31666,movel_fit,"[array([1434.23944475, -851.14716083,  763.15297809])]","[array([-0.72480843,  0.67083155, -0.13393478, -2.64086591, -1.67468936,
        2.93208416])]"
33333,movel_fit,"[array([1408.25392177, -862.57598559,  751.78281683])]","[array([-0.72636362,  0.66842829, -0.12655582, -2.67725251, -1.67523169,
        2.91698608])]"
35000,movel_fit,"[array([1386.86160774, -873.52269766,  755.22230185])]","[array([-0.73333486,  0.66297748, -0.12170143, -2.6938028 , -1.6831746 ,
        2.91138816])]"
36666,movel_fit,"[array([1369.73149437, -884.82827153,  773.99153365])]","[array([-0.74751487,  0.65544641, -0.12043619, -2.6876824 , -1.70061528,
        2.91656749])]"
38333,movel_fit,"[array([1358.07544186, -892.04526121,  809.92257765])]","[array([-0.76740035,  0.6444594 , -0.12042738, -2.65552382, -1.72825146,
        2.93426856])]"
40000,movel_fit,"[array([1352.29712396, -893.29328116,  860.41673461])]","[array([-0.79020161,  0.63172591, -0.12023875, -2.59948221, -1.76553161,
        2.96341708])]"
41666,movel_fit,"[array([1346.46898937, -889.95096701,  913.07199046])]","[array([-0.81177319,  0.61990673, -0.11581275, -2.53680446, -1.80709303,
        2.99564782])]"
43333,movel_fit,"[array([1334.3410978 , -887.76108856,  953.85748912])]","[array([-0.82933192,  0.61090127, -0.10804047, -2.4915503 , -1.84488358,
        3.01972457])]"
45000,movel_fit,"[array([1315.00320501, -892.00830014,  977.38432715])]","[array([-0.84333788,  0.60375098, -0.10112266, -2.47547165, -1.87133093,
        3.02920493])]"
46666,movel_fit,"[array([1291.99318107, -904.0990699 ,  986.02876303])]","[array([-0.85301681,  0.59648271, -0.10076509, -2.49134614, -1.88263741,
        3.02307333])]"
48333,movel_fit,"[array([1265.70718119, -921.82630937,  978.45342813])]","[array([-0.8563435 ,  0.58852999, -0.10495623, -2.54083131, -1.87726418,
        2.99911453])]"
50000,movel_fit,"[array([1201.82246453, -964.00335443,  939.67040422])]","[array([-0.84767864,  0.57177491, -0.10975911, -2.69774614, -1.84625331,
        2.9215145 ])]"
