breakpoints,primitives,points,q_bp
35000,movel_fit,"[array([1372.02502356,  996.16432211, 1013.30293328])]","[array([ 0.52714282,  0.95480812,  1.34692705, -0.26622983, -0.73265168,
       -0.91553792])]"
36000,movel_fit,"[array([1349.77326632,  992.98820659, 1040.12450596])]","[array([ 0.53786175,  0.92966263,  1.35131375, -0.24005711, -0.75260602,
       -0.89198681])]"
37000,movel_fit,"[array([1326.51989095,  988.47360525, 1066.16380107])]","[array([ 0.54898166,  0.90362159,  1.35518697, -0.21314929, -0.77464321,
       -0.86728797])]"
38000,movel_fit,"[array([1302.20772375,  982.59083174, 1091.33137753])]","[array([ 0.56043894,  0.87667241,  1.35845968, -0.18610026, -0.79891093,
       -0.84158603])]"
39000,movel_fit,"[array([1276.69832199,  975.30907992, 1115.53968566])]","[array([ 0.57217018,  0.84873277,  1.36101996, -0.15951255, -0.82564786,
       -0.81501139])]"
40000,movel_fit,"[array([1249.78553169,  966.62283345, 1138.67626709])]","[array([ 0.58413588,  0.81968591,  1.3627401 , -0.13396106, -0.85513475,
       -0.78770053])]"
41000,movel_fit,"[array([1221.31174188,  956.68224478, 1160.55843002])]","[array([ 0.59636126,  0.78955643,  1.36352527, -0.10996961, -0.88741919,
       -0.75992008])]"
42000,movel_fit,"[array([1191.32362842,  945.89889726, 1180.94602319])]","[array([ 0.60894575,  0.75867953,  1.36338223, -0.0879634 , -0.92202736,
       -0.73215278])]"
43000,movel_fit,"[array([1160.02070364,  934.77645577, 1199.645798  ])]","[array([ 0.62200075,  0.72753348,  1.36240395, -0.06820605, -0.95821092,
       -0.70491112])]"
44000,movel_fit,"[array([1127.4459432 ,  923.56833252, 1216.56383518])]","[array([ 0.63558418,  0.69631095,  1.36063593, -0.05082578, -0.99567657,
       -0.67841569])]"
45000,movel_fit,"[array([1093.48166956,  912.37160202, 1231.61108654])]","[array([ 0.64973769,  0.66500506,  1.35805853, -0.03593289, -1.03450507,
       -0.6527128 ])]"
46000,movel_fit,"[array([1058.33705072,  901.57553885, 1244.70226229])]","[array([ 0.66453885,  0.63400552,  1.35478739, -0.02359938, -1.07410705,
       -0.62809532])]"
47000,movel_fit,"[array([1022.40172786,  891.56799381, 1255.86534435])]","[array([ 0.68005245,  0.60379401,  1.35101482, -0.01370029, -1.11366162,
       -0.6048217 ])]"
48000,movel_fit,"[array([ 985.94307376,  882.52750394, 1265.19443887])]","[array([ 0.69631159,  0.57463188,  1.34687637, -0.00603342, -1.15269647,
       -0.58294736])]"
49000,movel_fit,"[array([ 950.27329767,  875.32425467, 1273.18346957])]","[array([ 7.13237655e-01,  5.47742344e-01,  1.34298943e+00, -2.99315888e-04,
       -1.18873753e+00, -5.63162449e-01])]"
50000,movel_fit,"[array([ 915.43000272,  870.228776  , 1280.00541698])]","[array([ 0.7306902 ,  0.52322194,  1.33940756,  0.00309971, -1.22159655,
       -0.54567444])]"
