primitives,points,q_bp,speed
movej_fit,"[array([  822.04260739, -1168.05197043,   868.84887224])]","[array([-1.07245986, -0.05934165, -0.20635474, -0.3240292 , -1.09223947,
        2.93867039])]",883.0
movel_fit,"[array([ 859.17633581, -842.9784574 ,  743.58661517])]","[array([-0.96583721, -0.08767573, -0.31193122, -0.38657338, -1.35137421,
        2.95921979])]",883.0
movel_fit,"[array([ 862.01191618, -814.46797776,  731.80259474])]","[array([-0.95390742, -0.08756737, -0.32295373, -0.39208631, -1.36886087,
        2.95922115])]",893.0438071875706
movel_fit,"[array([ 855.85105044, -786.83971391,  709.22799145])]","[array([-0.9333561 , -0.08325012, -0.33477321, -0.37226667, -1.38674305,
        2.93119075])]",1174.1899057121193
movel_fit,"[array([ 851.23558624, -756.45592891,  689.5169342 ])]","[array([-0.915652  , -0.07633181, -0.34474015, -0.36276948, -1.41048551,
        2.91327688])]",1249.0365210315058
movel_fit,"[array([ 847.96916904, -724.61901771,  672.8494024 ])]","[array([-0.90212493, -0.07017971, -0.3560746 , -0.36424426, -1.43494377,
        2.90785246])]",1235.7333533560382
movel_fit,"[array([ 845.23279554, -691.84205821,  658.53869747])]","[array([-0.89085113, -0.0642714 , -0.36791571, -0.37177239, -1.46018526,
        2.9091157 ])]",1230.7268490740823
movel_fit,"[array([ 843.08774741, -658.88128972,  646.78822812])]","[array([-0.87949554, -0.05825155, -0.37873313, -0.38107006, -1.48586279,
        2.91140599])]",1226.3948620300964
movel_fit,"[array([ 841.49543523, -626.20221609,  637.73209569])]","[array([-0.86801258, -0.05342784, -0.3892805 , -0.39165969, -1.51047946,
        2.9145613 ])]",1194.9923121571721
movel_fit,"[array([ 840.57073397, -594.16085666,  631.08429541])]","[array([-0.85620532, -0.05083623, -0.40029378, -0.40307547, -1.53247569,
        2.91835934])]",1163.587120077275
movel_fit,"[array([ 840.07595243, -562.79154137,  626.73358468])]","[array([-0.84442394, -0.05109135, -0.41217647, -0.4154413 , -1.55171035,
        2.92327002])]",1136.6514826875602
movel_fit,"[array([ 839.85869303, -532.23618963,  623.88626646])]","[array([-0.83206862, -0.05319807, -0.42429561, -0.42752568, -1.56861746,
        2.92787525])]",1115.2202123601435
movel_fit,"[array([ 839.62531878, -502.3911713 ,  622.15409106])]","[array([-0.81867428, -0.05589167, -0.43566226, -0.43841384, -1.58457186,
        2.93095288])]",1091.28752160431
movel_fit,"[array([ 839.20144437, -473.29934687,  621.15229848])]","[array([-0.80431353, -0.05828104, -0.44586846, -0.44796034, -1.60027661,
        2.93250663])]",1073.9125610376998
movel_fit,"[array([ 838.40431449, -444.70512992,  620.71368113])]","[array([-0.78893713, -0.06048551, -0.45517911, -0.45620096, -1.61583322,
        2.93252671])]",1049.7814594007855
movel_fit,"[array([ 837.32298634, -416.80943901,  620.66154413])]","[array([-0.7730124 , -0.06256121, -0.46388101, -0.46364647, -1.63086533,
        2.93193495])]",1029.0949076990553
movel_fit,"[array([ 835.9022953 , -389.45899216,  620.9283519 ])]","[array([-0.75668979, -0.06488579, -0.47239104, -0.4705897 , -1.6451713 ,
        2.93109702])]",1012.7177982542372
movel_fit,"[array([ 834.18023592, -362.68770281,  621.43847157])]","[array([-0.73999188, -0.06751857, -0.48075553, -0.47704629, -1.65861975,
        2.9300622 ])]",993.0786494142583
movel_fit,"[array([ 832.08357257, -336.35512044,  622.13040177])]","[array([-0.72277675, -0.07033224, -0.4889069 , -0.48290854, -1.67145145,
        2.92863043])]",975.128186805066
