primitives,points,q_bp,speed
movej_fit,"[array([  822.28049994, -1167.88907517,   869.26313506])]","[array([-1.07312018, -0.05943524, -0.20634948, -0.32595219, -1.09256907,
        2.94097993])]",883.0
movel_fit,"[array([ 859.41422835, -842.81556214,  744.000878  ])]","[array([-0.96648703, -0.08782601, -0.31203794, -0.38811525, -1.35161463,
        2.9610117 ])]",883.0
movel_fit,"[array([ 862.24980872, -814.30508249,  732.21685757])]","[array([-0.95455459, -0.08772872, -0.32307411, -0.39360367, -1.36908909,
        2.96097896])]",893.0438071875706
movel_fit,"[array([ 855.67793892, -786.93452611,  708.90802918])]","[array([-0.93272366, -0.08330316, -0.33483489, -0.37097021, -1.38634047,
        2.92963937])]",1174.1899057121193
movel_fit,"[array([ 851.03512158, -756.57303469,  689.0831369 ])]","[array([-0.91452542, -0.07607817, -0.34443935, -0.36065016, -1.41027732,
        2.9106051 ])]",1249.0365210315058
movel_fit,"[array([ 847.79848969, -724.70533718,  672.45381908])]","[array([-0.90125811, -0.06995788, -0.35587784, -0.36263579, -1.43476113,
        2.90584957])]",1235.7333533560382
movel_fit,"[array([ 845.13417644, -691.85974023,  658.28134558])]","[array([-0.89067902, -0.06420804, -0.36801747, -0.37138714, -1.46003813,
        2.90872806])]",1230.7268490740823
movel_fit,"[array([ 843.05123559, -658.89148596,  646.66924956])]","[array([-0.87966475, -0.0581188 , -0.37879067, -0.38125799, -1.48592604,
        2.91174647])]",1226.3948620300964
movel_fit,"[array([ 841.50596358, -626.19149241,  637.74754928])]","[array([-0.86827948, -0.05315824, -0.38915834, -0.39204392, -1.51082029,
        2.91508439])]",1194.9923121571721
movel_fit,"[array([ 840.59963993, -594.17409501,  631.17147779])]","[array([-0.85645797, -0.05053305, -0.40007628, -0.40342967, -1.53288643,
        2.91881995])]",1163.587120077275
movel_fit,"[array([ 840.10560418, -562.7973967 ,  626.85199234])]","[array([-0.84462078, -0.05097515, -0.41206392, -0.41573106, -1.55195469,
        2.92362581])]",1136.6514826875602
movel_fit,"[array([ 839.8676912 , -532.24697275,  623.97771481])]","[array([-0.83226405, -0.0533482 , -0.42440771, -0.42779276, -1.56857482,
        2.92823511])]",1115.2202123601435
movel_fit,"[array([ 839.62125835, -502.40605487,  622.20705394])]","[array([-0.818844  , -0.05621244, -0.43591758, -0.43862979, -1.58432616,
        2.93126711])]",1091.28752160431
movel_fit,"[array([ 839.18812965, -473.30275708,  621.18021535])]","[array([-0.80442733, -0.05861758, -0.44613089, -0.44810053, -1.60000456,
        2.93271456])]",1073.9125610376998
movel_fit,"[array([ 838.38845156, -444.69583213,  620.72314587])]","[array([-0.78892973, -0.06067392, -0.45529857, -0.45618907, -1.61568547,
        2.93250643])]",1049.7814594007855
movel_fit,"[array([ 837.30712424, -416.7941619 ,  620.66083842])]","[array([-0.77294421, -0.06260974, -0.46388663, -0.46356108, -1.63083708,
        2.93180542])]",1029.0949076990553
