primitives,points,q_bp,speed
movej_fit,"[array([  822.07155964, -1168.03230211,   868.89907984])]","[array([-1.07253892, -0.05935295, -0.20635371, -0.32426021, -1.09227909,
        2.93894756])]",883.0
movel_fit,"[array([ 859.20528806, -842.95878908,  743.63682277])]","[array([-0.96591502, -0.08769382, -0.3119436 , -0.38675871, -1.35140317,
        2.95943477])]",883.0
movel_fit,"[array([ 862.04086843, -814.44830943,  731.85280235])]","[array([-0.95398492, -0.0875868 , -0.32296775, -0.3922687 , -1.36888837,
        2.95943203])]",893.0438071875706
movel_fit,"[array([ 855.83113155, -786.85362089,  709.19126086])]","[array([-0.93328236, -0.08325622, -0.33477932, -0.37211352, -1.38669336,
        2.93100851])]",1174.1899057121193
movel_fit,"[array([ 851.21165771, -756.46975535,  689.46506779])]","[array([-0.91551756, -0.07630153, -0.34470417, -0.36251664, -1.41046076,
        2.91295803])]",1249.0365210315058
movel_fit,"[array([ 847.94881848, -724.62929685,  672.80174646])]","[array([-0.90202054, -0.07015257, -0.35605049, -0.36405084, -1.43492218,
        2.90761139])]",1235.7333533560382
movel_fit,"[array([ 845.2206792 , -691.84442717,  658.50707252])]","[array([-0.89082875, -0.06426248, -0.36792668, -0.37172295, -1.46016816,
        2.90906512])]",1230.7268490740823
movel_fit,"[array([ 843.08283702, -658.88279791,  646.772905  ])]","[array([-0.87951405, -0.05823428, -0.378739  , -0.38108906, -1.48587078,
        2.91144262])]",1226.3948620300964
movel_fit,"[array([ 841.49629573, -626.20114249,  637.73298991])]","[array([-0.86804338, -0.05339478, -0.38926551, -0.39170335, -1.51052014,
        2.91462131])]",1194.9923121571721
movel_fit,"[array([ 840.57384938, -594.16273794,  631.09405771])]","[array([-0.85623521, -0.05079952, -0.40026773, -0.40311668, -1.53252459,
        2.91841351])]",1163.587120077275
movel_fit,"[array([ 840.07931705, -562.79213101,  626.74752463])]","[array([-0.84444799, -0.05107749, -0.41216349, -0.41547655, -1.5517396 ,
        2.9233136 ])]",1136.6514826875602
movel_fit,"[array([ 839.85960401, -532.23764249,  623.89730481])]","[array([-0.83209299, -0.0532162 , -0.42430941, -0.42755861, -1.56861245,
        2.92792   ])]",1115.2202123601435
movel_fit,"[array([ 839.62472723, -502.3930775 ,  622.16074239])]","[array([-0.81869548, -0.05593036, -0.43569308, -0.4384406 , -1.58454263,
        2.93099194])]",1091.28752160431
movel_fit,"[array([ 839.19980757, -473.29981848,  621.15612476])]","[array([-0.80432788, -0.05832193, -0.44590016, -0.44797798, -1.6002441 ,
        2.93253268])]",1073.9125610376998
movel_fit,"[array([ 838.4023962 , -444.70397649,  620.71503377])]","[array([-0.78893674, -0.06050878, -0.45519397, -0.45620022, -1.6158152 ,
        2.93252517])]",1049.7814594007855
movel_fit,"[array([ 837.32090622, -416.80779892,  620.66167918])]","[array([-0.77300469, -0.06256786, -0.46388215, -0.46363644, -1.63086154,
        2.93191996])]",1029.0949076990553
movel_fit,"[array([ 835.89955432, -389.45808462,  620.92722864])]","[array([-0.75668233, -0.06488416, -0.47238753, -0.47057845, -1.64517401,
        2.93108235])]",1012.7177982542372
movel_fit,"[array([ 834.17738171, -362.68730711,  621.4369778 ])]","[array([-0.73998693, -0.06751537, -0.48075241, -0.47703758, -1.65862349,
        2.93005224])]",993.0786494142583
movel_fit,"[array([ 832.08182845, -336.35498918,  622.12977841])]","[array([-0.7227744 , -0.07032619, -0.48890259, -0.48290398, -1.67145769,
        2.92862567])]",975.128186805066
movel_fit,"[array([ 829.70201486, -310.5353153 ,  622.93555007])]","[array([-0.70504435, -0.07331845, -0.49681756, -0.48817512, -1.683512  ,
        2.92685085])]",962.2425207592287
movel_fit,"[array([ 826.98121742, -285.17927345,  623.77642526])]","[array([-0.68687536, -0.07683351, -0.50479316, -0.49292552, -1.69454101,
        2.92491823])]",945.2706910254964
movel_fit,"[array([ 823.96298368, -260.26460322,  624.62353696])]","[array([-0.66826769, -0.0811381 , -0.51296687, -0.49720416, -1.70430806,
        2.92288694])]",926.9527381412885
movel_fit,"[array([ 820.57166169, -235.61473152,  625.33997942])]","[array([-0.6491017 , -0.08651092, -0.5216104 , -0.5009949 , -1.71261838,
        2.92067644])]",915.1820315104077
movel_fit,"[array([ 816.7506942 , -211.42805143,  625.77833868])]","[array([-0.6293805 , -0.09243501, -0.5303919 , -0.50399327, -1.71976318,
        2.91820563])]",902.2614972235956
movel_fit,"[array([ 812.42019881, -187.50443975,  625.82293734])]","[array([-0.60864493, -0.09824228, -0.53892914, -0.50587747, -1.72629514,
        2.91488827])]",891.8377063202671
movel_fit,"[array([ 807.49029937, -163.89206482,  625.30488492])]","[array([-0.58677804, -0.10335679, -0.54699645, -0.50641449, -1.73254299,
        2.91063127])]",890.6585723412975
movel_fit,"[array([ 801.86102242, -140.50526846,  624.11196417])]","[array([-0.56354732, -0.10784713, -0.55470826, -0.50542561, -1.73840999,
        2.90523276])]",892.4341997158743
movel_fit,"[array([ 795.55898535, -117.31907915,  622.14112779])]","[array([-0.53887289, -0.11198601, -0.56230394, -0.50293819, -1.74351531,
        2.89880965])]",893.7955963736289
movel_fit,"[array([788.66157483, -94.46196097, 619.40681685])]","[array([-0.51301378, -0.11689589, -0.57038174, -0.49915903, -1.74692995,
        2.89183074])]",890.5090409274605
movel_fit,"[array([781.10322662, -71.86572602, 615.69434375])]","[array([-0.48562264, -0.12290466, -0.5791735 , -0.49380036, -1.74822983,
        2.88402025])]",888.6444638090865
movel_fit,"[array([772.84248238, -49.47269245, 610.87492191])]","[array([-0.4562802 , -0.12994344, -0.58862753, -0.48656853, -1.74735024,
        2.87497885])]",887.1301607049346
movel_fit,"[array([763.74119555, -27.39846842, 604.72718054])]","[array([-0.42463188, -0.13718664, -0.59841288, -0.4769836 , -1.74472533,
        2.86437186])]",899.2168994904063
movel_fit,"[array([753.73727264,  -5.57226407, 597.26614462])]","[array([-0.39002546, -0.14385126, -0.60804841, -0.46465985, -1.74091469,
        2.85145663])]",924.4643719024219
movel_fit,"[array([742.67203973,  16.0598634 , 588.18812678])]","[array([-0.35189177, -0.14986276, -0.61778314, -0.44925013, -1.73564655,
        2.8357217 ])]",950.987968465593
movel_fit,"[array([730.49433643,  37.39222749, 577.5090695 ])]","[array([-0.3102412 , -0.15587527, -0.62811525, -0.43087971, -1.72846288,
        2.81733946])]",985.6160209346167
movel_fit,"[array([717.11445401,  58.46359045, 565.28109365])]","[array([-0.26484867, -0.1624367 , -0.63949059, -0.40968736, -1.71907355,
        2.79618643])]",1012.9809524905195
movel_fit,"[array([702.46197549,  79.40003107, 551.79368451])]","[array([-0.21593638, -0.16989407, -0.65228179, -0.38642819, -1.70766974,
        2.77275901])]",1049.9572463269385
movel_fit,"[array([686.05823237, 100.11486997, 536.96056441])]","[array([-0.16351384, -0.17779342, -0.66678235, -0.36126301, -1.69486615,
        2.74705706])]",1100.2149346458023
movel_fit,"[array([667.53901746, 120.68403809, 521.21209125])]","[array([-0.10803308, -0.18524877, -0.68280352, -0.33517773, -1.68208153,
        2.7195534 ])]",1137.0148618345731
movel_fit,"[array([646.02560849, 141.02162526, 504.8613297 ])]","[array([-0.05008342, -0.19204708, -0.70069946, -0.30908318, -1.67060197,
        2.69067806])]",1172.4852161260135
movel_fit,"[array([621.05256482, 161.30210163, 488.50950778])]","[array([ 0.01022359, -0.19442369, -0.71873121, -0.2841931 , -1.66351571,
        2.65983468])]",1208.418089354439
movel_fit,"[array([593.42428241, 181.59237222, 472.90489209])]","[array([ 0.07212942, -0.18896936, -0.73473817, -0.26211314, -1.66235168,
        2.62721319])]",1253.2147441280915
movel_fit,"[array([559.93952427, 201.10535675, 458.95180089])]","[array([ 0.13351233, -0.17716586, -0.75085928, -0.24472499, -1.66969053,
        2.59399507])]",1306.490770722626
movel_fit,"[array([522.78384152, 220.22336382, 447.40765137])]","[array([ 0.19377759, -0.15916414, -0.7660121 , -0.23377115, -1.68338043,
        2.56080979])]",1326.2722268846521
movel_fit,"[array([484.26470701, 238.88480893, 439.24121021])]","[array([ 0.25180319, -0.13785437, -0.77968579, -0.22970613, -1.700904  ,
        2.52892105])]",1307.9620294653837
movel_fit,"[array([445.114628  , 256.99739808, 434.58770308])]","[array([ 0.30647137, -0.11175484, -0.79111375, -0.23277967, -1.72240403,
        2.4986152 ])]",1296.7070411939185
movel_fit,"[array([405.8312791 , 274.644072  , 433.71355894])]","[array([ 0.3551746 , -0.07614276, -0.79902732, -0.24429889, -1.7497922 ,
        2.47106543])]",1316.1212161717342
