primitives,points,q_bp,speed
movej_fit,"[array([  821.18234448, -1168.4653623 ,   868.02355217])]","[array([-1.06858437, -0.05865562, -0.20478132, -0.31362024, -1.09231374,
        2.92559973])]",883.0
movel_fit,"[array([ 858.31607289, -843.39184927,  742.7612951 ])]","[array([-0.9619932 , -0.08668561, -0.30988571, -0.37846767, -1.35176903,
        2.94891986])]",883.0
movel_fit,"[array([ 861.27099336, -814.78077377,  731.17469105])]","[array([-0.94998837, -0.08634228, -0.32049434, -0.38418473, -1.36971845,
        2.9489702 ])]",893.0438071875706
movel_fit,"[array([ 856.68829474, -786.17428255,  711.32692481])]","[array([-0.9343321 , -0.08285412, -0.33305911, -0.37527413, -1.38939041,
        2.93380899])]",1174.1899057121193
movel_fit,"[array([ 852.4785725 , -755.73116806,  692.46789504])]","[array([-0.9190886 , -0.07747085, -0.34468117, -0.37028589, -1.41212251,
        2.92177765])]",1249.0365210315058
movel_fit,"[array([ 849.28503593, -723.98221712,  675.94779817])]","[array([-0.90543725, -0.07187472, -0.35631371, -0.37147845, -1.43596757,
        2.91593395])]",1235.7333533560382
movel_fit,"[array([ 846.6275215 , -691.51657502,  661.57124604])]","[array([-0.89257428, -0.06620843, -0.36774838, -0.37634994, -1.46036983,
        2.91354884])]",1230.7268490740823
movel_fit,"[array([ 844.38329051, -658.79374172,  649.44229916])]","[array([-0.87999812, -0.06077733, -0.3788207 , -0.38352168, -1.48480688,
        2.91311163])]",1226.3948620300964
movel_fit,"[array([ 842.73087212, -626.27454038,  639.89198184])]","[array([-0.86761329, -0.05635571, -0.38966539, -0.39261768, -1.50835817,
        2.91437136])]",1194.9923121571721
movel_fit,"[array([ 841.77724749, -594.32276846,  632.93750435])]","[array([-0.85525841, -0.05363745, -0.40050075, -0.40314256, -1.53014512,
        2.91697393])]",1163.587120077275
movel_fit,"[array([ 841.38967327, -563.1017364 ,  628.26610074])]","[array([-0.84277555, -0.05281092, -0.4113973 , -0.41449019, -1.54992902,
        2.92041888])]",1136.6514826875602
movel_fit,"[array([ 841.2965233 , -532.65264579,  625.31977758])]","[array([-0.82987373, -0.05348765, -0.4221748 , -0.42583768, -1.56797359,
        2.92385732])]",1115.2202123601435
movel_fit,"[array([ 841.1948625 , -502.9378926 ,  623.56199517])]","[array([-0.81632202, -0.05505723, -0.43256995, -0.43652244, -1.58480112,
        2.92658038])]",1091.28752160431
movel_fit,"[array([ 840.86972441, -473.89465722,  622.57126544])]","[array([-0.80203246, -0.05698677, -0.44242302, -0.44623427, -1.60084711,
        2.92829549])]",1073.9125610376998
movel_fit,"[array([ 840.22697074, -445.47752771,  622.12703942])]","[array([-0.78705526, -0.05910224, -0.45176498, -0.45498604, -1.61625197,
        2.92908246])]",1049.7814594007855
movel_fit,"[array([ 839.24072781, -417.67965989,  622.09319128])]","[array([-0.77150542, -0.06139067, -0.46070183, -0.46290742, -1.63099078,
        2.92918428])]",1029.0949076990553
movel_fit,"[array([ 837.9231447 , -390.40242887,  622.38679269])]","[array([-0.75540653, -0.0638981 , -0.46934852, -0.47014707, -1.64504351,
        2.9287442 ])]",1012.7177982542372
movel_fit,"[array([ 836.25576345, -363.67690984,  622.91538258])]","[array([-0.73884116, -0.06663713, -0.47776707, -0.47674726, -1.65836266,
        2.92790964])]",993.0786494142583
movel_fit,"[array([ 834.24088616, -337.44845613,  623.61291605])]","[array([-0.72177822, -0.06959304, -0.48597566, -0.48272356, -1.67096779,
        2.92668232])]",975.128186805066
movel_fit,"[array([ 831.893541  , -311.68034756,  624.42317869])]","[array([-0.7042054 , -0.07282171, -0.49403099, -0.48810941, -1.68279804,
        2.92511066])]",962.2425207592287
movel_fit,"[array([ 829.22188425, -286.37031874,  625.29088213])]","[array([-0.68613849, -0.07645832, -0.50202741, -0.49292067, -1.69371603,
        2.92327944])]",945.2706910254964
movel_fit,"[array([ 826.2505898 , -261.48871163,  626.16391616])]","[array([-0.66754448, -0.08063905, -0.51004276, -0.4971613 , -1.70358111,
        2.92121081])]",926.9527381412885
movel_fit,"[array([ 822.95802174, -236.97389266,  626.95211858])]","[array([-0.64832951, -0.08537571, -0.51810639, -0.50076247, -1.71236621,
        2.91882297])]",915.1820315104077
movel_fit,"[array([ 819.23580167, -212.84360187,  627.49016625])]","[array([-0.62844485, -0.09050264, -0.52620226, -0.50353678, -1.72015754,
        2.91604238])]",902.2614972235956
movel_fit,"[array([ 815.00100084, -188.98398609,  627.63514089])]","[array([-0.60766   , -0.09571157, -0.53422992, -0.50530555, -1.72717384,
        2.9125991 ])]",891.8377063202671
movel_fit,"[array([ 810.11650282, -165.41023506,  627.20298009])]","[array([-0.58588521, -0.10074781, -0.54217403, -0.50585616, -1.73354412,
        2.90841582])]",890.6585723412975
movel_fit,"[array([ 804.55688927, -142.04684836,  626.13174847])]","[array([-0.56290486, -0.10560055, -0.55004195, -0.50507657, -1.7392333 ,
        2.90331548])]",892.4341997158743
movel_fit,"[array([ 798.32048433, -118.92862799,  624.31934021])]","[array([-0.53863517, -0.11049902, -0.55799478, -0.50287505, -1.74392308,
        2.89734546])]",893.7955963736289
movel_fit,"[array([791.46454763, -96.07186909, 621.70594412])]","[array([-0.51292122, -0.11578652, -0.56617522, -0.49915812, -1.74720483,
        2.89047524])]",890.5090409274605
movel_fit,"[array([783.98307309, -73.48348906, 618.1946928 ])]","[array([-0.4855388 , -0.12173383, -0.57470492, -0.49373279, -1.7487541 ,
        2.88256273])]",888.6444638090865
movel_fit,"[array([775.81146237, -51.14079925, 613.61643737])]","[array([-0.45615626, -0.12827784, -0.58360784, -0.48632523, -1.74846855,
        2.87333821])]",887.1301607049346
movel_fit,"[array([766.81337291, -29.01957365, 607.79166903])]","[array([-0.42435037, -0.1351548 , -0.59284055, -0.47657785, -1.74642897,
        2.86238511])]",899.2168994904063
movel_fit,"[array([756.83987071,  -7.15066551, 600.52312165])]","[array([-0.38978838, -0.14207895, -0.60243901, -0.46420084, -1.74270153,
        2.84944151])]",924.4643719024219
movel_fit,"[array([745.80387633,  14.54208284, 591.73091687])]","[array([-0.35198134, -0.14907778, -0.61252058, -0.44900965, -1.73717898,
        2.83407154])]",950.987968465593
movel_fit,"[array([733.67463909,  36.00326682, 581.37202146])]","[array([-0.31072571, -0.15624271, -0.62328639, -0.43099721, -1.72970428,
        2.81623319])]",985.6160209346167
movel_fit,"[array([720.39359106,  57.24117062, 569.50136051])]","[array([-0.26583172, -0.16370221, -0.63496045, -0.41029827, -1.72024887,
        2.79586315])]",1012.9809524905195
movel_fit,"[array([705.82581255,  78.29132225, 556.22093577])]","[array([-0.21721148, -0.17120635, -0.6476607 , -0.3872115 , -1.70917758,
        2.77295333])]",1049.9572463269385
movel_fit,"[array([689.72965491,  99.20694849, 541.70927582])]","[array([-0.16498214, -0.17807515, -0.66136572, -0.36228406, -1.69732477,
        2.74763469])]",1100.2149346458023
movel_fit,"[array([671.81813758, 120.02355364, 526.24818719])]","[array([-0.10948022, -0.18340923, -0.67591165, -0.33629781, -1.68579008,
        2.72015798])]",1137.0148618345731
movel_fit,"[array([651.75030351, 140.78632926, 510.24282954])]","[array([-0.05121835, -0.18603969, -0.69092343, -0.31027606, -1.6759598 ,
        2.6908191 ])]",1172.4852161260135
movel_fit,"[array([629.11817372, 161.4899887 , 494.15384644])]","[array([ 0.00905405, -0.18450437, -0.70586449, -0.28545823, -1.66939955,
        2.66001024])]",1208.418089354439
movel_fit,"[array([603.5729044 , 182.10927517, 478.54362253])]","[array([ 0.07036459, -0.17706508, -0.71998538, -0.26333409, -1.66771358,
        2.62820088])]",1253.2147441280915
movel_fit,"[array([574.98713827, 202.42824399, 464.08580773])]","[array([ 0.13117697, -0.16300915, -0.73288744, -0.24555191, -1.67174861,
        2.5964756 ])]",1306.490770722626
movel_fit,"[array([543.85689367, 222.25851488, 451.53863402])]","[array([ 0.18998926, -0.14300148, -0.74437818, -0.23346232, -1.68115275,
        2.56596708])]",1326.2722268846521
movel_fit,"[array([511.01757051, 241.3404845 , 441.52303211])]","[array([ 0.24543558, -0.11868441, -0.75452721, -0.22771007, -1.69487123,
        2.53767854])]",1307.9620294653837
movel_fit,"[array([477.16254063, 259.49945626, 434.27652614])]","[array([ 0.29622579, -0.0900776 , -0.7631345 , -0.22865792, -1.71252416,
        2.51220979])]",1296.7070411939185
movel_fit,"[array([442.59007399, 276.54648218, 429.94325194])]","[array([ 0.3406758 , -0.05643158, -0.77027138, -0.23681501, -1.73439025,
        2.49023131])]",1316.1212161717342
movel_fit,"[array([408.42197725, 292.39094049, 428.41852426])]","[array([ 0.3773463 , -0.01905783, -0.77651532, -0.25190994, -1.75909196,
        2.47266884])]",1322.4088523902153
movel_fit,"[array([375.8513137 , 306.99573801, 429.35316276])]","[array([ 0.40593117,  0.01999337, -0.78254209, -0.27261125, -1.7848659 ,
        2.45963547])]",1271.207144077122
movel_fit,"[array([345.60977413, 320.3090139 , 432.24896174])]","[array([ 0.42668075,  0.05925918, -0.78899968, -0.29738737, -1.81047992,
        2.45076919])]",1217.4016703828245
movel_fit,"[array([319.44669195, 332.5642044 , 436.31232901])]","[array([ 0.4419421 ,  0.09290588, -0.79601931, -0.32296356, -1.8324734 ,
        2.44520425])]",1024.7633708626836
movel_fit,"[array([297.51554262, 343.90227389, 441.04776266])]","[array([ 0.44987096,  0.12641592, -0.80256127, -0.35003352, -1.85303319,
        2.44340355])]",812.143011390058
movel_fit,"[array([217.29040872, 383.29956379, 463.39489454])]","[array([ 0.50279667,  0.23085905, -0.83373344, -0.43961331, -1.91741499,
        2.42583421])]",812.143011390058
