primitives,points,q_bp,speed
movej_fit,"[array([  823.08596741, -1167.24691987,   870.65055375])]","[array([-1.07348281, -0.05884628, -0.20451375, -0.32800918, -1.09510665,
        2.94283088])]",883.0
movel_fit,"[array([ 860.21969583, -842.17340685,  745.38829668])]","[array([-0.96682537, -0.08715623, -0.31047914, -0.39005539, -1.35381822,
        2.96241031])]",883.0
movel_fit,"[array([ 862.72304946, -813.92009769,  733.08932765])]","[array([-0.95617809, -0.08793881, -0.3233039 , -0.39721153, -1.36985037,
        2.9652471 ])]",893.0438071875706
movel_fit,"[array([ 855.03356326, -787.30118272,  707.81584644])]","[array([-0.93086143, -0.08335757, -0.3350181 , -0.36690669, -1.3851726 ,
        2.92490812])]",1174.1899057121193
movel_fit,"[array([ 850.44374337, -756.8823097 ,  687.91429417])]","[array([-0.91135894, -0.07532959, -0.34352651, -0.35467354, -1.40983904,
        2.90305595])]",1249.0365210315058
movel_fit,"[array([ 847.44889386, -724.82295716,  671.64978627])]","[array([-0.89936892, -0.06961423, -0.35554923, -0.35923012, -1.43430734,
        2.90155278])]",1235.7333533560382
movel_fit,"[array([ 845.05418434, -691.89377685,  658.01140963])]","[array([-0.89101369, -0.06458389, -0.36871254, -0.37180052, -1.45939571,
        2.90951823])]",1230.7268490740823
movel_fit,"[array([ 843.14555874, -658.88175503,  646.76461439])]","[array([-0.88083725, -0.05828781, -0.37932895, -0.38309255, -1.48589162,
        2.91429247])]",1226.3948620300964
movel_fit,"[array([ 841.6803033 , -626.2175304 ,  638.10607755])]","[array([-0.86945135, -0.05281958, -0.38904043, -0.39385991, -1.5115296 ,
        2.91745732])]",1194.9923121571721
movel_fit,"[array([ 840.77531169, -594.1894473 ,  631.59366195])]","[array([-0.85708276, -0.04985806, -0.39942625, -0.40444494, -1.53396764,
        2.91998444])]",1163.587120077275
movel_fit,"[array([ 840.19310016, -562.85980719,  627.14264739])]","[array([-0.84476004, -0.05063046, -0.41157148, -0.41594137, -1.5525264 ,
        2.9237879 ])]",1136.6514826875602
movel_fit,"[array([ 839.86410275, -532.28267905,  624.08004764])]","[array([-0.83230336, -0.05367712, -0.4245585 , -0.42781898, -1.5683403 ,
        2.92826778])]",1115.2202123601435
movel_fit,"[array([ 839.58649394, -502.42728306,  622.18875819])]","[array([-0.81888324, -0.05694741, -0.43647115, -0.43864847, -1.58359805,
        2.9313503 ])]",1091.28752160431
movel_fit,"[array([ 839.14157764, -473.31048274,  621.10288459])]","[array([-0.80442984, -0.05931073, -0.44668201, -0.44806584, -1.5992811 ,
        2.93273807])]",1073.9125610376998
movel_fit,"[array([ 838.36352575, -444.66279988,  620.65023311])]","[array([-0.78874216, -0.0608544 , -0.45541152, -0.45596118, -1.61545406,
        2.93218677])]",1049.7814594007855
movel_fit,"[array([ 837.29057965, -416.75187892,  620.61482919])]","[array([-0.77269955, -0.06241772, -0.46370085, -0.46327627, -1.63097956,
        2.93137884])]",1029.0949076990553
movel_fit,"[array([ 835.85230016, -389.44605709,  620.87418697])]","[array([-0.75648732, -0.06460488, -0.4721605 , -0.47029306, -1.64540323,
        2.93072075])]",1012.7177982542372
movel_fit,"[array([ 834.12501944, -362.66924833,  621.39088914])]","[array([-0.73994275, -0.0673924 , -0.48070296, -0.4769456 , -1.65873928,
        2.92997364])]",993.0786494142583
movel_fit,"[array([ 832.05939465, -336.35351138,  622.12142945])]","[array([-0.72284373, -0.07031833, -0.48894224, -0.48296553, -1.67148611,
        2.9287442 ])]",975.128186805066
