breakpoints,primitives,points,q_bp
18181,movel_fit,"[array([1057.07982453, -134.79864751,  989.14315798])]","[array([-0.45835824, -0.51887257,  0.79855582, -2.5074332 , -1.31046778,
        0.7649832 ])]"
18686,movel_fit,"[array([1056.47277798, -124.44752993,  988.88375035])]","[array([-0.45305029, -0.532949  ,  0.80911225, -2.4973136 , -1.29995512,
        0.77872112])]"
19191,movel_fit,"[array([1055.97428361, -114.16376536,  988.69676691])]","[array([-0.4471326 , -0.54611989,  0.81878216, -2.48795575, -1.28971235,
        0.79589656])]"
19696,movel_fit,"[array([1055.69091082, -103.79879029,  988.59543293])]","[array([-0.44031165, -0.55821127,  0.82740711, -2.47957676, -1.27965105,
        0.8168246 ])]"
20201,movel_fit,"[array([1055.63315939,  -93.43726841,  988.58245201])]","[array([-0.43256165, -0.56900314,  0.83480985, -2.47243576, -1.26984476,
        0.84155616])]"
20706,movel_fit,"[array([1055.75865614,  -83.07086712,  988.67873644])]","[array([-0.42378716, -0.57834428,  0.84082556, -2.46683231, -1.2604163 ,
        0.8701987 ])]"
21211,movel_fit,"[array([1056.10782741,  -72.69917473,  988.87295162])]","[array([-0.41386333, -0.58594376,  0.84524222, -2.4630768 , -1.25145827,
        0.90277784])]"
21716,movel_fit,"[array([1056.70257151,  -62.35996038,  989.12558136])]","[array([-0.40272676, -0.59146458,  0.84784976, -2.46148137, -1.24313274,
        0.9391795 ])]"
22221,movel_fit,"[array([1057.54427996,  -52.03578938,  989.50210488])]","[array([-0.39029173, -0.59459148,  0.84836343, -2.46236055, -1.23573114,
        0.97934139])]"
22726,movel_fit,"[array([1058.66885684,  -41.7051539 ,  989.98031569])]","[array([-0.37648851, -0.59493113,  0.84654676, -2.46596027, -1.22952755,
        1.02307188])]"
23231,movel_fit,"[array([1060.08327678,  -31.28187111,  990.49363522])]","[array([-0.36123842, -0.59212548,  0.84223422, -2.47244425, -1.22482631,
        1.07013635])]"
23736,movel_fit,"[array([1061.69047924,  -21.19649281,  991.04919903])]","[array([-0.34511002, -0.58572807,  0.83517457, -2.4818485 , -1.22236155,
        1.11975074])]"
24241,movel_fit,"[array([1063.52280301,  -10.85322548,  991.62925897])]","[array([-0.3275804 , -0.57559632,  0.82531095, -2.49412598, -1.22231515,
        1.17206052])]"
24746,movel_fit,"[array([ 1.06561344e+03, -7.19376420e-01,  9.92164975e+02])]","[array([-0.30931967, -0.56121051,  0.8124754 , -2.50897819, -1.22534309,
        1.22603915])]"
25252,movel_fit,"[array([1068.05992066,    9.40038452,  992.69436065])]","[array([-0.29031014, -0.54229422,  0.79653913, -2.52604787, -1.23182802,
        1.28140581])]"
25757,movel_fit,"[array([1070.64481063,   19.46953276,  993.11791341])]","[array([-0.27096851, -0.51905714,  0.77780972, -2.54471383, -1.24219371,
        1.33725151])]"
26262,movel_fit,"[array([1073.34482125,   29.33591354,  993.40082611])]","[array([-0.25172993, -0.491498  ,  0.75643055, -2.56433193, -1.25676321,
        1.39282136])]"
26767,movel_fit,"[array([1076.294399  ,   39.28650525,  993.46991067])]","[array([-0.23256914, -0.45977423,  0.73269649, -2.58415576, -1.27535268,
        1.44761584])]"
27272,movel_fit,"[array([1079.35660789,   49.21739476,  993.40776255])]","[array([-0.21391627, -0.42440788,  0.7069909 , -2.6034656 , -1.29800344,
        1.50085203])]"
27777,movel_fit,"[array([1082.42452386,   59.15333752,  993.19346283])]","[array([-0.19602552, -0.3860971 ,  0.67991061, -2.62156811, -1.32435196,
        1.55178699])]"
28282,movel_fit,"[array([1085.61049672,   69.07348648,  992.67553303])]","[array([-0.17910134, -0.34541994,  0.65207924, -2.63785817, -1.35365071,
        1.59959068])]"
28787,movel_fit,"[array([1088.75244968,   78.99910588,  992.04261678])]","[array([-0.16329973, -0.30337365,  0.6240754 , -2.65192956, -1.38537301,
        1.64365055])]"
29292,movel_fit,"[array([1091.84515422,   88.87085954,  991.10991346])]","[array([-0.14876322, -0.26080344,  0.59667477, -2.66347804, -1.41853073,
        1.68307329])]"
29797,movel_fit,"[array([1095.02757023,   98.63274499,  989.82631229])]","[array([-0.13554526, -0.21832831,  0.57032745, -2.67238808, -1.45227132,
        1.7170791 ])]"
30302,movel_fit,"[array([1098.05468562,  108.54141148,  988.54392626])]","[array([-0.12345039, -0.17695809,  0.54541494, -2.67862807, -1.48615933,
        1.74523166])]"
30807,movel_fit,"[array([1100.77245313,  118.47735162,  987.23633043])]","[array([-0.11254049, -0.13738047,  0.52241025, -2.68228192, -1.51963302,
        1.76660868])]"
31312,movel_fit,"[array([1103.33359698,  128.429366  ,  985.71495685])]","[array([-0.10272493, -0.0997656 ,  0.50150582, -2.68348529, -1.55211434,
        1.78031022])]"
