num_breakpoints,max_cartesian_error,max_cartesian_error_index,avg_cartesian_error,max_orientation_error
4,83.85112679680931,0,18.397970979017824,0.6319453948757229
9,17.642658674200643,2643,4.141219570525607,0.23026521605811634
30,1.4679172422671667,5096,0.19036398911413271,0.03885625905677938
30,1.4679172422681177,5096,0.19031037899012754,0.03885625905677938
36,0.6937527810390091,7405,0.06826694734631854,0.024748179333461996
39,0.6937527811071754,7405,0.06820689804757368,0.024084085962369526
43,0.0011660591843035584,5085,0.0002367036806201811,0.01719401186022828
46,0.0008646062407474427,2642,0.00014337834194435005,0.012142077094705606
47,0.0008646062349628317,2642,0.00011961282342646051,0.01082864284487554
49,0.0008646062427007466,2642,9.58827405688685e-05,0.00949153745489114
51,0.0008646061970887073,2642,8.194572761109296e-05,0.007559663022098982
