breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([ 932.28813637, -607.27865827,  177.51009323])]","[array([-0.64677754,  0.04299935, -0.14326979, -0.21618153, -1.7308497 ,
        2.13872216])]"
2242,movel_fit,"[array([ 929.76985484, -460.65293958,  177.19397136])]","[array([-0.55337222, -0.0771143 , -0.26112839, -0.24821945, -1.7094057 ,
        2.13784289])]"
4485,movel_fit,"[array([ 927.61812127, -414.60412731,  177.28358095])]","[array([-0.52776167, -0.12932185, -0.30760998, -0.26769208, -1.6883424 ,
        2.14766743])]"
6749,movel_fit,"[array([ 924.16604144, -368.19466555,  177.38017609])]","[array([-0.50659863, -0.19856375, -0.36648097, -0.29544901, -1.65304849,
        2.16811814])]"
9078,movel_fit,"[array([ 919.55194369, -320.55677917,  177.27240636])]","[array([-0.48912786, -0.286727  , -0.43902789, -0.33190066, -1.60373776,
        2.19792155])]"
11630,movel_fit,"[array([ 913.16830489, -268.48745529,  176.60622924])]","[array([-0.47305215, -0.39945792, -0.52942614, -0.37903262, -1.5397862 ,
        2.23332451])]"
14675,movel_fit,"[array([ 904.96285877, -206.46277638,  174.84447029])]","[array([-0.45214576, -0.54377089, -0.64179357, -0.43934792, -1.46023473,
        2.25699237])]"
16613,movel_fit,"[array([ 900.26428814, -166.93886143,  173.30157645])]","[array([-0.43267173, -0.62987075, -0.7065712 , -0.47438733, -1.41335619,
        2.23576436])]"
18173,movel_fit,"[array([ 897.41947107, -134.99346195,  172.30030817])]","[array([-0.41103559, -0.69062033, -0.75056498, -0.49721325, -1.37906712,
        2.19332037])]"
19464,movel_fit,"[array([ 896.17364214, -108.47315876,  171.84751626])]","[array([-0.38715244, -0.73067393, -0.7781722 , -0.50950324, -1.35323388,
        2.13232539])]"
20621,movel_fit,"[array([896.01764975, -84.6978818 , 171.89241835])]","[array([-0.36038177, -0.75563325, -0.79399569, -0.51329733, -1.33301303,
        2.05931167])]"
21714,movel_fit,"[array([897.0282451 , -62.23886954, 172.46119135])]","[array([-0.32951399, -0.7657307 , -0.79846207, -0.50841812, -1.31787262,
        1.97348244])]"
22790,movel_fit,"[array([899.07782319, -40.20635008, 173.30523646])]","[array([-0.29398446, -0.75926309, -0.79073786, -0.49451613, -1.30943104,
        1.87675273])]"
23884,movel_fit,"[array([901.97042346, -17.90049316, 174.31517313])]","[array([-0.2535214 , -0.73227916, -0.76823342, -0.47129992, -1.31149114,
        1.76989732])]"
25031,movel_fit,"[array([907.11901242,   5.10954718, 175.63285487])]","[array([-0.20841392, -0.6775189 , -0.72613696, -0.43986242, -1.32950512,
        1.65518502])]"
26232,movel_fit,"[array([913.39096734,  28.98460869, 176.59523525])]","[array([-0.1617383 , -0.59159178, -0.66249026, -0.40478419, -1.37133917,
        1.53896135])]"
27443,movel_fit,"[array([920.48856193,  52.86368464, 176.7439828 ])]","[array([-0.11867642, -0.47946737, -0.58156822, -0.37427606, -1.43830868,
        1.43231306])]"
28640,movel_fit,"[array([928.01968821,  76.27878906, 175.81441094])]","[array([-0.08238643, -0.35393725, -0.493223  , -0.3546031 , -1.52318149,
        1.34245611])]"
29844,movel_fit,"[array([935.51221965,  99.7524172 , 173.56066842])]","[array([-0.05265134, -0.22721583, -0.40693518, -0.34763876, -1.61608329,
        1.27303148])]"
31053,movel_fit,"[array([942.41363599, 123.42755661, 170.30815496])]","[array([-0.02868339, -0.11255901, -0.3321491 , -0.35300593, -1.70519519,
        1.2324277 ])]"
32132,movel_fit,"[array([947.75308163, 144.70937172, 166.84486817])]","[array([-0.01109941, -0.02727205, -0.27933771, -0.36658965, -1.77498473,
        1.23067366])]"
33039,movel_fit,"[array([950.94751591, 162.94723727, 164.32400625])]","[array([ 0.0018902 ,  0.03082879, -0.24506219, -0.38297385, -1.82621133,
        1.25966174])]"
33821,movel_fit,"[array([952.90519187, 178.85489012, 162.56881112])]","[array([ 0.01262984,  0.07074502, -0.22237233, -0.39876882, -1.86443022,
        1.30882822])]"
34533,movel_fit,"[array([953.75199372, 193.52517567, 161.59969955])]","[array([ 0.02271094,  0.09808814, -0.20715654, -0.41268035, -1.89376387,
        1.37172008])]"
35211,movel_fit,"[array([953.67364259, 207.53626658, 161.38758202])]","[array([ 0.03303952,  0.11479712, -0.19775526, -0.42362989, -1.91505858,
        1.4436503 ])]"
35884,movel_fit,"[array([952.57662305, 221.39689381, 162.05821012])]","[array([ 0.04426159,  0.12064434, -0.19395103, -0.43082279, -1.92747149,
        1.5206568 ])]"
36581,movel_fit,"[array([950.79497628, 235.67944703, 163.2011469 ])]","[array([ 0.05690807,  0.11380716, -0.1967134 , -0.43362165, -1.92789615,
        1.5992875 ])]"
37331,movel_fit,"[array([947.58952407, 250.67772956, 165.5383244 ])]","[array([ 0.07148434,  0.08933072, -0.2089235 , -0.43136904, -1.91181297,
        1.67588806])]"
38160,movel_fit,"[array([942.73227361, 266.78364659, 168.74205459])]","[array([ 0.08859513,  0.04040883, -0.23553982, -0.42376726, -1.87195757,
        1.74644733])]"
39052,movel_fit,"[array([936.44216307, 283.72975667, 172.16449453])]","[array([ 0.10882871, -0.03858669, -0.28187144, -0.41095502, -1.80205897,
        1.80470265])]"
39956,movel_fit,"[array([929.12858343, 300.64142467, 174.81551422])]","[array([ 0.13237568, -0.14389893, -0.34820451, -0.39472027, -1.7058563 ,
        1.84590424])]"
40853,movel_fit,"[array([921.25793144, 317.31415629, 176.37116295])]","[array([ 0.15985806, -0.26516813, -0.42920509, -0.37680273, -1.59394206,
        1.86813063])]"
41760,movel_fit,"[array([912.85019054, 334.0171051 , 176.46446255])]","[array([ 0.19204251, -0.39234254, -0.51825482, -0.35760253, -1.47577172,
        1.86645932])]"
42656,movel_fit,"[array([905.25693476, 350.80402698, 175.48290907])]","[array([ 0.22694338, -0.51113485, -0.60439748, -0.33881515, -1.36263063,
        1.83220355])]"
43450,movel_fit,"[array([899.22664355, 365.91462899, 173.8497035 ])]","[array([ 0.2586206 , -0.60434246, -0.6739909 , -0.32346616, -1.26936318,
        1.7645241 ])]"
44123,movel_fit,"[array([895.12469962, 379.07507237, 172.54016384])]","[array([ 0.28556398, -0.67296805, -0.72621337, -0.31073533, -1.19483629,
        1.67279942])]"
44710,movel_fit,"[array([892.56024873, 390.88596022, 171.65661876])]","[array([ 0.30951565, -0.72309172, -0.7649605 , -0.29757118, -1.13349966,
        1.56340078])]"
45251,movel_fit,"[array([891.38423701, 401.98207798, 171.19804579])]","[array([ 0.3322834 , -0.75837067, -0.79276142, -0.28120529, -1.08176143,
        1.43939289])]"
45775,movel_fit,"[array([891.31726336, 412.83064367, 171.17648631])]","[array([ 0.35453419, -0.77871789, -0.80941423, -0.26038974, -1.04005353,
        1.30476249])]"
46307,movel_fit,"[array([892.47171898, 423.76899057, 171.67540874])]","[array([ 0.37544272, -0.78165433, -0.81295944, -0.23665448, -1.01110703,
        1.16593534])]"
46875,movel_fit,"[array([894.92999995, 435.2490263 , 172.37887344])]","[array([ 0.39272167, -0.76274805, -0.80003459, -0.21519193, -0.9997226 ,
        1.03186615])]"
47509,movel_fit,"[array([898.8455975 , 447.75696933, 173.29446641])]","[array([ 0.40263409, -0.71534229, -0.76506002, -0.20472129, -1.01341146,
        0.91400124])]"
48228,movel_fit,"[array([905.26770405, 461.09442082, 174.7535104 ])]","[array([ 0.40061241, -0.63365051, -0.70287011, -0.21465491, -1.05975576,
        0.82617284])]"
48998,movel_fit,"[array([912.86145111, 474.99349366, 175.75836048])]","[array([ 0.38657409, -0.52017161, -0.61543504, -0.24616453, -1.14177161,
        0.77424948])]"
49766,movel_fit,"[array([920.6702384 , 488.76605943, 176.10220054])]","[array([ 0.36641772, -0.39020737, -0.51555387, -0.28909165, -1.24748066,
        0.74811615])]"
49999,movel_fit,"[array([973.21106145, 581.97700462, 167.57342744])]","[array([ 0.2914245 ,  0.40718731,  0.03581515, -0.60407845, -1.97259703,
        0.54672992])]"
