breakpoints,primitives,points
0,movej_fit,"[array([ 0.62659862,  0.83773042, -0.23644039,  1.68201542, -0.89575904,
        0.79183983])]"
3822,movec_fit,"[array([2372.38495248, 1028.57291534,  717.76845152]), array([2364.77267304,  965.82932879,  695.16302216])]"
3988,movel_fit,"[array([2363.93712018,  960.28921104,  693.52258735])]"
6166,movec_fit,"[array([2357.61526726,  923.69262228,  684.06344291]), array([2350.13614049,  886.88387079,  676.81451408])]"
6722,movec_fit,"[array([2348.05091585,  877.41983243,  675.28508827]), array([2345.90671809,  868.01722364,  673.91626903])]"
8416,movec_fit,"[array([2338.96561347,  839.21870653,  670.50946114]), array([2331.49894559,  810.50922273,  668.28105   ])]"
9784,movec_fit,"[array([2325.11452567,  787.30610386,  667.24772381]), array([2318.46364473,  764.23074862,  666.89534126])]"
11340,movec_fit,"[array([2310.5865993 ,  737.99644429,  667.21543061]), array([2302.45270379,  711.93417895,  668.28277758])]"
12767,movec_fit,"[array([2294.77886961,  688.07734617,  669.82505598]), array([2286.94427777,  664.34971708,  671.89122509])]"
14210,movec_fit,"[array([2278.87592987,  640.41077017,  674.43145717]), array([2270.70006246,  616.59639935,  677.40983836])]"
15110,movec_fit,"[array([2265.54343805,  601.7378862 ,  679.45178788]), array([2260.37931015,  586.97693253,  681.63257313])]"
16367,movec_fit,"[array([2253.11089828,  566.3399449 ,  684.88105829]), array([2245.82501837,  545.78257844,  688.34860981])]"
16649,movel_fit,"[array([2242.5624339 ,  536.55736155,  689.9585906 ])]"
18409,movec_fit,"[array([2232.3272357 ,  507.79571079,  695.23532242]), array([2222.1331097 ,  479.14384084,  700.7700235 ])]"
19899,movec_fit,"[array([2213.52425528,  454.84290188,  705.6240492 ]), array([2205.01989154,  430.60024104,  710.57314904])]"
19998,movec_fit,"[array([2204.45910321,  428.96777033,  710.90805724]), array([2203.89449223,  427.373278  ,  711.23667483])]"
20429,movel_fit,"[array([2199.01684034,  413.31566661,  714.12121666])]"
22001,movec_fit,"[array([2190.20458169,  387.6244412 ,  719.43483349]), array([2181.55775665,  361.94870218,  724.72920607])]"
23725,movec_fit,"[array([2172.26372844,  333.63323994,  730.46209894]), array([2163.24160519,  305.27618673,  736.05006396])]"
25437,movec_fit,"[array([2154.56355205,  276.91358695,  741.38859897]), array([2146.23403839,  248.4691034 ,  746.44251097])]"
26516,movec_fit,"[array([2141.18291545,  230.41028055,  749.43865879]), array([2136.29699624,  212.31744457,  752.27671454])]"
28182,movec_fit,"[array([2129.10611705,  184.16930139,  756.28676069]), array([2122.40958898,  155.90380307,  759.78035974])]"
29095,movec_fit,"[array([2118.96957109,  140.29279834,  761.43334719]), array([2115.69959973,  124.66264515,  762.89831652])]"
30682,movec_fit,"[array([2110.46076259,   97.31269199,  764.92071445]), array([2105.83363609,   69.84524561,  766.2330951 ])]"
32141,movec_fit,"[array([2102.1812135 ,   44.44110529,  766.71230838]), array([2099.13536838,   18.98923209,  766.46474873])]"
33647,movec_fit,"[array([2096.6922115 ,   -7.38690436,  765.33592401]), array([2094.99978487,  -33.69750478,  763.30904515])]"
35147,movec_fit,"[array([2094.1148369 ,  -59.9162868 ,  760.28800325]), array([2094.04410933,  -85.94501996,  756.27229248])]"
37554,movec_fit,"[array([2095.72743354, -127.33696315,  747.58591551]), array([2099.63849428, -167.87197732,  736.17438961])]"
39939,movec_fit,"[array([2105.69143333, -206.94338031,  722.18080205]), array([2113.78637171, -244.61416346,  705.70441911])]"
41163,movec_fit,"[array([2118.68267555, -263.40188796,  696.34078705]), array([2124.04223525, -281.69548493,  686.43003885])]"
42798,movec_fit,"[array([2131.89161291, -305.51805355,  672.35247737]), array([2140.46208082, -328.51506772,  657.42034623])]"
44166,movec_fit,"[array([2148.14293758, -347.20712348,  644.31257149]), array([2156.23301943, -365.28968009,  630.73349713])]"
45801,movec_fit,"[array([2166.41411798, -386.26779265,  613.89205219]), array([2177.08830031, -406.4731075 ,  596.48067978])]"
47364,movec_fit,"[array([2187.70997123, -425.17280747,  579.34359806]), array([2198.69417541, -443.21762538,  561.79431093])]"
49139,movec_fit,"[array([2211.57098736, -463.04365508,  541.39356684]), array([2224.82280667, -482.11385698,  520.570597  ])]"
50000,movec_fit,"[array([2231.37875168, -491.14952666,  510.31904063]), array([2238.00168122, -499.99625305,  499.99791366])]"
