t,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,
0,2.30759,0.589757,0.994047,0.00254884,2.99691,-0.264257,
0.393303,2.28704,0.589485,0.994006,0.00253103,2.99924,-0.266945,
0.522937,2.2665,0.588977,0.993998,0.00247766,3.00622,-0.26868,
0.616076,2.24595,0.588231,0.994017,0.00238885,3.01787,-0.269409,
0.692443,2.22542,0.587249,0.994055,0.00226523,3.03417,-0.269124,
0.764965,2.2049,0.586029,0.9941,0.00210742,3.05508,-0.267871,
0.840841,2.1844,0.584575,0.994138,0.00191652,3.08048,-0.265742,
0.920815,2.16392,0.582891,0.99415,0.00169415,3.11018,-0.262877,
0.99546,2.14345,0.580985,0.994117,0.00144253,-3.13938,-0.259451,
1.06844,2.123,0.57887,0.994017,0.00116469,-3.10235,-0.255663,
1.13714,2.10258,0.576568,0.99383,0.000864555,-3.06263,-0.251718,
1.20534,2.08217,0.574106,0.993539,0.000546938,-3.02115,-0.247809,
1.26778,2.06179,0.571524,0.993132,0.000218173,-2.97899,-0.244101,
1.32964,2.04141,0.568873,0.992606,3.14148,-0.204226,2.90087,
1.39568,2.02103,0.566218,0.99197,3.14115,-0.244057,2.90383,
1.46433,2.00065,0.56364,0.99125,3.14084,-0.280832,2.9063,
1.53647,1.98025,0.561232,0.990488,3.14055,-0.313354,2.90826,
1.61161,1.95982,0.559108,0.989747,3.14031,-0.340486,2.90966,
1.69018,1.93935,0.557392,0.989102,3.14012,-0.361133,2.91045,
1.77179,1.91883,0.556221,0.988641,3.13999,-0.374178,2.91055,
1.85725,1.8983,0.555732,0.988447,3.13995,-0.378396,2.90983,
1.94687,1.87776,0.556055,0.988583,3.14001,-0.372372,2.90808,
2.0415,1.85725,0.557294,0.98907,3.14018,-0.354393,2.90495,
2.14174,1.83683,0.559508,0.989867,3.14047,-0.322448,2.89994,
2.24827,1.81655,0.562701,0.990861,3.1409,-0.2743,2.89218,
2.36098,1.79644,0.566819,0.991872,3.14145,-0.20781,2.88031,
2.47911,1.7765,0.571745,0.992672,0.000538035,-3.01987,-0.279537,
2.60339,1.75671,0.577312,0.993023,0.00133197,-3.1246,-0.307761,
2.74924,1.73706,0.583304,0.992715,0.00222232,3.03985,-0.351309,
2.93733,1.71748,0.589467,0.991616,0.00318044,2.91594,-0.41739,
3.16844,1.69794,0.595517,0.98972,0.00416417,2.7979,-0.513957,
3.38869,1.67833,0.601153,0.987175,0.00511399,2.69538,-0.64599,
3.65649,1.65858,0.606055,0.984305,0.0059565,2.61428,-0.807205,
3.8723,1.63857,0.609879,0.981591,0.00661768,2.55672,-0.972015,
4.10011,1.61826,0.61226,0.97963,0.00703543,2.52301,-1.10007,
4.37319,1.59774,0.612843,0.978987,0.00715598,2.51365,-1.15469,
4.60627,1.57728,0.611389,0.979953,0.00694292,2.53031,-1.11641,
4.85444,1.55718,0.607883,0.982336,0.00638743,2.57616,-0.989018,
5.09561,1.5376,0.60252,0.985507,0.00551692,2.65543,-0.806947,
5.39353,1.51849,0.595626,0.988663,0.00440055,2.77132,-0.62507,
5.65101,1.49973,0.587601,0.991059,0.00314397,2.92055,-0.483011,
5.93079,1.48112,0.578946,0.992185,0.00186337,3.08758,-0.388694,
6.14054,1.46249,0.570278,0.991893,0.000657712,-3.03557,-0.331965,
6.33113,1.44359,0.562335,0.990459,3.14121,-0.237203,2.8417,
6.52202,1.42413,0.556016,0.98857,3.14042,-0.327998,2.8584,
6.72429,1.40396,0.55241,0.987213,3.14,-0.373624,2.86444,
6.90038,1.38345,0.552517,0.98726,3.14003,-0.370313,2.86098,
7.1023,1.36337,0.5565,0.988719,3.14054,-0.314962,2.84661,
7.32587,1.34417,0.563529,0.990623,3.14146,-0.206255,2.81649,
8.43532,1.3257,0.572471,0.99176,0.00110374,-3.09431,-0.38295,
