t,j1,j2,j3,j4,j5,j6
0,0.253043,0.974921,-0.635872,-0.0379395,1.09128,0.00410718
0.393303,0.255086,0.949608,-0.591032,-0.0379707,1.07409,0.00410719
0.522937,0.256966,0.926407,-0.550324,-0.0365342,1.0634,0.0041072
0.616076,0.258675,0.905046,-0.513189,-0.033586,1.05893,0.00410722
0.692443,0.260208,0.885325,-0.479202,-0.0291233,1.06044,0.00410726
0.764965,0.261559,0.867092,-0.448004,-0.0231912,1.06769,0.0041073
0.840841,0.262726,0.850221,-0.419278,-0.0158867,1.08039,0.00410736
0.920815,0.263708,0.834597,-0.392718,-0.00735992,1.09816,0.00410743
0.99546,0.264514,0.8201,-0.368006,0.00218816,1.12046,0.00410751
1.06844,0.265158,0.806592,-0.344797,0.012514,1.1466,0.0041076
1.13714,0.265664,0.793911,-0.322716,0.0233415,1.17567,0.00410771
1.20534,0.266066,0.781859,-0.301361,0.0343769,1.20659,0.00410782
1.26778,0.266406,0.770211,-0.280321,0.0453258,1.23813,0.00410795
1.32964,0.266737,0.758721,-0.259204,0.0559049,1.26895,0.00410809
1.39568,0.267121,0.747134,-0.237659,0.0658552,1.29772,0.00410823
1.46433,0.267625,0.735203,-0.2154,0.0749472,1.32317,0.0041084
1.53647,0.268323,0.722693,-0.192215,0.0829847,1.34415,0.00410858
1.61161,0.269298,0.709387,-0.16796,0.0897947,1.3596,0.00410878
1.69018,0.270637,0.695083,-0.142547,0.0952144,1.36855,0.004109
1.77179,0.272439,0.679583,-0.115912,0.0990668,1.37003,0.00410924
1.85725,0.274806,0.662694,-0.0880017,0.101128,1.36298,0.00410951
1.94687,0.277853,0.644189,-0.0586854,0.101087,1.3461,0.00410982
2.0415,0.281697,0.623822,-0.027751,0.0984853,1.31776,0.00411017
2.14174,0.286456,0.601342,0.00513062,0.0926455,1.27596,0.00411056
2.24827,0.29225,0.5765,0.040456,0.0825615,1.21834,0.00411105
2.36098,0.299195,0.54914,0.0788294,0.0667519,1.14253,0.0041116
2.47911,0.307378,0.519397,0.120757,0.0430296,1.04696,0.00411218
2.60339,0.316804,0.487952,0.166264,0.00816626,0.932325,0.00411277
2.74924,0.327305,0.456249,0.214387,-0.0424676,0.803528,0.00411333
2.93733,0.33848,0.42626,0.263016,-0.115116,0.670494,0.00411379
3.16844,0.34975,0.399716,0.309472,-0.216807,0.546433,0.0041141
3.38869,0.360544,0.377279,0.351645,-0.351948,0.443509,0.00411391
3.65649,0.370423,0.358451,0.388576,-0.514124,0.368991,0.00411364
3.8723,0.379104,0.342023,0.420324,-0.677956,0.323196,0.00411371
4.10011,0.386347,0.326701,0.447287,-0.803439,0.300718,0.00411394
4.37319,0.391861,0.311565,0.469589,-0.85419,0.294699,0.00411422
4.60627,0.395303,0.296394,0.486842,-0.810868,0.302228,0.00411439
4.85444,0.396335,0.281888,0.498169,-0.677026,0.328062,0.00411463
5.09561,0.394683,0.269666,0.502488,-0.486503,0.384002,0.00411518
5.39353,0.390219,0.262033,0.499078,-0.293381,0.481228,0.0041162
5.65101,0.383249,0.261041,0.488913,-0.136886,0.618675,0.00411736
5.93079,0.374892,0.266481,0.476059,-0.0257171,0.77747,0.00411852
6.14054,0.366887,0.274754,0.466503,0.0481769,0.928882,0.00411975
6.33113,0.360793,0.280898,0.464557,0.0953797,1.04989,0.00412106
6.52202,0.357609,0.281261,0.471226,0.123838,1.13023,0.00412254
6.72429,0.358085,0.273819,0.48557,0.138024,1.16725,0.00412432
6.90038,0.362901,0.257561,0.506286,0.139146,1.15917,0.0041265
7.1023,0.372357,0.23248,0.532782,0.125507,1.10371,0.00412906
7.32587,0.386408,0.199404,0.565978,0.0917782,0.998814,0.00413187
8.43532,0.404919,0.160462,0.607352,0.0262249,0.846185,0.00413485
