breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([408.92584507, -11.08369671, 816.57475802])]","[array([-1.25900809, -1.1117558 , -1.07226046, -2.14820065, -2.17645396,
       -0.02340881])]"
4484,movel_fit,"[array([485.05222896, -60.85091416, 929.78982433])]","[array([-1.21160072, -0.94909526, -0.88031645, -2.07869896, -2.08995846,
        0.03642322])]"
9044,movel_fit,"[array([ 530.75705627,  -90.83169657, 1005.90279002])]","[array([-1.23804241, -0.88323825, -0.73713033, -2.01153963, -2.01484205,
        0.08674589])]"
14888,movel_fit,"[array([ 585.89586177, -125.77577817, 1106.61299616])]","[array([-1.28756636, -0.81947306, -0.53012677, -1.89496647, -1.89736672,
        0.16095369])]"
17620,movel_fit,"[array([ 612.61130702, -140.82446441, 1153.65610816])]","[array([-1.28048875, -0.77725544, -0.43613192, -1.85054438, -1.84583881,
        0.189196  ])]"
20158,movel_fit,"[array([ 639.99908982, -157.01873472, 1195.08549717])]","[array([-1.25317265, -0.7283975 , -0.36222012, -1.82824036, -1.80231694,
        0.20464614])]"
22343,movel_fit,"[array([ 666.26929059, -172.52402595, 1228.16716211])]","[array([-1.20805396, -0.6708011 , -0.3133713 , -1.83875847, -1.77981342,
        0.20515912])]"
24531,movel_fit,"[array([ 695.55283215, -190.17737166, 1257.375035  ])]","[array([-1.14389289, -0.59772255, -0.28236351, -1.88716538, -1.77695857,
        0.18959505])]"
26903,movel_fit,"[array([ 730.04737559, -209.24798571, 1285.64119821])]","[array([-1.043583  , -0.49477172, -0.26638874, -1.99776823, -1.80841044,
        0.14795594])]"
29222,movel_fit,"[array([ 766.4230004 , -224.8726924 , 1311.49257535])]","[array([-0.91154694, -0.37254695, -0.2505593 , -2.15785321, -1.87370033,
        0.08505461])]"
31566,movel_fit,"[array([ 803.46857834, -236.35893465, 1339.69982855])]","[array([-0.78151439, -0.25389117, -0.20714137, -2.31831245, -1.93956779,
        0.02338142])]"
33322,movel_fit,"[array([ 828.99671718, -243.96018642, 1364.30133793])]","[array([-7.19423319e-01, -1.87342524e-01, -1.57487388e-01, -2.39738170e+00,
       -1.96021194e+00, -2.30294237e-03])]"
34766,movel_fit,"[array([ 847.37008831, -252.45287228, 1386.41125133])]","[array([-0.69692083, -0.14774347, -0.11200341, -2.42932909, -1.95662294,
       -0.00978378])]"
36110,movel_fit,"[array([ 861.16747304, -262.63633528, 1408.43185426])]","[array([-7.04943414e-01, -1.25346989e-01, -6.69525418e-02, -2.42180964e+00,
       -1.93420447e+00,  7.46605051e-04])]"
37592,movel_fit,"[array([ 871.10126878, -275.96227063, 1434.13046938])]","[array([-0.74561798, -0.1186584 , -0.01521644, -2.37028521, -1.88829428,
        0.02991345])]"
39327,movel_fit,"[array([ 879.39180208, -291.15930897, 1465.16427506])]","[array([-0.82867132, -0.13329391,  0.05757947, -2.24692539, -1.80375129,
        0.09051449])]"
41062,movel_fit,"[array([ 884.55279895, -302.20572436, 1498.34997769])]","[array([-0.92312867, -0.1603658 ,  0.15772252, -2.07614959, -1.69964788,
        0.16951204])]"
42829,movel_fit,"[array([ 891.43990424, -308.91632265, 1533.0647625 ])]","[array([-0.98432578, -0.16817169,  0.28143908, -1.91641528, -1.61157665,
        0.24442119])]"
44186,movel_fit,"[array([ 900.53895068, -312.57379278, 1559.31762953])]","[array([-0.99867069, -0.14758574,  0.37604721, -1.83879633, -1.57220364,
        0.28108379])]"
45301,movel_fit,"[array([ 907.44926953, -315.24061965, 1582.01709673])]","[array([-0.99818762, -0.1222825 ,  0.43684208, -1.81812741, -1.55375983,
        0.2924544 ])]"
46356,movel_fit,"[array([ 923.88404919, -325.46044167, 1597.34310402])]","[array([-0.98509519, -0.07985284,  0.48381494, -1.83331231, -1.55006725,
        0.29033137])]"
47565,movel_fit,"[array([ 943.90009631, -338.25551989, 1605.7083056 ])]","[array([-0.95917334, -0.03294612,  0.49706088, -1.89935811, -1.56212482,
        0.27381095])]"
49034,movel_fit,"[array([ 966.7401525 , -350.98337463, 1619.57997829])]","[array([-0.90314098,  0.03998836,  0.49810611, -2.047846  , -1.60013661,
        0.21864164])]"
49999,movel_fit,"[array([1031.9645967 , -372.07450212, 1644.53407091])]","[array([-0.67250478,  0.2267006 ,  0.50220092, -2.50696494, -1.70753466,
        0.03129023])]"
