breakpoints,primitives,points
0,movej_fit,"[array([-0.58062557, -0.02111551,  0.39517579, -2.80002394, -1.62820682,
        0.97110649])]"
7771,movec_fit,"[array([1087.71360219, -426.91412631,  994.09530391]), array([1081.7103797 , -347.29419298,  994.22890866])]"
10028,movec_fit,"[array([1079.30960574, -324.21191263,  994.11822047]), array([1076.70656211, -301.17286978,  993.91655212])]"
12472,movec_fit,"[array([1073.61982813, -276.22772855,  993.51196375]), array([1070.40753308, -251.34259557,  992.96623779])]"
15629,movel_fit,"[array([1062.17198713, -187.00739088,  990.83412939])]"
19276,movec_fit,"[array([1058.38663476, -149.73273091,  989.50558112]), array([1056.00491671, -112.35059082,  988.57998243])]"
22657,movec_fit,"[array([1056.08469251,  -77.60725649,  988.64260707]), array([1058.59216248,  -42.98875636,  989.61984623])]"
24888,movec_fit,"[array([1061.90877173,  -20.3177725 ,  990.70899185]), array([1066.29350411,    2.14689722,  991.86226304])]"
26425,movec_fit,"[array([1069.99874119,   17.49922334,  992.51435448]), array([1074.04897418,   32.74966289,  992.98156387])]"
28034,movec_fit,"[array([1078.69401999,   48.63189048,  993.05559258]), array([1083.53353677,   64.4316416 ,  992.74872247])]"
29637,movec_fit,"[array([1088.47028349,   80.13063011,  991.84274226]), array([1093.3655612 ,   95.78966797,  990.49949064])]"
31216,movec_fit,"[array([1097.95058645,  111.2551116 ,  988.63711612]), array([1102.24972144,  126.74640346,  986.50613306])]"
32885,movec_fit,"[array([1106.13803729,  143.28740741,  984.08578372]), array([1109.38822103,  159.96079423,  981.78115782])]"
34384,movec_fit,"[array([1111.3853734 ,  175.15872328,  980.1588864 ]), array([1112.54086389,  190.47301003,  979.10915315])]"
36963,movec_fit,"[array([1111.86457881,  216.94494831,  979.40052853]), array([1107.81756321,  242.94377972,  982.21185908])]"
38323,movec_fit,"[array([1104.40429239,  256.36227653,  984.24697019]), array([1100.19660921,  269.46743183,  986.53829494])]"
40051,movec_fit,"[array([1093.92209095,  285.87774463,  989.25742641]), array([1086.86841115,  302.03449785,  991.20861951])]"
40982,movec_fit,"[array([1082.84619742,  310.705162  ,  991.83576575]), array([1078.77282258,  319.34400937,  992.20525853])]"
41982,movec_fit,"[array([1074.38517141,  328.66103916,  992.18844923]), array([1070.08084274,  337.96686916,  991.89170409])]"
43124,movec_fit,"[array([1065.42767257,  348.73816599,  991.13212586]), array([1061.10653041,  359.58538432,  990.15725674])]"
44242,movec_fit,"[array([1057.50279604,  370.46346205,  989.07880434]), array([1054.53336558,  381.49432977,  988.0587038 ])]"
45481,movec_fit,"[array([1052.43480018,  394.03101074,  987.25167485]), array([1051.63818938,  406.71823004,  986.93368263])]"
47216,movec_fit,"[array([1053.18096894,  424.46027304,  987.56169249]), array([1057.49877899,  441.65905805,  989.10548916])]"
48248,movec_fit,"[array([1061.03971464,  451.63156075,  990.04833267]), array([1065.273664  ,  461.2865386 ,  990.97665531])]"
49700,movec_fit,"[array([1071.90900631,  474.64720327,  991.79583399]), array([1078.98174861,  487.75939582,  991.63138987])]"
50000,movel_fit,"[array([1081.81844024,  493.22736771,  991.25178081])]"
