breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 935.01866271, -662.98049499,  169.7421908 ])]","[array([-0.68560158,  0.07282861, -0.11662795, -0.21728243, -1.7106629 ,
        2.15619129])]"
499,movel_fit,"[array([ 932.0247909 , -496.45567654,  173.30930548])]","[array([-0.57622011, -0.04811337, -0.23695978, -0.23943122, -1.7097313 ,
        2.13920358])]"
999,movel_fit,"[array([ 931.91243426, -486.16188471,  173.2353951 ])]","[array([-0.56915475, -0.05568872, -0.24431684, -0.24141616, -1.70869574,
        2.13844866])]"
1499,movel_fit,"[array([ 931.67813062, -475.88729462,  173.23166764])]","[array([-0.56240135, -0.0640709 , -0.25225255, -0.24388586, -1.70700597,
        2.13830377])]"
1999,movel_fit,"[array([ 931.41766733, -465.60086249,  173.22627372])]","[array([-0.55588981, -0.07320804, -0.26076745, -0.24684266, -1.70455812,
        2.13872526])]"
2499,movel_fit,"[array([ 931.09855357, -455.31601811,  173.24333772])]","[array([-0.54963803, -0.08313515, -0.26986377, -0.25026481, -1.7013844 ,
        2.13972244])]"
2999,movel_fit,"[array([ 930.725793  , -445.03763292,  173.27318426])]","[array([-0.54363207, -0.09382541, -0.27951954, -0.25412307, -1.69750642,
        2.14127062])]"
3499,movel_fit,"[array([ 930.26126185, -434.76123474,  173.29339436])]","[array([-0.53784789, -0.10528595, -0.28975657, -0.25834955, -1.69295972,
        2.14332329])]"
3999,movel_fit,"[array([ 929.77382007, -424.47600815,  173.31837801])]","[array([-0.53227042, -0.11751468, -0.3005471 , -0.26298954, -1.68769172,
        2.14588695])]"
4499,movel_fit,"[array([ 929.24509056, -414.20590059,  173.35044567])]","[array([-0.52695981, -0.13057708, -0.31194182, -0.2680877 , -1.68167106,
        2.1490389 ])]"
4999,movel_fit,"[array([ 928.64626575, -403.93778118,  173.38572746])]","[array([-0.52186902, -0.14443892, -0.32391238, -0.2735637 , -1.67498492,
        2.15268821])]"
5499,movel_fit,"[array([ 927.99934459, -393.66919189,  173.40367199])]","[array([-0.51700229, -0.15912211, -0.33648972, -0.27944484, -1.66758545,
        2.15685183])]"
5999,movel_fit,"[array([ 927.26603477, -383.42266816,  173.44270416])]","[array([-0.51236404, -0.17459618, -0.34961173, -0.28567863, -1.65959181,
        2.16148137])]"
6499,movel_fit,"[array([ 926.44415742, -373.16374943,  173.50088388])]","[array([-0.50795436, -0.19093416, -0.3633395 , -0.29231464, -1.65097614,
        2.16658264])]"
6999,movel_fit,"[array([ 925.64964776, -362.90534479,  173.50348677])]","[array([-0.5037242 , -0.20803907, -0.37764641, -0.29935091, -1.64161849,
        2.17212699])]"
7499,movel_fit,"[array([ 924.84030481, -352.65781579,  173.50882002])]","[array([-0.49966788, -0.22588198, -0.39245668, -0.30673759, -1.63166348,
        2.17803824])]"
7999,movel_fit,"[array([ 923.88765703, -342.42011521,  173.51869885])]","[array([-0.49582753, -0.24453897, -0.40783638, -0.31444859, -1.62124308,
        2.18429312])]"
8499,movel_fit,"[array([ 922.87711738, -332.18631214,  173.51735733])]","[array([-0.49217027, -0.2639609 , -0.42375158, -0.32251553, -1.61029627,
        2.19085585])]"
8999,movel_fit,"[array([ 921.89089105, -321.96128959,  173.50060005])]","[array([-0.48864151, -0.28403668, -0.44010961, -0.33092038, -1.59881729,
        2.19763413])]"
9499,movel_fit,"[array([ 920.9370148 , -311.71956611,  173.4201529 ])]","[array([-0.48518806, -0.30472143, -0.45691719, -0.33963613, -1.58681787,
        2.20452567])]"
9999,movel_fit,"[array([ 919.71840482, -301.50777421,  173.36948722])]","[array([-0.48192204, -0.32613199, -0.47417747, -0.34854837, -1.57469987,
        2.21144922])]"
10499,movel_fit,"[array([ 918.56822089, -291.30102421,  173.27687332])]","[array([-0.47870384, -0.34800829, -0.49174692, -0.35775028, -1.56217904,
        2.21831673])]"
10999,movel_fit,"[array([ 917.41741036, -281.08078379,  173.14870043])]","[array([-0.47549982, -0.37036289, -0.50962253, -0.3671788 , -1.5493623 ,
        2.22498205])]"
11499,movel_fit,"[array([ 916.17040482, -270.90412583,  173.00981108])]","[array([-0.47235958, -0.39313475, -0.52772598, -0.37676288, -1.53645245,
        2.2313424 ])]"
11999,movel_fit,"[array([ 914.92310369, -260.69979472,  172.8284565 ])]","[array([-0.46917973, -0.41625407, -0.54603298, -0.38654153, -1.52337662,
        2.23724142])]"
12499,movel_fit,"[array([ 913.7591729 , -250.49686935,  172.63278298])]","[array([-0.46587392, -0.43954455, -0.56437216, -0.39641995, -1.51014997,
        2.24246596])]"
12999,movel_fit,"[array([ 912.48235863, -240.30669218,  172.41126267])]","[array([-0.46250955, -0.46303173, -0.58276087, -0.40634002, -1.49704428,
        2.2468812 ])]"
13499,movel_fit,"[array([ 911.17719144, -230.12729315,  172.15031152])]","[array([-0.45898886, -0.4865459 , -0.60107301, -0.41623383, -1.48404289,
        2.25025511])]"
13999,movel_fit,"[array([ 909.93796738, -219.94004746,  171.87356671])]","[array([-0.4552126 , -0.5099464 , -0.61918182, -0.42606581, -1.47110942,
        2.25236001])]"
14499,movel_fit,"[array([ 908.71138301, -209.73984675,  171.59904864])]","[array([-0.45116804, -0.53317969, -0.63702393, -0.43579016, -1.45836174,
        2.25299523])]"
14999,movel_fit,"[array([ 907.41802769, -199.5705351 ,  171.24211703])]","[array([-0.44684518, -0.55614121, -0.65457189, -0.44526455, -1.44590054,
        2.25193749])]"
15499,movel_fit,"[array([ 906.21233023, -189.38571535,  170.8885865 ])]","[array([-0.44208126, -0.57864255, -0.67161929, -0.45444241, -1.43364365,
        2.24887701])]"
15999,movel_fit,"[array([ 905.17068362, -179.1884367 ,  170.58982368])]","[array([-0.43692725, -0.60062425, -0.68812089, -0.46346364, -1.42152078,
        2.24380266])]"
16499,movel_fit,"[array([ 904.11043113, -169.00127752,  170.27393458])]","[array([-0.43133081, -0.62199722, -0.70401996, -0.47205486, -1.40977118,
        2.23634116])]"
16999,movel_fit,"[array([ 903.16026182, -158.78123217,  169.96421651])]","[array([-0.42510497, -0.64253328, -0.71913843, -0.48009705, -1.39829193,
        2.22616439])]"
17499,movel_fit,"[array([ 902.33946903, -148.57764517,  169.68096185])]","[array([-0.41825503, -0.66204973, -0.73333939, -0.48751572, -1.38711442,
        2.21313301])]"
17999,movel_fit,"[array([ 901.49742259, -138.3620864 ,  169.41733724])]","[array([-0.41078904, -0.68058018, -0.74662766, -0.49422068, -1.37641417,
        2.19706852])]"
18499,movel_fit,"[array([ 900.92041657, -128.13479484,  169.21678444])]","[array([-0.40248594, -0.69766545, -0.75869237, -0.50007658, -1.36593958,
        2.17774893])]"
18999,movel_fit,"[array([ 900.44408816, -117.89805913,  169.04280506])]","[array([-0.39334879, -0.71327558, -0.76951091, -0.50490367, -1.35589092,
        2.15503525])]"
19499,movel_fit,"[array([ 900.1752968 , -107.67899739,  168.98019726])]","[array([-0.38332293, -0.72708464, -0.77881732, -0.50859653, -1.34627385,
        2.12890177])]"
19999,movel_fit,"[array([899.97852478, -97.45382464, 168.93644898])]","[array([-0.37237029, -0.73899002, -0.7865901 , -0.51095923, -1.33727838,
        2.09930097])]"
20499,movel_fit,"[array([900.0881021 , -87.24130497, 169.04029333])]","[array([-0.36036607, -0.74845339, -0.79241125, -0.51186257, -1.32885393,
        2.0662793 ])]"
20999,movel_fit,"[array([900.32295348, -77.02807275, 169.10955333])]","[array([-0.34721757, -0.75541081, -0.79632828, -0.51096247, -1.32119083,
        2.0298122 ])]"
21499,movel_fit,"[array([900.86408178, -66.82257735, 169.35363362])]","[array([-0.33299754, -0.75925966, -0.79784505, -0.50836228, -1.31453205,
        1.99029961])]"
21999,movel_fit,"[array([901.65290331, -56.64999148, 169.84829962])]","[array([-0.31766774, -0.75963464, -0.79661617, -0.50378461, -1.30926854,
        1.94786101])]"
22499,movel_fit,"[array([902.54353509, -46.48175305, 170.01870231])]","[array([-0.30129319, -0.75653835, -0.79312455, -0.49723046, -1.3054342 ,
        1.90305723])]"
22999,movel_fit,"[array([903.73912643, -36.35707162, 170.46388159])]","[array([-0.28390773, -0.74914574, -0.78634462, -0.48865835, -1.30367099,
        1.8561159 ])]"
23499,movel_fit,"[array([904.84762117, -26.21726116, 170.84160186])]","[array([-0.26574697, -0.73769175, -0.77666711, -0.47824579, -1.30455435,
        1.80761115])]"
23999,movel_fit,"[array([906.45398791, -16.14305001, 171.28817074])]","[array([-0.24681781, -0.72106786, -0.7633615 , -0.466165  , -1.30806829,
        1.75809227])]"
24499,movel_fit,"[array([908.57539505,  -6.17064938, 171.78104665])]","[array([-0.22741471, -0.69905296, -0.74630661, -0.45277628, -1.31465201,
        1.70820801])]"
24999,movel_fit,"[array([910.7435096 ,   3.77226506, 172.20356944])]","[array([-0.20786927, -0.67217396, -0.725877  , -0.43850525, -1.32504749,
        1.6584632 ])]"
25499,movel_fit,"[array([912.95778986,  13.71786511, 172.54619958])]","[array([-0.18838948, -0.64036732, -0.7020587 , -0.4238206 , -1.33959958,
        1.6093272 ])]"
25999,movel_fit,"[array([915.38847789,  23.62305764, 172.81624037])]","[array([-0.16924625, -0.60360007, -0.67487482, -0.40926421, -1.35835023,
        1.56137431])]"
26499,movel_fit,"[array([917.96318012,  33.47742398, 172.95977607])]","[array([-0.15071103, -0.56233217, -0.64470424, -0.39535414, -1.38133054,
        1.51509003])]"
26999,movel_fit,"[array([920.6353682 ,  43.31658847, 172.97282004])]","[array([-0.13297413, -0.51711566, -0.61196826, -0.38258505, -1.40841474,
        1.47084023])]"
27499,movel_fit,"[array([923.40657961,  53.12211716, 172.79482112])]","[array([-0.11621661, -0.4685667 , -0.57719874, -0.37136215, -1.43924025,
        1.42901012])]"
27999,movel_fit,"[array([926.21196464,  62.92105306, 172.43180241])]","[array([-0.10054431, -0.41767953, -0.54114401, -0.36202709, -1.4732026 ,
        1.38993417])]"
28499,movel_fit,"[array([929.11702464,  72.66853873, 171.88945488])]","[array([-0.08606716, -0.3653577 , -0.50449087, -0.35480981, -1.50949903,
        1.35404979])]"
28999,movel_fit,"[array([931.91437212,  82.45475896, 171.19123198])]","[array([-0.07271634, -0.3127352 , -0.46808388, -0.34981396, -1.54746463,
        1.32159938])]"
29499,movel_fit,"[array([934.7849518 ,  92.20127506, 170.25950375])]","[array([-0.06049639, -0.26068869, -0.43262525, -0.34701232, -1.58595056,
        1.29319173])]"
29999,movel_fit,"[array([937.51909333, 101.99146419, 169.12562044])]","[array([-0.0493269 , -0.21025892, -0.39888129, -0.34643645, -1.624272  ,
        1.26930463])]"
30499,movel_fit,"[array([940.16972592, 111.80866471, 167.92419237])]","[array([-0.03913755, -0.16226193, -0.36728861, -0.34797743, -1.66162789,
        1.25063031])]"
30999,movel_fit,"[array([942.77049387, 121.62681993, 166.46793074])]","[array([-0.02978242, -0.11690716, -0.33811592, -0.35136762, -1.69751893,
        1.23785443])]"
31499,movel_fit,"[array([945.09314959, 131.53980211, 165.04343108])]","[array([-0.02116099, -0.07510136, -0.31177018, -0.35659054, -1.7315649 ,
        1.23175642])]"
31999,movel_fit,"[array([947.3957508 , 141.46386661, 163.44812135])]","[array([-0.01319037, -0.03676366, -0.2882113 , -0.36334176, -1.76324807,
        1.23331612])]"
32499,movel_fit,"[array([949.30608355, 151.51119242, 161.9935677 ])]","[array([-0.00568162, -0.00226231, -0.2674948 , -0.37148338, -1.79290303,
        1.24305687])]"
32999,movel_fit,"[array([950.83380931, 161.69131842, 160.72819572])]","[array([ 1.47361079e-03,  2.85153951e-02, -2.49449148e-01, -3.80809364e-01,
       -1.82060165e+00,  1.26154498e+00])]"
33499,movel_fit,"[array([952.20207987, 171.91541615, 159.51307182])]","[array([ 0.00844031,  0.05549389, -0.23398769, -0.39072402, -1.84579963,
        1.28935414])]"
33999,movel_fit,"[array([953.05647508, 182.27579956, 158.66593182])]","[array([ 0.01546957,  0.07825146, -0.22115998, -0.40081841, -1.86869331,
        1.3260858 ])]"
34499,movel_fit,"[array([953.55672354, 192.69433432, 158.06078929])]","[array([ 0.02270192,  0.09664306, -0.21091255, -0.41041551, -1.88865217,
        1.37104182])]"
34999,movel_fit,"[array([953.57797993, 203.16398529, 157.87573722])]","[array([ 0.0303326 ,  0.11005039, -0.20336617, -0.4188478 , -1.90510979,
        1.42245477])]"
35499,movel_fit,"[array([953.11515022, 213.61111721, 158.09727296])]","[array([ 0.03845705,  0.11785631, -0.1987453 , -0.42546129, -1.91711718,
        1.47811613])]"
35999,movel_fit,"[array([952.04319329, 224.00346551, 158.8399456 ])]","[array([ 0.04712993,  0.11912994, -0.19747861, -0.42981833, -1.92361946,
        1.53523938])]"
36499,movel_fit,"[array([950.73979408, 234.35242475, 159.63851345])]","[array([ 0.05632722,  0.11366012, -0.19982091, -0.43171079, -1.92312539,
        1.59130885])]"
36999,movel_fit,"[array([949.03530961, 244.56975735, 160.95359975])]","[array([ 0.06601524,  0.1004138 , -0.20616809, -0.43110483, -1.91503346,
        1.64401004])]"
37499,movel_fit,"[array([946.55467257, 254.51037624, 162.64968138])]","[array([ 0.07600244,  0.07880106, -0.21744168, -0.42836504, -1.89902679,
        1.69185347])]"
37999,movel_fit,"[array([943.67183849, 264.26281317, 164.52136508])]","[array([ 0.08639327,  0.04878445, -0.23383422, -0.42372537, -1.87443294,
        1.73416293])]"
38499,movel_fit,"[array([940.58769462, 273.91491762, 166.40992435])]","[array([ 0.0973207 ,  0.01035083, -0.25569292, -0.41752197, -1.84097309,
        1.77079237])]"
38999,movel_fit,"[array([937.16589014, 283.44067449, 168.07491499])]","[array([ 0.10895064, -0.03639593, -0.28357214, -0.41001006, -1.79894882,
        1.80185044])]"
39499,movel_fit,"[array([933.58156026, 292.9211307 , 169.50649529])]","[array([ 0.12147246, -0.09078101, -0.31731478, -0.40158082, -1.74904572,
        1.82747685])]"
39999,movel_fit,"[array([929.66846078, 302.27413414, 170.68355716])]","[array([ 0.13509709, -0.1517157 , -0.35652777, -0.39236721, -1.69281236,
        1.84751905])]"
40499,movel_fit,"[array([925.71506188, 311.63001303, 171.48466927])]","[array([ 0.14999671, -0.21746888, -0.40024126, -0.38267082, -1.63157361,
        1.86173349])]"
40999,movel_fit,"[array([921.65292032, 320.93262268, 172.02215399])]","[array([ 0.16621167, -0.28608637, -0.44708729, -0.37260477, -1.56750584,
        1.8693118 ])]"
41499,movel_fit,"[array([917.49958552, 330.1762323 , 172.22558663])]","[array([ 0.1836816 , -0.35536417, -0.49552922, -0.36227122, -1.502605  ,
        1.86908586])]"
41999,movel_fit,"[array([913.42177576, 339.46006813, 171.94451645])]","[array([ 0.20226724, -0.42335281, -0.54420365, -0.35183916, -1.4381646 ,
        1.85964049])]"
42499,movel_fit,"[array([909.6240342 , 348.82814496, 171.58650797])]","[array([ 0.22155615, -0.48847903, -0.59153149, -0.34166038, -1.37540322,
        1.83934604])]"
42999,movel_fit,"[array([905.96816707, 358.24619393, 170.91084044])]","[array([ 0.24126976, -0.54955379, -0.63672768, -0.3317712 , -1.31511318,
        1.8059913 ])]"
43499,movel_fit,"[array([902.71038763, 367.73837886, 170.04096474])]","[array([ 0.26106012, -0.6057771 , -0.67902694, -0.32224908, -1.25727026,
        1.75744101])]"
43999,movel_fit,"[array([899.87461377, 377.38744758, 169.30556093])]","[array([ 0.28086697, -0.65664966, -0.71769905, -0.31276403, -1.20194115,
        1.69124226])]"
44499,movel_fit,"[array([897.68590806, 387.17627965, 168.69503397])]","[array([ 0.30077535, -0.70122745, -0.7520181 , -0.3023008 , -1.14905696,
        1.60559304])]"
44999,movel_fit,"[array([896.1760008 , 397.07797414, 168.26472418])]","[array([ 0.32109701, -0.73805639, -0.78076857, -0.28916914, -1.09957634,
        1.50024972])]"
45499,movel_fit,"[array([895.55958757, 407.08558295, 168.16664315])]","[array([ 0.34187972, -0.76428361, -0.80166047, -0.27181763, -1.05588374,
        1.37856307])]"
