breakpoints,primitives,p_bp,q_bp
34999,moveabsj,"[array([-173.40926894,  508.00720851,  971.16043431])]","[array([ 0.99640326,  1.37543126, -2.47700559,  0.97630831,  0.73438153,
       -1.96174232])]"
35999,moveabsj,"[array([-178.96819055,  501.13480177,  975.62534464])]","[array([ 1.00240245,  1.3722345 , -2.48496765,  0.97877867,  0.72392175,
       -1.95673909])]"
36999,moveabsj,"[array([-184.79127234,  489.2057177 ,  985.13723071])]","[array([ 1.00392216,  1.36560561, -2.50108373,  0.98576769,  0.69471191,
       -1.94888939])]"
37999,moveabsj,"[array([-191.10645305,  471.69684458,  998.63499526])]","[array([ 1.00094228,  1.3566969 , -2.52698432,  0.99597533,  0.64635741,
       -1.93779947])]"
38999,moveabsj,"[array([-198.22192113,  448.50471294, 1014.64630584])]","[array([ 0.99364291,  1.34550426, -2.56185333,  1.00779326,  0.57962442,
       -1.92439919])]"
39999,moveabsj,"[array([-206.7233609 ,  420.8547107 , 1030.78465007])]","[array([ 0.98339673,  1.3320565 , -2.60295674,  1.01876444,  0.49820939,
       -1.91091256])]"
40999,moveabsj,"[array([-216.81856289,  391.23826007, 1044.59889812])]","[array([ 0.97215964,  1.31640889, -2.64541379,  1.0274183 ,  0.41081944,
       -1.90024449])]"
41999,moveabsj,"[array([-228.15550316,  362.99788899, 1054.37233738])]","[array([ 0.96269312,  1.3000681 , -2.68462183,  1.03317983,  0.32893647,
       -1.89403853])]"
42999,moveabsj,"[array([-239.44705   ,  338.83783414, 1060.41197082])]","[array([ 0.95651365,  1.28397975, -2.71590327,  1.03796643,  0.26206344,
       -1.89309762])]"
43999,moveabsj,"[array([-249.69128129,  320.57998357, 1062.73066754])]","[array([ 0.95494256,  1.27187981, -2.7403957 ,  1.03829752,  0.21606106,
       -1.89250202])]"
44999,moveabsj,"[array([-257.61412845,  309.89968707, 1063.19378711])]","[array([ 0.95841286,  1.26303228, -2.75334098,  1.03856913,  0.19331383,
       -1.89551476])]"
45999,moveabsj,"[array([-262.1438556 ,  307.26640068, 1061.84501521])]","[array([ 0.96542022,  1.25985033, -2.75631073,  1.03334865,  0.19737945,
       -1.89436495])]"
46999,moveabsj,"[array([-262.9326459 ,  314.58542464, 1058.03083059])]","[array([ 0.97699798,  1.26410985, -2.74818126,  1.02854406,  0.22874842,
       -1.89674671])]"
47999,moveabsj,"[array([-260.75637793,  331.11066817, 1052.57294508])]","[array([ 0.99220295,  1.27101914, -2.72507114,  1.02333304,  0.28722099,
       -1.90295476])]"
48999,moveabsj,"[array([-256.87420447,  355.2714472 , 1042.52371011])]","[array([ 1.0099987 ,  1.28230286, -2.69313473,  1.01166131,  0.37179417,
       -1.90901713])]"
49999,moveabsj,"[array([-259.14879889,  454.54460095,  963.17339035])]","[array([ 1.1164094 ,  1.34198186, -2.54892957,  0.91400431,  0.77934882,
       -1.94227365])]"
