t,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,
0,1.55574,1.38673,1.17574,0.824445,-2.83773,-0.0283443,
0.247312,1.5717,1.35548,1.1744,0.832031,-2.86223,-0.00698213,
0.352391,1.58589,1.32345,1.1719,0.847393,-2.8878,0.0237888,
0.441432,1.59823,1.29078,1.16825,0.862087,-2.91423,0.0558485,
0.52164,1.60869,1.25759,1.16348,0.874947,-2.94079,0.0880405,
0.604184,1.61726,1.22404,1.15765,0.886355,-2.967,0.120668,
0.6801,1.62399,1.19025,1.15084,0.896372,-2.99246,0.153663,
0.751036,1.62895,1.15635,1.14313,0.904785,-3.0167,0.186608,
0.816953,1.63223,1.12244,1.13463,0.91152,-3.03939,0.219186,
0.885116,1.63398,1.08859,1.12544,0.916822,-3.06041,0.251402,
0.958968,1.63432,1.05486,1.11565,0.921143,-3.07982,0.283499,
1.0269,1.63339,1.02129,1.10537,0.924935,-3.09776,0.315752,
1.08798,1.63133,0.987906,1.09468,0.928519,-3.11437,0.348304,
1.14366,1.62829,0.954699,1.08367,0.93206,-3.12972,0.381137,
1.19639,1.62438,0.921665,1.07241,0.935627,3.13935,0.414119,
1.25062,1.61973,0.888787,1.06097,0.939256,3.12644,0.447075,
1.30558,1.61446,0.856041,1.04942,0.942972,3.11475,0.47982,
1.36263,1.60869,0.823399,1.03782,0.94679,3.10428,0.512152,
1.41971,1.60252,0.790828,1.02622,0.950702,3.09508,0.543841,
1.47872,1.59605,0.758294,1.01469,0.954684,3.0872,0.574637,
1.53735,1.58938,0.72576,1.00328,0.95872,3.08071,0.604306,
1.59929,1.58262,0.693188,0.992041,0.962822,3.07568,0.632652,
1.6674,1.57587,0.660537,0.981033,0.967026,3.07215,0.659525,
1.74031,1.56922,0.627767,0.970316,0.971366,3.07018,0.684782,
1.80413,1.56279,0.594841,0.959954,0.975834,3.06985,0.708248,
1.86111,1.55668,0.561723,0.950014,0.980354,3.0713,0.729691,
1.91752,1.55102,0.528383,0.940572,0.984796,3.07474,0.748838,
1.97553,1.54593,0.494794,0.931711,0.989,3.0804,0.76542,
2.03474,1.54154,0.46094,0.92352,0.992808,3.0885,0.779211,
2.09555,1.53801,0.426812,0.916099,0.996046,3.09925,0.790029,
2.15817,1.53549,0.392417,0.909553,0.998494,3.11285,0.797705,
2.22253,1.53413,0.357784,0.903998,0.999848,3.12951,0.802054,
2.28992,1.53411,0.322966,0.899551,0.999728,-3.13371,0.802882,
2.35736,1.53559,0.288046,0.896332,0.997717,-3.11018,0.80002,
2.42676,1.53871,0.253143,0.894451,0.993407,-3.08287,0.793377,
2.49734,1.54359,0.218399,0.894004,0.986427,-3.05164,0.78296,
2.5687,1.55034,0.183982,0.895057,0.976451,-3.01639,0.768891,
2.64043,1.55897,0.150071,0.897646,0.963212,-2.97715,0.751403,
2.71205,1.5695,0.116841,0.901765,0.946464,-2.93403,0.730816,
2.78316,1.58185,0.0844602,0.907373,0.925885,-2.88724,0.707446,
2.85331,1.59592,0.0530681,0.914393,0.90096,-2.83712,0.68151,
2.9221,1.61157,0.0227692,0.922723,0.871067,-2.78427,0.653153,
2.98921,1.62866,-0.00637682,0.932245,0.835721,-2.7298,0.622563,
3.05645,1.64703,-0.0343521,0.942836,0.794556,-2.67516,0.589868,
3.12989,1.66652,-0.0611675,0.954376,0.746658,-2.62174,0.554655,
3.21276,1.687,-0.0868503,0.966757,0.690457,-2.57101,0.515949,
3.30727,1.70834,-0.111442,0.979874,0.625261,-2.52507,0.47321,
3.41378,1.73043,-0.134996,0.993632,0.551374,-2.48598,0.42645,
3.55055,1.75316,-0.157571,1.00795,0.469529,-2.45537,0.37599,
4.20076,1.77647,-0.17923,1.02277,0.38613,-2.43458,0.325858,
