breakpoints,primitives,p_bp,q_bp
36103,movel_fit,"[array([1028.11946766, -370.52964354,  652.7307264 ])]","[array([-0.54932707, -0.43917336, -0.17721632, -0.45513496, -1.31738047,
        0.81889102])]"
36791,movel_fit,"[array([1040.3012621 , -391.20659224,  655.42323792])]","[array([-0.58195157, -0.40078858, -0.15049419, -0.49544872, -1.33321483,
        0.79140211])]"
37479,movel_fit,"[array([1053.24895342, -411.51132515,  657.27880926])]","[array([-0.61188164, -0.35962913, -0.12190634, -0.53427358, -1.3516131 ,
        0.7640371 ])]"
38167,movel_fit,"[array([1066.93031484, -431.39570619,  658.28810244])]","[array([-0.63926174, -0.31630406, -0.09197908, -0.57196455, -1.37190765,
        0.73706056])]"
38861,movel_fit,"[array([1081.42865024, -450.9855667 ,  658.45459928])]","[array([-0.66452041, -0.27105847, -0.06105709, -0.60933205, -1.3935907 ,
        0.71041377])]"
39565,movel_fit,"[array([1096.80179104, -470.33813649,  657.76123524])]","[array([-0.68797991, -0.22420922, -0.02960443, -0.64714074, -1.41614356,
        0.68408238])]"
40281,movel_fit,"[array([1113.0651662 , -489.45236584,  656.19011941])]","[array([-0.7098405 , -0.17616406,  0.00181991, -0.68600216, -1.43902364,
        0.65809729])]"
41012,movel_fit,"[array([1130.2577725 , -508.35351655,  653.72028157])]","[array([-0.73021765, -0.12717264,  0.03280502, -0.72636645, -1.46180888,
        0.63246901])]"
41762,movel_fit,"[array([1148.44626109, -527.09026273,  650.3221687 ])]","[array([-0.74909969, -0.07731144,  0.06316552, -0.7684129 , -1.48420688,
        0.60722457])]"
42534,movel_fit,"[array([1167.67870469, -545.68277407,  645.96349165])]","[array([-0.76636187, -0.02666196,  0.09281667, -0.81205021, -1.50594933,
        0.58245837])]"
43332,movel_fit,"[array([1188.03183407, -564.17246175,  640.60134151])]","[array([-0.78198806,  0.02469167,  0.12158147, -0.85744687, -1.52672833,
        0.55816069])]"
44158,movel_fit,"[array([1209.53511362, -582.54793039,  634.19959072])]","[array([-0.79611445,  0.07633845,  0.14874028, -0.90524082, -1.5459942 ,
        0.53422685])]"
45015,movel_fit,"[array([1232.24213394, -600.81799633,  626.71533272])]","[array([-0.80890485,  0.12779827,  0.17331284, -0.95629399, -1.56310104,
        0.51045885])]"
45907,movel_fit,"[array([1256.23224484, -619.00865403,  618.09435698])]","[array([-0.82020522,  0.17882052,  0.19489247, -1.01060999, -1.5775991 ,
        0.48685352])]"
46838,movel_fit,"[array([1281.58598743, -637.14406798,  608.27858546])]","[array([-0.82969419,  0.22946398,  0.21377715, -1.0675495 , -1.58939274,
        0.4635117 ])]"
47807,movel_fit,"[array([1308.25344551, -655.14925517,  597.25768067])]","[array([-0.83731204,  0.27945172,  0.22960158, -1.127257  , -1.59835498,
        0.44027832])]"
48829,movel_fit,"[array([1336.62915089, -673.24263999,  584.83495814])]","[array([-0.84236571,  0.33003453,  0.24517638, -1.18723257, -1.60500117,
        0.41780415])]"
49897,movel_fit,"[array([1366.49028588, -691.22648874,  571.06991752])]","[array([-0.84526725,  0.38037052,  0.25893694, -1.2490911 , -1.60901824,
        0.39544296])]"
49999,movel_fit,"[array([1369.36875685, -692.78601583,  569.62767313])]","[array([-0.84467309,  0.38433617,  0.26219707, -1.24997156, -1.60792589,
        0.39549409])]"
