breakpoints,primitives,points,q_bp
0,movej_fit,"[array([ 570.21299961, -753.58662024, -329.60228642])]","[array([ 0.20776174,  2.12181727, -0.2809897 , -2.30135214, -0.89419388,
        4.26665927])]"
500,movel_fit,"[array([ 583.97171297, -748.31150662, -323.16209368])]","[array([ 0.21396705,  2.11641998, -0.27414311, -2.30778634, -0.89753239,
        4.27534055])]"
1000,movel_fit,"[array([ 596.93706905, -741.73294803, -318.30849278])]","[array([ 0.22159268,  2.11325869, -0.2705972 , -2.31194497, -0.89705062,
        4.28273526])]"
1500,movel_fit,"[array([ 609.83995433, -734.17155979, -314.43331831])]","[array([ 0.2299228 ,  2.11092398, -0.26853906, -2.31459388, -0.89485389,
        4.28948771])]"
2000,movel_fit,"[array([ 622.94112525, -725.89092484, -311.10524366])]","[array([ 0.23854472,  2.10869556, -0.26698803, -2.3162834 , -0.89211654,
        4.2959588 ])]"
2500,movel_fit,"[array([ 636.2472803 , -717.09607175, -308.05515596])]","[array([ 0.24723404,  2.10627314, -0.26548611, -2.31737564, -0.88941323,
        4.30231552])]"
3000,movel_fit,"[array([ 649.67450498, -707.91729423, -305.14910439])]","[array([ 0.25589082,  2.10358464, -0.2638851 , -2.31806457, -0.88695076,
        4.30860874])]"
3500,movel_fit,"[array([ 663.1298328 , -698.4216945 , -302.34284414])]","[array([ 0.26448555,  2.10065831, -0.26219095, -2.31842677, -0.88474591,
        4.31483273])]"
4000,movel_fit,"[array([ 676.53703691, -688.6411498 , -299.63431756])]","[array([ 0.27301722,  2.09754882, -0.26046091, -2.31848181, -0.88274787,
        4.32096389])]"
4500,movel_fit,"[array([ 689.83414364, -678.60162205, -297.02782535])]","[array([ 0.28148618,  2.09430342, -0.25874708, -2.31824099, -0.88090887,
        4.32698068])]"
5000,movel_fit,"[array([ 702.96247194, -668.34441699, -294.51454863])]","[array([ 0.2898806 ,  2.09095279, -0.25707415, -2.31773558, -0.87921437,
        4.33287014])]"
5500,movel_fit,"[array([ 715.85817641, -657.93576139, -292.0677948 ])]","[array([ 0.29817342,  2.08751435, -0.2554386 , -2.31702514, -0.87768645,
        4.33862678])]"
6000,movel_fit,"[array([ 728.45044235, -647.46502145, -289.64845647])]","[array([ 0.30632624,  2.08399948, -0.25381884, -2.31619086, -0.87637208,
        4.34424841])]"
6500,movel_fit,"[array([ 740.6659861 , -637.03444398, -287.21542213])]","[array([ 0.31429673,  2.08042015, -0.25218868, -2.31532069, -0.87532565,
        4.34973197])]"
7000,movel_fit,"[array([ 752.43712683, -626.74471638, -284.73622936])]","[array([ 0.32204674,  2.07679263, -0.25052903, -2.31449284, -0.87459246,
        4.35507095])]"
7500,movel_fit,"[array([ 763.71011828, -616.68083418, -282.19465384])]","[array([ 0.32954874,  2.0731382 , -0.2488353 , -2.31376267, -0.87419708,
        4.36025488])]"
8000,movel_fit,"[array([ 774.45113706, -606.90180751, -279.59371369])]","[array([ 0.33678947,  2.06948147, -0.24711983, -2.31315579, -0.87413815,
        4.36527042])]"
8500,movel_fit,"[array([ 784.64862303, -597.43606555, -276.95421286])]","[array([ 0.3437705 ,  2.06584763, -0.24541004, -2.31266773, -0.87438919,
        4.37010329])]"
9000,movel_fit,"[array([ 794.31193449, -588.28265332, -274.31005761])]","[array([ 0.3505062 ,  2.06225949, -0.24374388, -2.31226903, -0.87490384,
        4.37474023])]"
9500,movel_fit,"[array([ 803.46716312, -579.41696492, -271.70203043])]","[array([ 0.35701989,  2.05873533, -0.24216414, -2.31191354, -0.87562345,
        4.37917066])]"
10000,movel_fit,"[array([ 812.15137518, -570.79904879, -269.17160609])]","[array([ 0.36333955,  2.05528763, -0.24071301, -2.31154771, -0.87648512,
        4.38338747])]"
10500,movel_fit,"[array([ 820.40658251, -562.38242594, -266.75596341])]","[array([ 0.3694936 ,  2.05192299, -0.23942779, -2.31111901, -0.87742872,
        4.38738736])]"
11000,movel_fit,"[array([ 828.27452155, -554.12171705, -264.48479916])]","[array([ 0.37550772,  2.04864278, -0.23833824, -2.31058215, -0.87840191,
        4.39117042])]"
11500,movel_fit,"[array([ 835.7929404 , -545.97798232, -262.37903905])]","[array([ 0.38140292,  2.04544432, -0.23746566, -2.30990263, -0.8793628 ,
        4.39473954])]"
12000,movel_fit,"[array([ 842.9936574 , -537.92136365, -260.45115378])]","[array([ 0.38719491,  2.04232222, -0.23682333, -2.30905765, -0.88028033,
        4.39809955])]"
12500,movel_fit,"[array([ 849.90224896, -529.9312412 , -258.70656144])]","[array([ 0.39289449,  2.0392696 , -0.23641801, -2.30803497, -0.88113287,
        4.40125652])]"
13000,movel_fit,"[array([ 856.53892367, -521.99457391, -257.14553173])]","[array([ 0.39850875,  2.03627899, -0.23625187, -2.30683044, -0.88190575,
        4.40421718])]"
13500,movel_fit,"[array([ 862.91999332, -514.10332701, -255.76507374])]","[array([ 0.40404247,  2.03334293, -0.23632455, -2.30544522, -0.88258845,
        4.40698852])]"
14000,movel_fit,"[array([ 869.05936522, -506.2518916 , -254.56044341])]","[array([ 0.40949945,  2.03045425, -0.23663465, -2.30388328, -0.88317211,
        4.40957763])]"
14500,movel_fit,"[array([ 874.96962319, -498.43520777, -253.5260962 ])]","[array([ 0.41488341,  2.02760621, -0.2371809 , -2.30214977, -0.88364783,
        4.41199165])]"
15000,movel_fit,"[array([ 880.66247868, -490.64798732, -252.65608728])]","[array([ 0.42019838,  2.02479251, -0.23796248, -2.30025035, -0.88400597,
        4.41423774])]"
15500,movel_fit,"[array([ 886.14859786, -482.8850772 , -251.94405334])]","[array([ 0.42544859,  2.02200731, -0.23897897, -2.2981914 , -0.88423632,
        4.41632301])]"
16000,movel_fit,"[array([ 891.43699193, -475.14269022, -251.38297827])]","[array([ 0.43063792,  2.01924536, -0.24022985, -2.29598083, -0.88432898,
        4.41825435])]"
16500,movel_fit,"[array([ 896.53426613, -467.42001336, -250.96495098])]","[array([ 0.43576926,  2.01650212, -0.24171393, -2.29362892, -0.88427552,
        4.42003827])]"
17000,movel_fit,"[array([ 901.4440419 , -459.72062177, -250.68107849])]","[array([ 0.44084397,  2.01377392, -0.24342891, -2.29114904, -0.88406992,
        4.42168052])]"
17500,movel_fit,"[array([ 906.16680365, -452.053185  , -250.52163984])]","[array([ 0.44586161,  2.01105811, -0.24537123, -2.28855769, -0.88370909,
        4.42318597])]"
18000,movel_fit,"[array([ 910.70029636, -444.43113429, -250.47648069])]","[array([ 0.45082012,  2.00835308, -0.24753628, -2.28587399, -0.88319257,
        4.42455834])]"
18500,movel_fit,"[array([ 915.04044641, -436.87122245, -250.53557272])]","[array([ 0.4557165 ,  2.00565822, -0.24991907, -2.28311844, -0.88252144,
        4.42580034])]"
19000,movel_fit,"[array([ 919.18263464, -429.39119236, -250.68961575])]","[array([ 0.46054781,  2.0029737 , -0.2525151 , -2.28031147, -0.88169658,
        4.42691372])]"
19500,movel_fit,"[array([ 923.12305159, -422.00701123, -250.93054895])]","[array([ 0.46531237,  2.00030024, -0.25532136, -2.27747181, -0.88071664,
        4.42789971])]"
20000,movel_fit,"[array([ 926.85983237, -414.73026972, -251.25186209])]","[array([ 0.47001093,  1.99763885, -0.25833726, -2.27461525, -0.87957609,
        4.42875933])]"
20500,movel_fit,"[array([ 930.39370497, -407.56635897, -251.64864802])]","[array([ 0.47464743,  1.99499058, -0.26156516, -2.27175409, -0.87826377,
        4.42949376])]"
21000,movel_fit,"[array([ 933.72797938, -400.51392111, -252.11739933])]","[array([ 0.47922932,  1.99235646, -0.26501051, -2.26889722, -0.87676239,
        4.43010455])]"
21500,movel_fit,"[array([ 936.86783197, -393.56584721, -252.65561004])]","[array([ 0.48376714,  1.98973756, -0.2686814 , -2.26605107, -0.87504928,
        4.43059361])]"
22000,movel_fit,"[array([ 939.81897686, -386.7118115 , -253.26128345])]","[array([ 0.48827354,  1.98713525, -0.27258764, -2.26322118, -0.87309821,
        4.43096287])]"
22500,movel_fit,"[array([ 942.5859412 , -379.94203067, -253.93246214])]","[array([ 0.49276162,  1.98455156, -0.27673937, -2.26041404, -0.87088231,
        4.4312137 ])]"
23000,movel_fit,"[array([ 945.17025426, -373.25166964, -254.66688282])]","[array([ 0.49724306,  1.98198968, -0.28114551, -2.25763892, -0.86837771,
        4.43134613])]"
23500,movel_fit,"[array([ 947.56890397, -366.64512829, -255.46182214])]","[array([ 0.50172612,  1.97945433, -0.28581231, -2.2549093 , -0.86556711,
        4.43135803])]"
24000,movel_fit,"[array([ 949.77339154, -360.13938081, -256.31414903])]","[array([ 0.50621406,  1.9769521 , -0.29074215, -2.2522435 , -0.86244294,
        4.43124431])]"
24500,movel_fit,"[array([ 951.76961873, -353.76563569, -257.22054801])]","[array([ 0.51070417,  1.9744915 , -0.29593296, -2.24966444, -0.85900921,
        4.43099644])]"
25000,movel_fit,"[array([ 953.53868135, -347.56885048, -258.17783917])]","[array([ 0.51518773,  1.97208281, -0.3013784 , -2.24719845, -0.85528171,
        4.43060241])]"
25500,movel_fit,"[array([ 955.05844903, -341.60503936, -259.1833033 ])]","[array([ 0.51965091,  1.96973759, -0.3070687 , -2.2448734 , -0.85128644,
        4.4300471 ])]"
26000,movel_fit,"[array([ 956.30563393, -335.93677672, -260.23492783])]","[array([ 0.52407655,  1.96746815, -0.31299223, -2.24271648, -0.84705633,
        4.42931309])]"
26500,movel_fit,"[array([ 957.2579419 , -330.62771063, -261.3315138 ])]","[array([ 0.52844649,  1.96528686, -0.31913729, -2.24075196, -0.84262695,
        4.42838176])]"
27000,movel_fit,"[array([ 957.89588994, -325.73714695, -262.47261939])]","[array([ 0.53274394,  1.96320561, -0.32549398, -2.23899962, -0.83803197,
        4.42723451])]"
