breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([-495.85687636,  -61.97003017,  139.43690747])]","[array([-1.73494772,  0.03738611, -0.63808413, -2.3007039 ,  1.03643794,
        1.17726244])]"
999,movel,"[array([-496.52000539,  -46.14105602,  141.81355251])]","[array([-1.73646922,  0.04314923, -0.63299624, -2.30403565,  1.03401068,
        1.16937802])]"
1999,movel,"[array([-497.39241341,  -28.94616922,  144.62294305])]","[array([-1.73221799,  0.05170187, -0.62378734, -2.30406956,  1.0255928 ,
        1.16217493])]"
2999,movel,"[array([-499.60983266,  -10.91248082,  149.06438561])]","[array([-1.72769564,  0.06001041, -0.61434161, -2.30539201,  1.01635208,
        1.1546905 ])]"
3999,movel,"[array([-503.03548515,    7.27738085,  155.03952402])]","[array([-1.7233119 ,  0.06788037, -0.60528684, -2.30850179,  1.00731805,
        1.14699017])]"
4999,movel,"[array([-507.42595085,   25.1866981 ,  162.32715249])]","[array([-1.71856507,  0.07558951, -0.59649866, -2.31303697,  0.99846459,
        1.13925015])]"
5999,movel,"[array([-512.55862621,   42.36196917,  170.6954473 ])]","[array([-1.71318823,  0.08327745, -0.58801559, -2.3187784 ,  0.98998107,
        1.13160646])]"
6999,movel,"[array([-518.17421949,   58.26101003,  179.82224297])]","[array([-1.70708654,  0.09098045, -0.58005611, -2.32562992,  0.98231478,
        1.12419225])]"
7999,movel,"[array([-524.01595687,   72.4122975 ,  189.33987255])]","[array([-1.70013616,  0.0987406 , -0.5727837 , -2.3334165 ,  0.97581227,
        1.11714195])]"
8999,movel,"[array([-529.9111788 ,   84.56880183,  198.95280321])]","[array([-1.69215323,  0.10663325, -0.56617237, -2.34182474,  0.97049512,
        1.11056013])]"
9999,movel,"[array([-535.79866606,   94.71690529,  208.50119648])]","[array([-1.68297031,  0.11473677, -0.56004255, -2.35047973,  0.96610513,
        1.10450149])]"
10999,movel,"[array([-541.68967025,  102.97182077,  217.93226805])]","[array([-1.67250211,  0.1230984 , -0.55417837, -2.35904676,  0.96229221,
        1.09897915])]"
11999,movel,"[array([-547.60994646,  109.46085968,  227.22839684])]","[array([-1.66075477,  0.13172219, -0.54842289, -2.36728345,  0.95877602,
        1.09398818])]"
12999,movel,"[array([-553.56556589,  114.26491181,  236.35472316])]","[array([-1.64779529,  0.14057756, -0.54270511, -2.37503464,  0.95539863,
        1.08952542])]"
13999,movel,"[array([-559.54167029,  117.42295427,  245.25086663])]","[array([-1.63371405,  0.14961554, -0.53701318, -2.38219977,  0.95208632,
        1.08559679])]"
14999,movel,"[array([-565.51684915,  118.96064214,  253.84895911])]","[array([-1.6186008 ,  0.15878157, -0.53135521, -2.38870352,  0.94878843,
        1.08221569])]"
15999,movel,"[array([-571.47165393,  118.90460721,  262.08617998])]","[array([-1.60253606,  0.16802018, -0.52573992, -2.39448256,  0.94544766,
        1.07940065])]"
16999,movel,"[array([-577.3833138 ,  117.27344481,  269.8967377 ])]","[array([-1.58559074,  0.17727334, -0.52018226, -2.39948458,  0.94201033,
        1.07717708])]"
17999,movel,"[array([-583.2148819 ,  114.06276444,  277.19439597])]","[array([-1.56782631,  0.18647729, -0.51471637, -2.40366881,  0.93844732,
        1.07558128])]"
18999,movel,"[array([-588.91281659,  109.24528779,  283.86838831])]","[array([-1.54929292,  0.19556193, -0.50939492, -2.40700143,  0.93475207,
        1.07466186])]"
19999,movel,"[array([-594.41915806,  102.78997557,  289.80399631])]","[array([-1.53002649,  0.20445368, -0.50426813, -2.40944575,  0.93090613,
        1.07447573])]"
20999,movel,"[array([-599.69020146,   94.68424195,  294.91494669])]","[array([-1.51004667,  0.21307905, -0.49935591, -2.41095245,  0.92683502,
        1.07508133])]"
21999,movel,"[array([-604.70484126,   84.93804424,  299.15938898])]","[array([-1.48935721,  0.22136457, -0.4946359 , -2.41145551,  0.92239015,
        1.0765349 ])]"
22999,movel,"[array([-609.44984772,   73.56144212,  302.51850943])]","[array([-1.46794869,  0.2292305 , -0.49006222, -2.41087633,  0.91737827,
        1.0788946 ])]"
23999,movel,"[array([-613.88397668,   60.52763071,  304.94294798])]","[array([-1.44580328,  0.23657976, -0.48560978, -2.40913422,  0.91162788,
        1.08223148])]"
24999,movel,"[array([-617.89898591,   45.747085  ,  306.29971519])]","[array([-1.4229002 ,  0.24328752, -0.48131813, -2.40615714,  0.90505243,
        1.08664039])]"
25999,movel,"[array([-621.30181427,   29.07428381,  306.36010461])]","[array([-1.39921997,  0.24919748, -0.4773037 , -2.40188538,  0.89766459,
        1.09224188])]"
26999,movel,"[array([-623.82989263,   10.34602504,  304.84473952])]","[array([-1.37474498,  0.25412701, -0.47372683, -2.39626375,  0.88952502,
        1.09917124])]"
27999,movel,"[array([-625.18582755,  -10.57341594,  301.49846143])]","[array([-1.34945681,  0.25787668, -0.47073429, -2.38922638,  0.88065908,
        1.10756008])]"
28999,movel,"[array([-625.05960329,  -33.76750712,  296.14272064])]","[array([-1.32333433,  0.26023673, -0.46842003, -2.38068641,  0.87100547,
        1.1175205 ])]"
29999,movel,"[array([-623.11483677,  -59.26890374,  288.67351976])]","[array([-1.29636001,  0.2609875 , -0.46683623, -2.370544  ,  0.86044255,
        1.129138  ])]"
30999,movel,"[array([-618.94811816,  -87.06756621,  279.02532296])]","[array([-1.26853837,  0.2599003 , -0.46604645, -2.35871731,  0.84888065,
        1.14246851])]"
31999,movel,"[array([-612.06443416, -117.09763886,  267.16112328])]","[array([-1.23992146,  0.25675102, -0.46617152, -2.34518321,  0.83634992,
        1.15752822])]"
