,breakpoints,primitives,J1,J2,J3,J4,J5,J6
0,0,movej_fit,-0.9538648506743357,-0.08226307716579793,-0.2989256849338311,-0.36935780056941403,-1.3604009779715363,2.931825367929354
1,1633,movel_fit,-0.9555849723679497,-0.10143257650335955,-0.3428995642310877,-0.418957156296535,-1.3829858725031936,2.8700342197490114
2,3258,movel_fit,-0.943746181499824,-0.11341833599604277,-0.3734111234934927,-0.45188142799520015,-1.4119604102144736,2.778017196147147
3,4914,movel_fit,-0.9347340033996137,-0.12758938567984698,-0.4068537712478675,-0.4970060495791585,-1.4388105961965478,2.699798809167956
4,6641,movel_fit,-0.9184572244436264,-0.14105867723338048,-0.4364489685629491,-0.5395743050020787,-1.4656940442044188,2.6144641383232345
5,8491,movel_fit,-0.8974582964187752,-0.1583946298051407,-0.46762042590154085,-0.5863734866829673,-1.4889934137492935,2.5331899201847383
6,10532,movel_fit,-0.8667800569885893,-0.17993468988695102,-0.4982426920017953,-0.6338210618060858,-1.5081921563990568,2.4493315562711566
7,12873,movel_fit,-0.8200630867813992,-0.20349353736961923,-0.5236978366161682,-0.6789423332947392,-1.5244418246629965,2.3558693031674
8,15755,movel_fit,-0.7460395203001262,-0.22546373350069251,-0.5372127504071782,-0.7194329327723682,-1.5386189906171315,2.241608901794417
9,20155,movel_fit,-0.6056526727681337,-0.239303238953363,-0.5228231454068417,-0.7537985484467186,-1.549671388375033,2.0742854765292615
10,23481,movel_fit,-0.47652257722909397,-0.2310256660565003,-0.48126743216739154,-0.7477149801368962,-1.5529052065136875,1.9561165464855106
11,26381,movel_fit,-0.35164604877783834,-0.20566750361776417,-0.42587157386844554,-0.7220490163675855,-1.558686776699386,1.8542209576830044
12,28693,movel_fit,-0.23944953453672557,-0.17270181370651055,-0.36604907161834976,-0.6785035832581556,-1.5686094487745783,1.7743933314984637
13,30689,movel_fit,-0.13459175685046,-0.1353502416815637,-0.3060626217822999,-0.62581071245068,-1.5825887250759505,1.70564274733424
14,32479,movel_fit,-0.03237517427057668,-0.09216965063388682,-0.2441836646436093,-0.5634704194316864,-1.603826967942115,1.6427047124605167
15,34136,movel_fit,0.06749788522561717,-0.044970332798425695,-0.18349093941217198,-0.4958175015632818,-1.6311196418080487,1.5838526104054387
16,35714,movel_fit,0.1655785557064422,0.006617485259280333,-0.12477578284711033,-0.42517991285261847,-1.664984317580642,1.5275074790251038
17,37255,movel_fit,0.260755796996349,0.06354829306123957,-0.06876972107942514,-0.35555097364690014,-1.7059635883043907,1.4717070570517603
18,38800,movel_fit,0.35182123979202595,0.12765985036178112,-0.01511438077006777,-0.29071529044821787,-1.7551531086030578,1.4140754384753074
19,40387,movel_fit,0.436874225898622,0.20149181981531689,0.037210868278046094,-0.2352318984758537,-1.8140680996212795,1.3512844580871928
20,42056,movel_fit,0.5139269043931818,0.28645735684163326,0.0883606927150451,-0.1938859664051003,-1.8826600647912286,1.2796886718088418
21,43844,movel_fit,0.5816104069238657,0.37934709024310587,0.13494482484004378,-0.1705003077056265,-1.9555246403838122,1.1976530789318025
22,45782,movel_fit,0.6384797720519888,0.4801013097096885,0.1757314370496046,-0.16989736860086355,-2.0308159868852993,1.100679279083344
23,47916,movel_fit,0.6838196325813835,0.5860736126499799,0.20666217790947372,-0.19735566665917448,-2.1030874835903397,0.9838648032749578
24,49999,movel_fit,0.7165940861846596,0.675418075202286,0.21896088715723816,-0.2432253592761024,-2.1523092467856646,0.8685360683536663
