breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([-754.50553149,  480.18745347, -180.33321594])]","[array([-2.54930133,  0.92628482, -0.39808222, -2.81638429,  1.49665242,
        1.80054072])]"
1665,moveabsj,"[array([-737.84598352,  483.590046  , -156.32602793])]","[array([-2.5444745 ,  0.90167105, -0.39795621, -2.80896917,  1.47962177,
        1.77238656])]"
3332,moveabsj,"[array([-714.68596641,  492.16050713, -129.74574848])]","[array([-2.53809354,  0.88055126, -0.39233962, -2.80294752,  1.45628753,
        1.74287082])]"
4999,moveabsj,"[array([-693.99478119,  502.51871856,  -99.34081825])]","[array([-2.53322314,  0.85777688, -0.38793371, -2.80014618,  1.43455287,
        1.71145963])]"
6665,moveabsj,"[array([-675.93094395,  513.04519329,  -67.51568737])]","[array([-2.52868245,  0.83478788, -0.38450235, -2.79968349,  1.41432788,
        1.6801447 ])]"
8332,moveabsj,"[array([-661.75011813,  521.83732143,  -36.52776228])]","[array([-2.52375295,  0.81203953, -0.38274916, -2.8008341 ,  1.39657071,
        1.65063703])]"
9999,moveabsj,"[array([-651.49074712,  528.18398505,   -7.78293663])]","[array([-2.5177193 ,  0.79027661, -0.3824191 , -2.80297364,  1.38103586,
        1.62405588])]"
11665,moveabsj,"[array([-644.1263045 ,  532.67837928,   18.80647239])]","[array([-2.51013943,  0.77022091, -0.38246176, -2.80580579,  1.36640694,
        1.60052101])]"
13332,moveabsj,"[array([-638.96927681,  535.91482204,   43.77763866])]","[array([-2.50090891,  0.75207836, -0.38221787, -2.80923339,  1.3517907 ,
        1.57974774])]"
14999,moveabsj,"[array([-635.89684818,  538.02641886,   67.33832641])]","[array([-2.49006923,  0.73577191, -0.38155201, -2.81314805,  1.33698192,
        1.56158706])]"
16665,moveabsj,"[array([-634.91060961,  538.98074903,   89.55975529])]","[array([-2.47765454,  0.72116562, -0.38045506, -2.81741669,  1.32192668,
        1.5459534 ])]"
18332,moveabsj,"[array([-636.07447526,  538.62643068,  110.43059284])]","[array([-2.46362857,  0.70809624, -0.37896216, -2.82188183,  1.3065909 ,
        1.53281426])]"
19999,moveabsj,"[array([-639.57916299,  536.61155068,  129.67338323])]","[array([-2.44790991,  0.69641337, -0.37720278, -2.82631479,  1.2910746 ,
        1.5223113 ])]"
21665,moveabsj,"[array([-645.55490058,  532.601705  ,  147.06322131])]","[array([-2.43033144,  0.68601045, -0.37520773, -2.83049191,  1.27529451,
        1.51460772])]"
23332,moveabsj,"[array([-654.00547418,  526.41535572,  162.70742172])]","[array([-2.41058251,  0.67684929, -0.3727673 , -2.83427698,  1.25873055,
        1.50978864])]"
24999,moveabsj,"[array([-665.0761692 ,  517.66944185,  176.54785074])]","[array([-2.38826699,  0.66889759, -0.36972231, -2.83750258,  1.24088454,
        1.50810876])]"
26665,moveabsj,"[array([-679.27218708,  505.33931568,  187.78833849])]","[array([-2.36290908,  0.66196975, -0.36632169, -2.83982748,  1.22178516,
        1.51022672])]"
28332,moveabsj,"[array([-697.17901081,  487.93963027,  195.20201534])]","[array([-2.33392704,  0.65575505, -0.36304215, -2.8408336 ,  1.20168405,
        1.51705663])]"
29999,moveabsj,"[array([-718.96540856,  464.06514357,  197.86903246])]","[array([-2.30072177,  0.64999585, -0.36016024, -2.840235  ,  1.18045828,
        1.52941172])]"
31665,moveabsj,"[array([-744.3057608 ,  432.32920168,  195.12946346])]","[array([-2.26275736,  0.64443596, -0.3578592 , -2.83787282,  1.15778968,
        1.54795556])]"
33332,moveabsj,"[array([-772.33993929,  391.14684255,  186.17473815])]","[array([-2.21981388,  0.63863525, -0.3566518 , -2.8336258 ,  1.13388001,
        1.57320965])]"
34999,moveabsj,"[array([-801.20116397,  339.69083335,  170.88580064])]","[array([-2.17237849,  0.63213351, -0.35706905, -2.82761292,  1.10922598,
        1.60494157])]"
36665,moveabsj,"[array([-828.06857873,  279.04100038,  150.79478014])]","[array([-2.12151087,  0.62482233, -0.35894369, -2.82034263,  1.08366255,
        1.64172948])]"
38332,moveabsj,"[array([-849.96621914,  212.29032875,  128.53068302])]","[array([-2.06844434,  0.61707546, -0.36131445, -2.81248722,  1.05617614,
        1.68133686])]"
39999,moveabsj,"[array([-864.47358312,  144.21837826,  106.77084758])]","[array([-2.0142728 ,  0.60978727, -0.36253146, -2.80455203,  1.02497933,
        1.72130025])]"
41665,moveabsj,"[array([-870.45682043,   79.91823674,   87.19443916])]","[array([-1.95996571,  0.60393417, -0.36112456, -2.79671913,  0.98871018,
        1.75950461])]"
43332,moveabsj,"[array([-868.66911967,   23.05392476,   70.4500016 ])]","[array([-1.90689439,  0.59987505, -0.35701439, -2.78914121,  0.94836556,
        1.79429007])]"
44999,moveabsj,"[array([-860.50986025,  -23.27062686,   56.95987759])]","[array([-1.85584755,  0.59827547, -0.34961736, -2.78157177,  0.90409036,
        1.82457978])]"
46665,moveabsj,"[array([-847.93540448,  -56.33433139,   47.2806666 ])]","[array([-1.80776204,  0.5999088 , -0.33828302, -2.7736081 ,  0.85617351,
        1.84935369])]"
48332,moveabsj,"[array([-833.49894455,  -75.84794217,   41.59806382])]","[array([-1.76394237,  0.60490613, -0.32349786, -2.7649837 ,  0.80679851,
        1.86815761])]"
49999,moveabsj,"[array([-820.30275153,  -83.53843511,   40.22066744])]","[array([-1.72708661,  0.6123152 , -0.30745678, -2.75611613,  0.76136167,
        1.88001687])]"
