breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 933.21629922, -557.7271016 ,  170.62410477])]","[array([-0.61844811, -0.00633485, -0.19772862, -0.23074191, -1.70771942,
        2.1473777 ])]"
499,movel_fit,"[array([ 931.68199316, -496.45363055,  173.79204923])]","[array([-0.57654146, -0.04842525, -0.2368658 , -0.23968487, -1.71030473,
        2.13942732])]"
999,movel_fit,"[array([ 931.61982922, -486.16791948,  173.67969907])]","[array([-0.56945403, -0.05595332, -0.24420768, -0.24166533, -1.70921692,
        2.13866283])]"
1499,movel_fit,"[array([ 931.46092069, -475.89673414,  173.65335754])]","[array([-0.56266633, -0.0642446 , -0.25207637, -0.24413919, -1.70750324,
        2.13848737])]"
1999,movel_fit,"[array([ 931.16937917, -465.61097952,  173.65737662])]","[array([-0.55615384, -0.07337674, -0.26058199, -0.24706786, -1.70510947,
        2.1388872 ])]"
2499,movel_fit,"[array([ 930.77350606, -455.3297123 ,  173.72266292])]","[array([-0.54991943, -0.08333605, -0.26967011, -0.25045064, -1.70204476,
        2.13986584])]"
2999,movel_fit,"[array([ 930.40157714, -445.05262709,  173.75126359])]","[array([-0.54391016, -0.09401582, -0.27931663, -0.25430268, -1.6981772 ,
        2.14140546])]"
3499,movel_fit,"[array([ 929.9773396 , -434.77607101,  173.75475129])]","[array([-0.53811978, -0.10542353, -0.28952169, -0.258553  , -1.69362029,
        2.14345557])]"
3999,movel_fit,"[array([ 929.43233434, -424.50231704,  173.74214438])]","[array([-0.53256014, -0.11770774, -0.3003933 , -0.26315571, -1.68833535,
        2.14603847])]"
4499,movel_fit,"[array([ 928.87930828, -414.22292948,  173.84010051])]","[array([-0.52723555, -0.13077533, -0.31173194, -0.26822637, -1.68240621,
        2.14914514])]"
4999,movel_fit,"[array([ 928.3177817 , -403.96198101,  173.90816094])]","[array([-0.52213202, -0.14457648, -0.32361695, -0.2737028 , -1.67575757,
        2.15276892])]"
5499,movel_fit,"[array([ 927.60522448, -393.69943707,  173.88811754])]","[array([-0.51728876, -0.15929188, -0.33625893, -0.27955837, -1.66838243,
        2.15694353])]"
5999,movel_fit,"[array([ 926.87423582, -383.4500538 ,  173.88072912])]","[array([-0.51264374, -0.17476544, -0.34941845, -0.28578491, -1.66035126,
        2.16157547])]"
6499,movel_fit,"[array([ 926.1135476 , -373.18890846,  173.99107455])]","[array([-0.50819505, -0.19105359, -0.36304666, -0.29241041, -1.65174625,
        2.16662926])]"
6999,movel_fit,"[array([ 925.23979368, -362.94741681,  173.97198612])]","[array([-0.50399339, -0.20817933, -0.37739099, -0.29940264, -1.64245423,
        2.17217518])]"
7499,movel_fit,"[array([ 924.39088944, -352.69602996,  173.980614  ])]","[array([-0.49993873, -0.22601297, -0.3921896 , -0.30676499, -1.63257172,
        2.17805854])]"
