breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 553.4095995 ,  865.66398243, 2386.0285232 ])]","[array([-1.49018798,  0.12583923, -2.87109505, -1.78250328, -1.18237249,
        1.89753896])]"
999,moveabsj,"[array([ 550.37241903,  890.35461424, 2360.93404944])]","[array([-1.48776172,  0.11512832, -2.8783323 , -1.775899  , -1.18084972,
        1.89803223])]"
1999,moveabsj,"[array([ 547.5682619 ,  914.68952786, 2334.60788042])]","[array([-1.48483029,  0.10392832, -2.88457782, -1.76715353, -1.1806508 ,
        1.90009728])]"
2999,moveabsj,"[array([ 543.56975974,  939.56754795, 2308.02743254])]","[array([-1.48097778,  0.09258598, -2.89062235, -1.75821745, -1.17973423,
        1.90204854])]"
3999,moveabsj,"[array([ 538.42428302,  965.02261594, 2281.49164928])]","[array([-1.47653874,  0.08094246, -2.89639431, -1.74970519, -1.17785945,
        1.90365018])]"
4999,moveabsj,"[array([ 532.35734099,  990.89581362, 2255.11276425])]","[array([-1.47177388,  0.06889042, -2.90172564, -1.74173233, -1.17515386,
        1.90498121])]"
5999,moveabsj,"[array([ 525.56106753, 1017.06090831, 2229.0438934 ])]","[array([-1.46691472,  0.05635811, -2.90648709, -1.73446692, -1.17166801,
        1.90605461])]"
6999,moveabsj,"[array([ 518.24402073, 1043.42682629, 2203.50039846])]","[array([-1.46222555,  0.04327072, -2.91055674, -1.72818184, -1.16737958,
        1.90681773])]"
7999,moveabsj,"[array([ 510.62020302, 1069.89596329, 2178.67775515])]","[array([-1.45792629,  0.02959061, -2.91382377, -1.72307402, -1.16229269,
        1.90724023])]"
8999,moveabsj,"[array([ 502.84587227, 1096.34822606, 2154.67608364])]","[array([-1.45410298,  0.01536168, -2.91622742, -1.71913692, -1.15648631,
        1.90735674])]"
9999,moveabsj,"[array([ 494.98534327, 1122.654112  , 2131.48869728])]","[array([-1.45070296e+00,  7.02925996e-04, -2.91777883e+00, -1.71618577e+00,
       -1.15009589e+00,  1.90724935e+00])]"
