num_breakpoints,max_cartesian_error,max_cartesian_error_index,avg_cartesian_error,max_orientation_error
4,70.53139269474825,0,17.3731998162421,0.6058853680693013
10,11.802358301843944,3154,3.051201342361795,0.19215722799440507
29,1.5367376579258791,16379,0.16150792474908943,0.04220888243138547
30,1.5290839863512136,16379,0.16119868634972898,0.051497196781312204
36,1.5290914575070402,16379,0.05531454976301224,0.051497196781312204
40,0.09950923519609366,16379,0.0036101508851794396,0.05299918373217733
42,0.038535594016504006,16108,0.0022487426513032286,0.051528355372233936
46,0.008218168434825248,17471,0.000927590363405364,0.012142077094705606
47,0.00821816835526568,17471,0.000871951657399199,0.012142077094705606
51,0.011779104903346115,17580,0.0006239920511056617,0.01082864284487554
57,0.01212577009976708,17580,0.0005059987751948424,0.007559663022098982
