breakpoints,primitives,points,q_bp
17964,movel_fit,"[array([ 671.30627448, -139.24589875,  586.62239328])]","[array([-0.64835341, -0.34121155, -0.50687429, -0.60094574, -1.51502464,
        2.46557007])]"
18463,movel_fit,"[array([ 670.6265042 , -129.01543592,  586.36016356])]","[array([-0.64334075, -0.36302915, -0.52650612, -0.61241559, -1.50443413,
        2.45221168])]"
18962,movel_fit,"[array([ 670.09832402, -118.77362528,  586.15375334])]","[array([-0.63716029, -0.38372229, -0.54464952, -0.62324964, -1.49399409,
        2.43501108])]"
19461,movel_fit,"[array([ 669.73919462, -108.52712735,  586.01352257])]","[array([-0.62962315, -0.40309932, -0.56110615, -0.63323583, -1.48364832,
        2.41374745])]"
19960,movel_fit,"[array([669.56565772, -98.27887033, 585.94846892])]","[array([-0.62052085, -0.42093994, -0.5756571 , -0.64212913, -1.47334454,
        2.38822988])]"
20459,movel_fit,"[array([669.59325965, -88.02864868, 585.96572517])]","[array([-0.60962804, -0.4369829 , -0.58805584, -0.64964946, -1.46304619,
        2.35830036])]"
20958,movel_fit,"[array([669.83634458, -77.77686518, 586.06999539])]","[array([-0.59671336, -0.45090975, -0.59801989, -0.65548158, -1.45275085,
        2.32384984])]"
21457,movel_fit,"[array([670.30711699, -67.53273799, 586.26270941])]","[array([-0.58156669, -0.46233054, -0.60522775, -0.65928308, -1.44251659,
        2.28486283])]"
21956,movel_fit,"[array([671.0149696 , -57.3045285 , 586.54137135])]","[array([-0.56401132, -0.47080096, -0.6093395 , -0.66071268, -1.43247287,
        2.24140445])]"
22455,movel_fit,"[array([671.96627656, -47.09803664, 586.89920753])]","[array([-0.54392541, -0.47582869, -0.6100064 , -0.65945703, -1.42283995,
        2.19362202])]"
22954,movel_fit,"[array([673.16373737, -36.92075847, 587.32480114])]","[array([-0.52127666, -0.47688467, -0.60688366, -0.65526546, -1.41395055,
        2.14177269])]"
23453,movel_fit,"[array([674.60660556, -26.77684736, 587.80225092])]","[array([-0.49613818, -0.47342875, -0.5996478 , -0.64798913, -1.4062547 ,
        2.08620829])]"
23952,movel_fit,"[array([676.2898924 , -16.67240423, 588.31118452])]","[array([-0.46872013, -0.46494191, -0.58801864, -0.63762399, -1.40031979,
        2.02740939])]"
24451,movel_fit,"[array([678.20528151,  -6.60897543, 588.82755881])]","[array([-0.43936136, -0.45096254, -0.57177549, -0.62433983, -1.39680277,
        1.96595267])]"
24950,movel_fit,"[array([680.34048206,   3.41153696, 589.32416134])]","[array([-0.40853385, -0.43113162, -0.55078344, -0.60850377, -1.39640909,
        1.90253475])]"
25449,movel_fit,"[array([682.67923863,  13.38706863, 589.77158828])]","[array([-0.37681762, -0.40524086, -0.52502002, -0.59067967, -1.39982501,
        1.83795951])]"
25948,movel_fit,"[array([685.2031491 ,  23.32198871, 590.13967971])]","[array([-0.34483755, -0.37325443, -0.49458036, -0.57158633, -1.4076412 ,
        1.77306898])]"
26447,movel_fit,"[array([687.88966682,  33.21737769, 590.3983589 ])]","[array([-0.31324184, -0.33536567, -0.45972321, -0.5520588 , -1.42026831,
        1.70876897])]"
26946,movel_fit,"[array([690.71412522,  43.07829886, 590.51931451])]","[array([-0.2826247 , -0.2919958 , -0.42086731, -0.53296045, -1.43787144,
        1.6459393 ])]"
27445,movel_fit,"[array([693.64806262,  52.90672235, 590.47734763])]","[array([-0.25350081, -0.24382384, -0.37862316, -0.51511552, -1.46031625,
        1.58543987])]"
27944,movel_fit,"[array([696.66156254,  62.70879139, 590.2520024 ])]","[array([-0.22624957, -0.19173375, -0.33375391, -0.49922356, -1.48717558,
        1.5280393 ])]"
28443,movel_fit,"[array([699.72166907,  72.48845862, 589.82908501])]","[array([-0.20111954, -0.13679678, -0.28716871, -0.48582234, -1.51775208,
        1.47444967])]"
28942,movel_fit,"[array([702.79471421,  82.25416531, 589.20187231])]","[array([-0.17821484, -0.08016442, -0.23983701, -0.47525885, -1.5511711 ,
        1.42530465])]"
29441,movel_fit,"[array([705.84315972,  92.0078771 , 588.3730198 ])]","[array([-0.15754041, -0.02304409, -0.19276985, -0.46771088, -1.58644336,
        1.38124368])]"
29940,movel_fit,"[array([708.83131774, 101.76257363, 587.35429776])]","[array([-0.1389901 ,  0.0334907 , -0.14686071, -0.46319992, -1.62263154,
        1.34285779])]"
30439,movel_fit,"[array([711.72235694, 111.53271008, 586.16761506])]","[array([-0.12240122,  0.08851577, -0.10287148, -0.46164542, -1.65891011,
        1.31077034])]"
30938,movel_fit,"[array([714.47549689, 121.32438404, 584.8468748 ])]","[array([-0.10759221,  0.14124684, -0.06143475, -0.46289898, -1.69459066,
        1.28567097])]"
31437,movel_fit,"[array([717.05127985, 131.1530449 , 583.43587068])]","[array([-0.09434734,  0.19115424, -0.02295807, -0.46676626, -1.72921749,
        1.26824673])]"
31936,movel_fit,"[array([719.4076265 , 141.02992054, 581.98947978])]","[array([-0.08244448,  0.23787203,  0.01230824, -0.47301723, -1.76251338,
        1.2591949 ])]"
32435,movel_fit,"[array([721.50187486, 150.96955931, 580.57152044])]","[array([-0.07164082,  0.28119567,  0.04427563, -0.48137889, -1.79437167,
        1.25915611])]"
32934,movel_fit,"[array([723.28926573, 160.98297752, 579.25378213])]","[array([-0.06167246,  0.32098686,  0.07295408, -0.49150571, -1.82477139,
        1.26864268])]"
33433,movel_fit,"[array([724.72323966, 171.07383158, 578.11322355])]","[array([-0.05224809,  0.35708467,  0.09839824, -0.50293784, -1.85368109,
        1.28790722])]"
33932,movel_fit,"[array([725.7573601 , 181.23874868, 577.22673249])]","[array([-0.04304845,  0.38922173,  0.12065456, -0.51506906, -1.88095247,
        1.31678184])]"
34431,movel_fit,"[array([726.34748427, 191.4617824 , 576.66442876])]","[array([-0.03375113,  0.41691922,  0.13968001, -0.5271369 , -1.90618641,
        1.35450665])]"
34930,movel_fit,"[array([726.45604738, 201.70738326, 576.48050271])]","[array([-0.02408141,  0.4394165 ,  0.15525914, -0.53826491, -1.92862336,
        1.39959924])]"
35429,movel_fit,"[array([726.05681771, 211.94793597, 576.70351469])]","[array([-0.01384396,  0.45573744,  0.16698522, -0.54760289, -1.94718148,
        1.45003506])]"
35928,movel_fit,"[array([725.13717375, 222.14214802, 577.33095049])]","[array([-0.00298411,  0.46471764,  0.17420105, -0.55443904, -1.96048619,
        1.50340461])]"
36427,movel_fit,"[array([723.70098761, 232.24739411, 578.32614821])]","[array([ 0.00842403,  0.46519649,  0.17607026, -0.55833029, -1.9670857 ,
        1.55731697])]"
36926,movel_fit,"[array([721.7665327 , 242.23509662, 579.62275968])]","[array([ 0.0202436 ,  0.45618778,  0.17168289, -0.55915447, -1.96567653,
        1.60981624])]"
37425,movel_fit,"[array([719.36306353, 252.09114109, 581.1330154 ])]","[array([ 0.03234922,  0.43697437,  0.16015742, -0.55707355, -1.9552458 ,
        1.65956259])]"
37924,movel_fit,"[array([716.52813338, 261.81263234, 582.75671948])]","[array([ 0.04468653,  0.40716341,  0.1407444 , -0.55246227, -1.9351465 ,
        1.70580222])]"
38423,movel_fit,"[array([713.30377181, 271.41055098, 584.39076285])]","[array([ 0.05731173,  0.36670754,  0.11291614, -0.54583246, -1.90511671,
        1.74822935])]"
38922,movel_fit,"[array([709.73642013, 280.90224426, 585.93553671])]","[array([ 0.0703897 ,  0.31596645,  0.07648   , -0.53777231, -1.86530818,
        1.78673698])]"
39421,movel_fit,"[array([705.87768426, 290.30749078, 587.30043043])]","[array([ 0.0841729 ,  0.2557961 ,  0.03170606, -0.52889325, -1.81633409,
        1.82118893])]"
39920,movel_fit,"[array([701.78504065, 299.64724116, 588.40889033])]","[array([ 0.09896433,  0.18761042, -0.02057806, -0.51977222, -1.75929426,
        1.85123865])]"
40419,movel_fit,"[array([697.52242182, 308.94348777, 589.20289984])]","[array([ 0.11506539,  0.11335326, -0.07898462, -0.51089452, -1.69572643,
        1.87620861])]"
40918,movel_fit,"[array([693.16256811, 318.21569535, 589.64657315])]","[array([ 0.13270605,  0.03537289, -0.14166989, -0.50262032, -1.6274798 ,
        1.89503762])]"
41417,movel_fit,"[array([688.78349096, 327.48977932, 589.72958789])]","[array([ 0.15200058, -0.0439269 , -0.2066449 , -0.49517899, -1.55640373,
        1.90633392])]"
41916,movel_fit,"[array([684.47152164, 336.79301124, 589.46822951])]","[array([ 0.17290326, -0.12236371, -0.27204482, -0.48871507, -1.48410392,
        1.90843869])]"
42415,movel_fit,"[array([680.32108223, 346.15656117, 588.90592788])]","[array([ 0.19522556, -0.19825166, -0.33638911, -0.48333014, -1.41169886,
        1.89950492])]"
42914,movel_fit,"[array([676.43594512, 355.61529694, 588.11250468])]","[array([ 0.2187166 , -0.2705118 , -0.39868655, -0.47906875, -1.33970325,
        1.87750572])]"
43413,movel_fit,"[array([672.93011206, 365.20880524, 587.18207134])]","[array([ 0.24322643, -0.33861222, -0.45837555, -0.47577132, -1.26803035,
        1.84014142])]"
43912,movel_fit,"[array([669.93221298, 374.97010128, 586.23033849])]","[array([ 0.26890714, -0.40222909, -0.51500942, -0.4727327 , -1.19623371,
        1.78474755])]"
44411,movel_fit,"[array([667.58366109, 384.91677257, 585.38797785])]","[array([ 0.29640721, -0.46072869, -0.5677895 , -0.46816956, -1.12395391,
        1.70839572])]"
44910,movel_fit,"[array([666.02985844, 395.03383605, 584.78696131])]","[array([ 0.32677498, -0.5124211 , -0.61494148, -0.45880766, -1.05179693,
        1.60865608])]"
45409,movel_fit,"[array([665.39696772, 405.26102264, 584.5358866 ])]","[array([ 0.36067167, -0.55398118, -0.65331118, -0.44048736, -0.98253269,
        1.48551381])]"
45908,movel_fit,"[array([665.75869476, 415.50174476, 584.68864319])]","[array([ 0.39691782, -0.5808307 , -0.67879197, -0.41081763, -0.92177336,
        1.34412736])]"
46407,movel_fit,"[array([667.11297616, 425.65037357, 585.22314718])]","[array([ 0.43163317, -0.58881632, -0.68767846, -0.37286994, -0.87679267,
        1.19643513])]"
46906,movel_fit,"[array([669.38212283, 435.61601185, 586.04380714])]","[array([ 0.45948851, -0.57605171, -0.67801915, -0.3358099 , -0.85351331,
        1.05873   ])]"
47405,movel_fit,"[array([672.43978852, 445.35657236, 587.00763835])]","[array([ 0.47638853, -0.54325039, -0.64991076, -0.31002742, -0.85416634,
        0.94483953])]"
47904,movel_fit,"[array([676.1420753 , 454.87417947, 587.95538849])]","[array([ 0.48103096, -0.4925842 , -0.6048192 , -0.30129585, -0.8777311 ,
        0.86067184])]"
48403,movel_fit,"[array([680.34529189, 464.19680214, 588.73411044])]","[array([ 0.47469413, -0.42660482, -0.54490611, -0.30915033, -0.92154076,
        0.80395229])]"
48902,movel_fit,"[array([684.91416101, 473.3676406 , 589.21128583])]","[array([ 0.46019953, -0.34789147, -0.47273484, -0.32921397, -0.98221698,
        0.76774549])]"
49401,movel_fit,"[array([689.71841461, 482.4290516 , 589.28313286])]","[array([ 0.44088258, -0.2593053 , -0.39134508, -0.35633547, -1.05575688,
        0.74451472])]"
49900,movel_fit,"[array([694.63272111, 491.42308855, 588.88208255])]","[array([ 0.41980636, -0.16419025, -0.30426001, -0.38659529, -1.13759806,
        0.72872535])]"
