breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([1567.85228451, -560.73405894, 1150.09771417])]","[array([ 2.55243319, -0.48927395, -2.5488659 ,  0.61501188, -1.15008186,
       -2.74694399])]"
1665,moveabsj,"[array([1424.06924745, -520.59593441, 1065.85093446])]","[array([ 2.53253511, -0.43547636, -2.65215447,  0.566315  , -1.25208031,
       -2.77466663])]"
3332,moveabsj,"[array([1406.33681313, -513.54822524, 1058.37404976])]","[array([ 2.53030525, -0.42945193, -2.66280811,  0.56236874, -1.26746168,
       -2.77684564])]"
4999,moveabsj,"[array([1388.87453182, -504.48787478, 1053.19262014])]","[array([ 2.52832383, -0.42303625, -2.67296448,  0.56078197, -1.28421197,
       -2.77829029])]"
6665,moveabsj,"[array([1371.90946758, -493.19786822, 1050.38280967])]","[array([ 2.5267194 , -0.41623744, -2.68265572,  0.56181659, -1.30218172,
       -2.77892194])]"
8332,moveabsj,"[array([1355.6877825 , -479.68487434, 1049.74459011])]","[array([ 2.52563573, -0.40918762, -2.69189456,  0.56544674, -1.32106393,
       -2.77871337])]"
9999,moveabsj,"[array([1340.43733483, -464.19886368, 1050.93138433])]","[array([ 2.52517699, -0.40202122, -2.70076253,  0.57143154, -1.34030913,
       -2.7776897 ])]"
11665,moveabsj,"[array([1326.11232822, -447.3909475 , 1053.41090027])]","[array([ 2.52517764, -0.39489985, -2.70936992,  0.57933895, -1.35947714,
       -2.77613354])]"
13332,moveabsj,"[array([1312.33131495, -429.81914322, 1056.69458338])]","[array([ 2.52573164, -0.38760593, -2.71800906,  0.58786383, -1.378134  ,
       -2.77415141])]"
14999,moveabsj,"[array([1298.37481527, -412.81660002, 1060.14482827])]","[array([ 2.52631856, -0.38002905, -2.7268656 ,  0.59566537, -1.3960904 ,
       -2.77240492])]"
16665,moveabsj,"[array([1283.31058051, -397.47743071, 1063.41582983])]","[array([ 2.52662741, -0.37170152, -2.73616002,  0.6009176 , -1.41332834,
       -2.77138651])]"
18332,moveabsj,"[array([1266.0889609 , -385.10214468, 1066.15151676])]","[array([ 2.52609341, -0.36231767, -2.7458807 ,  0.6018973 , -1.43023504,
       -2.77187596])]"
19999,moveabsj,"[array([1245.69870968, -376.82798449, 1068.19454805])]","[array([ 2.52407527, -0.35150202, -2.75609077,  0.59727907, -1.44719727,
       -2.77458662])]"
21665,moveabsj,"[array([1221.21501475, -374.50593736, 1069.41705235])]","[array([ 2.5201713 , -0.33818346, -2.76731304,  0.58425816, -1.46296918,
       -2.77996242])]"
23332,moveabsj,"[array([1191.96985385, -380.23280038, 1069.01480545])]","[array([ 2.51358744, -0.32308704, -2.77864369,  0.5608988 , -1.47809757,
       -2.78862992])]"
24999,moveabsj,"[array([1157.72967074, -396.96705955, 1064.15908759])]","[array([ 2.50337193, -0.3073152 , -2.79071558,  0.52508393, -1.49025458,
       -2.80156555])]"
26665,moveabsj,"[array([1119.72973477, -427.32477935, 1052.97510889])]","[array([ 2.48872147, -0.29305244, -2.80304071,  0.47659248, -1.49669991,
       -2.81845065])]"
28332,moveabsj,"[array([1081.37396293, -470.90021743, 1034.12364923])]","[array([ 2.47148272, -0.28200921, -2.81614986,  0.41668523, -1.49170074,
       -2.83759172])]"
29999,moveabsj,"[array([1047.44927064, -518.76154313, 1010.73100503])]","[array([ 2.45639764, -0.27334796, -2.83166078,  0.35343212, -1.47256025,
       -2.85447943])]"
31665,moveabsj,"[array([1018.94173635, -560.96018679,  989.53584364])]","[array([ 2.44289896, -0.26720314, -2.84664573,  0.30081454, -1.4508623 ,
       -2.86768842])]"
33332,moveabsj,"[array([ 993.80932302, -591.46851105,  975.91735507])]","[array([ 2.42962099, -0.26201068, -2.85830968,  0.26510644, -1.43852974,
       -2.87699199])]"
34999,moveabsj,"[array([ 970.04517711, -608.39545404,  972.2465884 ])]","[array([ 2.41616911, -0.25573094, -2.86584888,  0.24601185, -1.44104617,
       -2.88222559])]"
36665,moveabsj,"[array([ 947.3956033 , -609.22725733,  979.0661739 ])]","[array([ 2.40337873, -0.24712597, -2.86980952,  0.24386147, -1.46065935,
       -2.88273713])]"
38332,moveabsj,"[array([ 926.37340022, -589.82940746,  996.9149878 ])]","[array([ 2.39379529, -0.23466216, -2.87187169,  0.25919055, -1.49817017,
       -2.87738708])]"
39999,moveabsj,"[array([ 908.22263274, -549.91909896, 1023.36779869])]","[array([ 2.38598748, -0.22428416, -2.86899037,  0.29702233, -1.55839858,
       -2.86803413])]"
41665,moveabsj,"[array([ 894.08041049, -499.25013497, 1049.36205037])]","[array([ 2.38032061, -0.21973988, -2.8653622 ,  0.34929101, -1.62712661,
       -2.85632335])]"
43332,moveabsj,"[array([ 881.51187887, -459.00680516, 1067.27259494])]","[array([ 2.37727507, -0.21487378, -2.8682344 ,  0.38876255, -1.67595928,
       -2.84590173])]"
44999,moveabsj,"[array([ 862.76743312, -440.57502032, 1078.71055122])]","[array([ 2.37310212, -0.20367726, -2.87588647,  0.39762576, -1.70259738,
       -2.84183642])]"
46665,moveabsj,"[array([ 835.45316932, -451.1699754 , 1083.72363857])]","[array([ 2.36172761, -0.18932908, -2.88253584,  0.37312788, -1.71166415,
       -2.84904663])]"
48332,moveabsj,"[array([ 801.97670714, -492.01958049, 1081.30561161])]","[array([ 2.34245221, -0.17643055, -2.88581736,  0.31880241, -1.7024205 ,
       -2.86754667])]"
49999,moveabsj,"[array([ 677.7697013 , -675.42454113, 1072.10360632])]","[array([ 2.33197449, -0.05823206, -2.98473607,  0.01126601, -1.48208067,
       -2.91322889])]"
