v1,z1,v2,z2
200.0,50,200.0,50
732.0504789812389,50,657.979825005454,50
1459.4277938896798,50,744.2446022667262,50
1488.6246964037512,50,785.9958117882306,50
1495.6784925581187,50,781.5132854392114,50
1477.458507142059,50,717.8808357034343,50
1440.7138336706523,50,622.4031789302172,50
1397.9256363132545,50,537.9568771951429,50
1354.7514666969064,50,475.49416748102226,50
1311.6995703413406,50,429.8485171229114,50
1269.432044039124,50,402.2256333444423,50
1227.9738628708371,50,394.78440791582256,50
1186.0912212462065,50,408.42619225282914,50
1144.2174029217354,50,347.00845715580266,10
1104.377340746687,50,310.21047630184955,10
1065.36470555666,50,394.47055597017334,10
1021.4387435807221,50,604.1451442006484,10
968.9655301236005,50,747.7665338828223,10
910.598868379943,50,924.7594327161735,10
849.1420202448426,50,1129.003478687604,10
784.4874853065742,50,1354.7395783869588,10
723.7837656577417,50,1677.4806167076536,10
685.7661567593772,50,1850.0584669483644,30
688.927958202134,50,1533.4338578884108,10
745.8905751134596,50,1415.9811568629434,10
850.3063468264319,50,1517.8995091446275,10
963.9147740670062,50,1480.0637422277657,10
1091.4142532270564,50,1429.646744663023,10
1230.2767932786444,50,1284.575067123485,10
1339.9559093774965,50,1274.6316560488033,10
1371.441865653858,50,1173.8264477198416,40
