breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([435.21106149, -34.57207372, 856.77089019])]","[array([-1.24926835, -1.04480541, -1.00194236, -2.12049245, -2.1515463 ,
        0.00761874])]"
499,movel_fit,"[array([440.78309744, -37.91634987, 864.67627467])]","[array([-1.24265442, -1.03221814, -0.98914556, -2.11639254, -2.14554016,
        0.0103413 ])]"
999,movel_fit,"[array([446.32908603, -41.27327724, 872.64810621])]","[array([-1.23693549, -1.02004371, -0.97609104, -2.11218299, -2.1394336 ,
        0.01327935])]"
1499,movel_fit,"[array([451.82664751, -44.6291448 , 880.65483067])]","[array([-1.23211058, -1.00833185, -0.96282989, -2.1078464 , -2.13322766,
        0.01642271])]"
1999,movel_fit,"[array([457.27589819, -47.98345909, 888.69658582])]","[array([-1.22815059, -0.99707896, -0.94936099, -2.10335103, -2.12690175,
        0.01977228])]"
2499,movel_fit,"[array([462.6765711 , -51.33525526, 896.77289469])]","[array([-1.22502671, -0.98628054, -0.9356831 , -2.09866748, -2.12043795,
        0.02332893])]"
2999,movel_fit,"[array([468.02859544, -54.68344501, 904.88348282])]","[array([-1.22270952, -0.97593014, -0.92179369, -2.09376832, -2.11382038,
        0.02709363])]"
3499,movel_fit,"[array([473.33161132, -58.02650733, 913.0275109 ])]","[array([-1.22116891, -0.96602035, -0.90769043, -2.08862867, -2.10703566,
        0.03106688])]"
3999,movel_fit,"[array([478.58634375, -61.36335055, 921.20565278])]","[array([-1.22037321, -0.95654034, -0.89336776, -2.08322509, -2.10007117,
        0.03524943])]"
4499,movel_fit,"[array([483.7929222 , -64.69225174, 929.41748746])]","[array([-1.22028939, -0.947479  , -0.87882156, -2.07753732, -2.09291712,
        0.03964087])]"
4999,movel_fit,"[array([488.95202722, -68.0115781 , 937.66322112])]","[array([-1.22088227, -0.93882286, -0.86404646, -2.07154748, -2.0855651 ,
        0.0442402 ])]"
5499,movel_fit,"[array([494.06437853, -71.31946193, 945.94284178])]","[array([-1.22211409, -0.93055695, -0.84903751, -2.06524083, -2.07800877,
        0.04904518])]"
5999,movel_fit,"[array([499.13060155, -74.6137134 , 954.25582579])]","[array([-1.22394395, -0.92266488, -0.8337911 , -2.05860639, -2.0702441 ,
        0.05405192])]"
6499,movel_fit,"[array([504.15195979, -77.89230269, 962.60226759])]","[array([-1.22632746, -0.91512762, -0.81830317, -2.05163636, -2.06226838,
        0.05925528])]"
6999,movel_fit,"[array([509.12979639, -81.15301109, 970.98190833])]","[array([-1.22921628, -0.90792436, -0.80257136, -2.04432714, -2.05408105,
        0.06464818])]"
7499,movel_fit,"[array([514.0656411 , -84.39351804, 979.39422738])]","[array([-1.23255766, -0.90103221, -0.78659519, -2.03667963, -2.04568366,
        0.0702214 ])]"
7999,movel_fit,"[array([518.96114391, -87.61138363, 987.83824024])]","[array([-1.23629413, -0.89442626, -0.77037688, -2.0286997 , -2.03708002,
        0.07596334])]"
8499,movel_fit,"[array([523.81917307, -90.80480594, 996.31432649])]","[array([-1.24036424, -0.8880781 , -0.75391813, -2.02039666, -2.02827428,
        0.08186118])]"
8999,movel_fit,"[array([ 528.64130903,  -93.97101856, 1004.81978823])]","[array([-1.2447005 , -0.88195918, -0.73722906, -2.0117877 , -2.01927548,
        0.0878978 ])]"
9499,movel_fit,"[array([ 533.43097336,  -97.10840241, 1013.35421785])]","[array([-1.24923218, -0.8760368 , -0.72031817, -2.00289278, -2.0100919 ,
        0.09405549])]"
9999,movel_fit,"[array([ 538.19185853, -100.21551599, 1021.91670692])]","[array([-1.25388442, -0.87027633, -0.70319783, -1.99373721, -2.00073384,
        0.10031419])]"
10499,movel_fit,"[array([ 542.92679302, -103.29043447, 1030.50368078])]","[array([-1.25857755, -0.86464273, -0.68588895, -1.98435404, -1.99121589,
        0.10665001])]"
10999,movel_fit,"[array([ 547.64097466, -106.33294017, 1039.11465824])]","[array([-1.26323106, -0.85909691, -0.66840941, -1.97477756, -1.98155057,
        0.11303968])]"
11499,movel_fit,"[array([ 552.33888362, -109.34260478, 1047.74660256])]","[array([-1.26776139, -0.85359971, -0.65078537, -1.96504921, -1.97175438,
        0.11945671])]"
11999,movel_fit,"[array([ 557.02502585, -112.3193879 , 1056.39515895])]","[array([-1.27208381, -0.84811134, -0.63304871, -1.95521587, -1.96184644,
        0.12587254])]"
12499,movel_fit,"[array([ 561.70580315, -115.26492914, 1065.05805032])]","[array([-1.2761153 , -0.8425895 , -0.61522979, -1.94532571, -1.95184452,
        0.13225952])]"
12999,movel_fit,"[array([ 566.38706672, -118.18109623, 1073.730511  ])]","[array([-1.27977348, -0.83699263, -0.59736642, -1.93543285, -1.94177023,
        0.13858774])]"
13499,movel_fit,"[array([ 571.07587274, -121.07119906, 1082.40847645])]","[array([-1.28297934, -0.83127814, -0.5794969 , -1.92559346, -1.93164538,
        0.14482779])]"
13999,movel_fit,"[array([ 575.77898753, -123.93915805, 1091.085778  ])]","[array([-1.2856573 , -0.82540447, -0.56166535, -1.91586866, -1.92149529,
        0.15094891])]"
14499,movel_fit,"[array([ 580.50385645, -126.79019634, 1099.75592006])]","[array([-1.28773712, -0.81933023, -0.54391748, -1.90632225, -1.91134692,
        0.15692054])]"
14999,movel_fit,"[array([ 585.25911118, -129.63120054, 1108.41299037])]","[array([-1.28915485, -0.81301361, -0.52629834, -1.89701971, -1.90122796,
        0.16271294])]"
15499,movel_fit,"[array([ 590.0538733 , -132.47032989, 1117.05035423])]","[array([-1.28985295, -0.80641333, -0.50885454, -1.88802996, -1.89116871,
        0.16829623])]"
15999,movel_fit,"[array([ 594.89572689, -135.31583657, 1125.65707915])]","[array([-1.28978093, -0.79949147, -0.49164114, -1.87942918, -1.88120653,
        0.17363799])]"
16499,movel_fit,"[array([ 599.79527956, -138.17871938, 1134.22617432])]","[array([-1.28889597, -0.79220708, -0.47470475, -1.87129289, -1.87137676,
        0.17870825])]"
16999,movel_fit,"[array([ 604.76184254, -141.07008215, 1142.74694439])]","[array([-1.28716258, -0.78452197, -0.45809878, -1.86370449, -1.86172209,
        0.18347421])]"
17499,movel_fit,"[array([ 609.80503791, -144.00193018, 1151.20805565])]","[array([-1.28455258, -0.77639831, -0.44187721, -1.85675283, -1.85228952,
        0.18790174])]"
17999,movel_fit,"[array([ 614.93526708, -146.98721177, 1159.59848187])]","[array([-1.281044  , -0.7677974 , -0.42609289, -1.85053256, -1.84312996,
        0.1919552 ])]"
18499,movel_fit,"[array([ 620.16181063, -150.0384042 , 1167.90464356])]","[array([-1.27662131, -0.75868236, -0.41080307, -1.84514723, -1.83430199,
        0.1955954 ])]"
18999,movel_fit,"[array([ 625.4948805 , -153.1683156 , 1176.11412668])]","[array([-1.27127268, -0.74901424, -0.39606256, -1.84070754, -1.82586844,
        0.19878075])]"
19499,movel_fit,"[array([ 630.94113232, -156.38696665, 1184.20928948])]","[array([-1.2649929 , -0.73875954, -0.3819353 , -1.83733528, -1.81790345,
        0.20146427])]"
19999,movel_fit,"[array([ 636.50910256, -159.70421881, 1192.17631266])]","[array([-1.25777606, -0.72787998, -0.36847799, -1.83515852, -1.81048353,
        0.20359684])]"
20499,movel_fit,"[array([ 642.20870388, -163.12892756, 1200.00448187])]","[array([-1.24961202, -0.71633187, -0.35574214, -1.83431417, -1.80368947,
        0.20512571])]"
