breakpoints,primitives,points,q_bp
36000,movel_fit,"[array([-353.35934438,  751.99857052,  260.43944072])]","[array([ 0.0956943 , -1.11037696, -0.62334973,  0.22815344, -0.69675313,
        4.87092576])]"
37000,movel_fit,"[array([-349.09490741,  761.66098489,  273.01649754])]","[array([ 0.09221855, -1.11971909, -0.61733493,  0.21753393, -0.69040825,
        4.8557618 ])]"
38000,movel_fit,"[array([-345.41071244,  770.86894471,  285.78751432])]","[array([ 0.08884467, -1.12931448, -0.61136649,  0.20691683, -0.6838107 ,
        4.84052408])]"
39000,movel_fit,"[array([-342.62274393,  779.18351158,  298.00922254])]","[array([ 0.08607114, -1.13943197, -0.60528908,  0.1964844 , -0.6767196 ,
        4.82575907])]"
40000,movel_fit,"[array([-341.11584376,  786.21870984,  308.98396334])]","[array([ 0.08446919, -1.15035892, -0.59891001,  0.18634401, -0.66889173,
        4.81198467])]"
41000,movel_fit,"[array([-341.20372537,  791.72976361,  318.22779891])]","[array([ 0.08448321, -1.16219777, -0.59209617,  0.17656977, -0.6602334 ,
        4.79960364])]"
42000,movel_fit,"[array([-342.94757197,  795.68447613,  325.58700138])]","[array([ 0.0862258 , -1.17471257, -0.58485555,  0.16725809, -0.65090881,
        4.78882911])]"
43000,movel_fit,"[array([-346.23724926,  798.17988805,  331.14155691])]","[array([ 0.08961813, -1.18752771, -0.5772646 ,  0.15847421, -0.64118945,
        4.77971222])]"
44000,movel_fit,"[array([-351.18203774,  799.2190719 ,  334.9796957 ])]","[array([ 0.09486352, -1.20053069, -0.56929406,  0.15009784, -0.63116235,
        4.77227124])]"
45000,movel_fit,"[array([-358.12180262,  798.70106951,  337.22345267])]","[array([ 0.10241549, -1.21375401, -0.56085945,  0.14186359, -0.62081233,
        4.76651068])]"
46000,movel_fit,"[array([-367.02318506,  796.72297754,  338.27806577])]","[array([ 0.11223211, -1.22682955, -0.55208248,  0.13364206, -0.61039676,
        4.76225488])]"
47000,movel_fit,"[array([-377.592126  ,  793.54220053,  338.73690412])]","[array([ 0.12390277, -1.23925083, -0.54319106,  0.12536564, -0.60026387,
        4.75914255])]"
48000,movel_fit,"[array([-389.61833147,  789.37661425,  339.14578817])]","[array([ 0.13707468, -1.25066811, -0.534368  ,  0.1169257 , -0.59063628,
        4.7567911 ])]"
49000,movel_fit,"[array([-401.58978949,  785.02838197,  340.07875637])]","[array([ 0.14995798, -1.26005511, -0.52615943,  0.10888729, -0.58213371,
        4.75469445])]"
50000,movel_fit,"[array([-413.67159812,  780.44217906,  341.65565994])]","[array([ 0.16271106, -1.26728799, -0.51866473,  0.10113311, -0.57471609,
        4.75282706])]"
