breakpoints,primitives,points
0,movej_fit,"[array([ 0.62701563,  0.83868513, -0.23652875,  1.67922704, -0.897769  ,
        0.79476814])]"
1037,movel_fit,"[array([2374.91405691, 1056.86888137,  729.94491634])]"
2066,movel_fit,"[array([2372.3639506 , 1023.88694379,  715.24246467])]"
3091,movel_fit,"[array([2368.60843978,  990.35355354,  702.54643515])]"
4123,movel_fit,"[array([2363.6378616 ,  956.04540094,  691.76856253])]"
5175,movel_fit,"[array([2357.41034716,  920.67465098,  682.85222926])]"
6259,movel_fit,"[array([2349.86183644,  883.96858809,  675.79846385])]"
7384,movel_fit,"[array([2340.93816382,  845.7573434 ,  670.66116281])]"
8568,movel_fit,"[array([2330.50531513,  805.56095718,  667.48013   ])]"
9827,movel_fit,"[array([2318.42363671,  762.96711633,  666.37020091])]"
11186,movel_fit,"[array([2304.46126659,  717.25991093,  667.48283202])]"
12679,movel_fit,"[array([2288.28080624,  667.4250191 ,  671.06505874])]"
14360,movel_fit,"[array([2269.33123713,  611.78632974,  677.51483964])]"
16360,movel_fit,"[array([2246.21768903,  546.13306553,  687.733155  ])]"
19022,movel_fit,"[array([2215.27678327,  459.30172398,  704.16072049])]"
21882,movel_fit,"[array([2182.94165695,  366.04693662,  723.57518126])]"
24170,movel_fit,"[array([2158.81242102,  290.75166689,  738.56236856])]"
25988,movel_fit,"[array([2141.19909781,  230.21045785,  749.21544661])]"
27557,movel_fit,"[array([2127.52072997,  177.30412926,  756.93366051])]"
28954,movel_fit,"[array([2116.82284926,  129.63212361,  762.1941497 ])]"
30228,movel_fit,"[array([2108.54115387,   85.69871202,  765.30563215])]"
31409,movel_fit,"[array([2102.33175001,   44.63533726,  766.44845164])]"
32519,movel_fit,"[array([2097.96499655,    5.83623257,  765.7456415 ])]"
33575,movel_fit,"[array([2095.28028971,  -31.13697101,  763.27612746])]"
34592,movel_fit,"[array([2094.1654072 ,  -66.65549122,  759.08383369])]"
35585,movel_fit,"[array([2094.55284636, -101.08758578,  753.16404312])]"
36560,movel_fit,"[array([2096.40063462, -134.4845967 ,  745.53576415])]"
37529,movel_fit,"[array([2099.69038614, -167.10026942,  736.15969609])]"
38498,movel_fit,"[array([2104.40446933, -198.98118091,  725.03158636])]"
39487,movel_fit,"[array([2110.62508677, -230.61926299,  711.9492975 ])]"
40500,movel_fit,"[array([2118.3871055 , -261.95905359,  696.85892788])]"
41545,movel_fit,"[array([2127.74446838, -293.07446049,  679.66216641])]"
42632,movel_fit,"[array([2138.78797391, -324.08335865,  660.20529049])]"
43770,movel_fit,"[array([2151.61220774, -355.06014597,  638.33615097])]"
44967,movel_fit,"[array([2166.31294405, -386.03810893,  613.90659278])]"
46234,movel_fit,"[array([2183.03006169, -417.11846902,  586.69826644])]"
47584,movel_fit,"[array([2201.94877223, -448.42406645,  556.42713702])]"
49022,movel_fit,"[array([2223.15312886, -479.87273264,  522.97547293])]"
50000,movel_fit,"[array([2238.16968912, -500.09234675,  499.54764884])]"
