breakpoints,primitives,points,q_bp
0,movej_fit,"[array([ 929.41121372, -506.72253554,  769.04660022])]","[array([-0.64866735,  0.1167812 , -0.09699595, -0.33132048, -1.78364059,
        2.1889861 ])]"
500,movel_fit,"[array([ 930.55445496, -504.71707045,  769.17041449])]","[array([-0.64684448,  0.11670286, -0.09703689, -0.33191294, -1.78361505,
        2.18892636])]"
1000,movel_fit,"[array([ 931.68865433, -502.8619598 ,  769.80827792])]","[array([-0.6453013 ,  0.11622538, -0.09692492, -0.33275092, -1.78358218,
        2.18906425])]"
1500,movel_fit,"[array([ 932.80769812, -501.16549282,  770.96058898])]","[array([-0.64404807,  0.11534921, -0.09666059, -0.3338347 , -1.78354414,
        2.1894006 ])]"
2000,movel_fit,"[array([ 933.90993411, -499.62616794,  772.62760882])]","[array([-0.64308637,  0.11407574, -0.09624468, -0.33516712, -1.78350351,
        2.18993543])]"
2500,movel_fit,"[array([ 934.99347889, -498.24109349,  774.80967949])]","[array([-0.642417  ,  0.11240711, -0.09567777, -0.33675147, -1.78346338,
        2.19066843])]"
3000,movel_fit,"[array([ 936.0563384 , -497.00573734,  777.50710618])]","[array([-0.64203969,  0.11034623, -0.0949603 , -0.33859154, -1.78342736,
        2.19159894])]"
3500,movel_fit,"[array([ 937.09631595, -495.91396373,  780.71962033])]","[array([-0.64195297,  0.10789715, -0.09409274, -0.34069123, -1.78339951,
        2.19272576])]"
4000,movel_fit,"[array([ 938.11128693, -494.95768316,  784.44689326])]","[array([-0.64215396,  0.10506464, -0.09307546, -0.34305493, -1.78338438,
        2.19404735])]"
4500,movel_fit,"[array([ 939.09887541, -494.12715102,  788.68719799])]","[array([-0.6426383 ,  0.10185515, -0.09190912, -0.34568662, -1.7833869 ,
        2.19556138])]"
5000,movel_fit,"[array([ 940.0566882 , -493.41069429,  793.43770329])]","[array([-0.6433999 ,  0.09827647, -0.09059458, -0.34859007, -1.7834124 ,
        2.19726483])]"
5500,movel_fit,"[array([ 940.98222865, -492.79479289,  798.69364208])]","[array([-0.64443072,  0.09433827, -0.08913323, -0.35176829, -1.78346649,
        2.19915375])]"
6000,movel_fit,"[array([ 941.87289414, -492.26410542,  804.44754808])]","[array([-0.64572057,  0.09005251, -0.08752716, -0.35522304, -1.78355499,
        2.20122302])]"
