breakpoints,primitives,points
0,movej_fit,"[array([ 0.61358168,  0.8158996 , -0.23612083,  1.77413585, -0.82483745,
        0.86105631])]"
5806,movec_fit,"[array([2368.93199169,  996.23168373,  705.17075668]), array([2352.66679226,  899.09109536,  679.01775304])]"
8456,movec_fit,"[array([2342.59068971,  854.10492864,  672.08441105]), array([2331.07430238,  809.16824977,  668.22776714])]"
9591,movec_fit,"[array([2325.81001895,  789.92306674,  667.30045707]), array([2320.3192272 ,  770.75895897,  666.9338171 ])]"
12726,movec_fit,"[array([2304.33011529,  718.00529878,  667.93665442]), array([2287.33111812,  665.73775187,  671.7926709 ])]"
13361,movej_fit,"[array([ 0.56311085,  0.91431939, -0.09758653,  1.51090603, -1.41935296,
        0.56528321])]"
17214,movec_fit,"[array([2258.28647937,  581.13326497,  682.52096934]), array([2235.92888342,  518.13891855,  693.35031649])]"
18027,movec_fit,"[array([2231.19482124,  504.85329145,  695.78779768]), array([2226.48888347,  491.62162485,  698.36311417])]"
19520,movel_fit,"[array([2209.35018757,  442.93180858,  707.95977317])]"
21099,movel_fit,"[array([2191.44582227,  391.47238331,  718.66973369])]"
21616,movec_fit,"[array([2188.66633872,  382.97441715,  720.4056909 ]), array([2185.71252533,  374.57751999,  722.16133794])]"
24813,movec_fit,"[array([2168.53903316,  322.08342018,  732.7116763 ]), array([2152.22564501,  269.26127107,  742.79182797])]"
25798,movel_fit,"[array([2142.80600136,  236.42319577,  748.51979818])]"
26772,movel_fit,"[array([2133.99145625,  203.71662388,  753.60125744])]"
27032,movec_fit,"[array([2132.92627988,  199.27058086,  754.16439383]), array([2131.73960871,  194.94860984,  754.86335501])]"
30084,movec_fit,"[array([2119.56126196,  143.03056481,  761.13611321]), array([2109.21206291,   90.58449545,  765.36708473])]"
30344,movec_fit,"[array([2108.50753305,   86.034592  ,  765.51282866]), array([2107.67066402,   81.58735972,  765.82613385])]"
31142,movel_fit,"[array([2103.40933821,   53.85533416,  766.6902077 ])]"
33649,movec_fit,"[array([2098.24870172,   10.07167942,  766.17144832]), array([2094.97457213,  -33.77021403,  763.34651672])]"
37978,movec_fit,"[array([2094.74051879, -108.95369047,  751.80157205]), array([2101.53289315, -181.92655118,  731.5682528 ])]"
38186,movec_fit,"[array([2102.11436984, -185.33600746,  730.2770469 ]), array([2102.55970165, -188.75323836,  729.16358788])]"
42311,movec_fit,"[array([2116.23034721, -254.16915134,  701.06541927]), array([2135.34066712, -314.86141935,  666.39852792])]"
44425,movec_fit,"[array([2146.85888409, -344.14843469,  646.56326883]), array([2159.45205024, -371.9881543 ,  625.46888947])]"
47450,movec_fit,"[array([2178.94486024, -409.81464069,  593.54649471]), array([2199.97926747, -445.13422152,  559.83900674])]"
48310,movec_fit,"[array([2206.16890083, -454.86710503,  550.00666215]), array([2212.47478365, -464.28838789,  540.0535741 ])]"
50000,movec_fit,"[array([2225.10774051, -482.48954227,  520.20011606]), array([2238.04133907, -499.98839987,  500.01680396])]"
